Year,Month,Day,LWA_Anticylonic,LWA_Cylonic
1900,1,1,45906.1257941,34427977.73267
1900,1,2,344030.2327251,48204304.43041
1900,1,3,321963.8465188,23267940.53299
1900,1,4,455318.2381991,1127628.074425
1900,1,5,1580002.408954,232.1786814478
1900,1,6,2274614.567118,11951.04079934
1900,1,7,1394606.46063,2312.878303554
1900,1,8,1184822.261686,758551.3858552
1900,1,9,732077.9092396,823697.5718528
1900,1,10,107316.1200673,296439.6169183
1900,1,11,93306.13449553,661358.1698382
1900,1,12,1045432.594277,1696415.637009
1900,1,13,723526.5151673,1078942.905138
1900,1,14,358086.005975,530522.4403821
1900,1,15,863126.7476101,106235.8265979
1900,1,16,1281185.255597,9050.605219842
1900,1,17,772186.8017763,170910.1624366
1900,1,18,1043618.653535,18357.1720865
1900,1,19,1030374.284877,217921.8206693
1900,1,20,527119.7073129,539584.4921278
1900,1,21,179904.7973866,697142.1150621
1900,1,22,167263.7616413,98492.48998467
1900,1,23,337717.6020592,209951.3689936
1900,1,24,160354.6253152,612202.008635
1900,1,25,288727.5543928,1140577.320072
1900,1,26,24218.32914155,5646448.053571
1900,1,27,23338.2693882,14423014.72228
1900,1,28,163705.8197689,7797577.384163
1900,1,29,444419.3787696,19362544.80417
1900,1,30,74619.76784849,35689280.02608
1900,1,31,46468.40923399,43061275.82447
1900,2,1,67433.21122517,63890350.28794
1900,2,2,29278.68134328,41432952.17573
1900,2,3,23526.01185865,19800866.94775
1900,2,4,283165.4411685,3668435.498535
1900,2,5,399887.0395144,1998839.792527
1900,2,6,436605.5853105,3932426.082526
1900,2,7,1415911.70275,973378.4251345
1900,2,8,5796103.835887,755349.9287239
1900,2,9,7992664.974212,3480717.2471
1900,2,10,3446709.200055,696581.1185733
1900,2,11,1026407.612884,588289.9312677
1900,2,12,2178909.401736,727963.9454008
1900,2,13,4371566.331747,2361586.446685
1900,2,14,676407.9234103,9108685.983771
1900,2,15,129820.8404243,20345532.00841
1900,2,16,47583.53877661,25810232.1094
1900,2,17,37308.36616107,15216249.35125
1900,2,18,26982.95920516,21532194.36904
1900,2,19,25233.01784839,24507034.3727
1900,2,20,39326.7644007,4941952.906407
1900,2,21,51506.57805085,747167.0526281
1900,2,22,196947.8558956,1828676.766412
1900,2,23,54660.28654059,2138814.219756
1900,2,24,12265.38590049,12198262.86627
1900,2,25,60946.40056529,57421512.84218
1900,2,26,9508.563872688,51583880.69372
1900,2,27,13748.9962278,10484173.25163
1900,2,28,136185.9443514,1067062.828139
1900,3,1,199967.2015219,649152.4325886
1900,3,2,232138.9688363,5016494.289925
1900,3,3,185481.2503525,6769708.353429
1900,3,4,272948.8654304,7782357.885212
1900,3,5,496474.2634929,3516231.506183
1900,3,6,1276148.325104,95312.15832325
1900,3,7,1682614.706406,583871.1368137
1900,3,8,1322127.656974,425207.065505
1900,3,9,899943.4665532,1585.013645965
1900,3,10,595362.7198609,779104.8062966
1900,3,11,468359.1193391,11760859.73809
1900,3,12,201744.5980285,19635705.3101
1900,3,13,12219.74821764,7552115.836665
1900,3,14,30380.1078922,7056737.491065
1900,3,15,48559.92454275,16520824.895
1900,3,16,1813168.719352,36176653.11576
1900,3,17,981949.0377233,25693496.4215
