Year,Month,Day,LWA_Anticylonic,LWA_Cylonic
1900,1,1,203060.6099831,2667445.333599
1900,1,2,338284.8417301,263011.8515381
1900,1,3,716357.1830005,1377996.25584
1900,1,4,507606.7465333,1030476.28161
1900,1,5,2574702.828839,1296650.611243
1900,1,6,2590570.124792,914993.9511019
1900,1,7,827229.5781927,951101.4126189
1900,1,8,433870.3715009,1750643.486787
1900,1,9,220200.0425129,2333584.136678
1900,1,10,109293.0086243,2981917.331838
1900,1,11,128520.4819287,2503304.683744
1900,1,12,893113.8198763,5789935.321561
1900,1,13,2036936.757716,4447503.934596
1900,1,14,425628.707661,1010971.787509
1900,1,15,449595.433748,2207201.727359
1900,1,16,477839.597736,2126092.282965
1900,1,17,889788.5019852,1110484.640937
1900,1,18,1203642.095055,359451.4626345
1900,1,19,1363064.223205,2032901.322585
1900,1,20,345241.1574011,5913001.29667
1900,1,21,301164.7395145,6863346.775661
1900,1,22,302088.4923394,4536114.497302
1900,1,23,541282.057979,1464753.25211
1900,1,24,266236.2714772,92572.82952699
1900,1,25,596877.2181037,403462.754058
1900,1,26,164011.3735887,6110617.864662
1900,1,27,46809.92392476,21435972.30852
1900,1,28,314054.2096513,5221777.364312
1900,1,29,2785180.876731,9572859.701635
1900,1,30,1284858.613503,16813507.7986
1900,1,31,858762.6345365,26819087.09811
1900,2,1,439112.548951,53901391.12172
1900,2,2,71648.45653271,67368813.84613
1900,2,3,30083.44666782,44140858.50576
1900,2,4,253416.6132948,15170799.4856
1900,2,5,770718.2638754,11884014.40736
1900,2,6,356377.918032,9732401.516721
1900,2,7,320831.4389617,2482115.519145
1900,2,8,342516.7657266,1142413.325309
1900,2,9,1679784.353702,3279161.332749
1900,2,10,1382554.59817,3203606.778769
1900,2,11,499712.8368575,4294116.566303
1900,2,12,105293.7739263,3525772.112723
1900,2,13,102966.599629,4065060.44392
1900,2,14,138918.7438655,6286142.7806
1900,2,15,46468.67755934,5295473.018752
1900,2,16,21092.12959613,30515667.84705
1900,2,17,13238.34942175,73211191.05983
1900,2,18,1931.474246767,120229884.0297
1900,2,19,160.7918339997,130498013.82
1900,2,20,632.8816697201,55433507.53206
1900,2,21,1722.045995764,14445908.16267
1900,2,22,3101.871047458,8207637.765681
1900,2,23,815.7903590847,22436389.28058
1900,2,24,0,37307941.77975
1900,2,25,305.5789567451,70654681.80745
1900,2,26,1568.84393545,58290203.02773
1900,2,27,24666.41075983,19816852.641
1900,2,28,295827.2364641,8575657.668855
1900,3,1,350019.3233538,4972542.619962
1900,3,2,229041.6876306,6314629.946396
1900,3,3,78725.43949367,18916423.17447
1900,3,4,100920.6850523,27599560.5331
1900,3,5,209962.7978614,15153692.51306
1900,3,6,194155.127529,1230518.890953
1900,3,7,624748.6329332,578650.0868813
1900,3,8,1084576.985899,360869.2987978
1900,3,9,899113.7639375,3165.714498723
1900,3,10,65050.2255835,229557.0181628
