Year,Month,Day,LWA_Anticylonic,LWA_Cylonic
1940,1,1,10521.01409053,24135022.59004
1940,1,2,36394.91269761,19034675.22172
1940,1,3,7887.280087359,10242630.74529
1940,1,4,6115.811922948,4070657.999095
1940,1,5,17778.34422969,4383418.150755
1940,1,6,20711.90881768,6068216.647023
1940,1,7,53410.76911701,5992852.074368
1940,1,8,102252.2644689,1085398.966818
1940,1,9,132059.9568221,462231.8631478
1940,1,10,210621.3104553,52714.62553283
1940,1,11,177755.9085337,133374.2739831
1940,1,12,139820.8878983,536728.1756724
1940,1,13,102592.8070056,854439.7610815
1940,1,14,998298.8636574,4919318.917935
1940,1,15,1794048.760619,12137300.20293
1940,1,16,229624.744284,20106867.58128
1940,1,17,16116.80763828,43850253.9952
1940,1,18,38792.0932973,40393306.49566
1940,1,19,178705.8968463,21277805.57933
1940,1,20,71033.44393527,19006654.86529
1940,1,21,34686.92242097,20169595.90033
1940,1,22,43680.43331984,10703062.89948
1940,1,23,183851.7619294,4663150.413176
1940,1,24,154193.7513416,3250137.445064
1940,1,25,69056.08934932,6261209.115542
1940,1,26,25609.47519718,14948513.65057
1940,1,27,134812.6141307,20197222.65009
1940,1,28,471841.3318013,10729050.48022
1940,1,29,1425164.788377,5127047.421912
1940,1,30,4086846.937037,885845.4754433
1940,1,31,1977090.707702,473197.5093351
1940,2,1,1981578.071354,535182.2688979
1940,2,2,4361745.057625,2254446.370563
1940,2,3,3862830.972071,6057774.945505
1940,2,4,668307.0707666,5550873.249872
1940,2,5,133277.5565617,4624099.650169
1940,2,6,376059.9119745,886496.2902967
1940,2,7,666045.5632357,1780988.506008
1940,2,8,157500.2522514,1490822.806354
1940,2,9,1629658.931394,1055182.524967
1940,2,10,1776629.582743,577943.265273
1940,2,11,457212.0700259,872322.2006977
1940,2,12,224184.7796574,3452472.103478
1940,2,13,341879.0336644,1583047.848208
1940,2,14,29814.62913752,3595299.445681
1940,2,15,11019.32265806,5231226.839934
1940,2,16,3589310.316782,1114612.392353
1940,2,17,8053749.703261,792847.1979472
1940,2,18,7919891.472719,1298512.063742
1940,2,19,2963128.329968,1279814.943651
1940,2,20,1040882.942358,3398084.918245
1940,2,21,12912.63956245,6046853.185851
1940,2,22,9458.840964358,3456814.572383
1940,2,23,3649.584753978,1961568.803082
1940,2,24,1725.461876041,2453176.019482
1940,2,25,36969.29653397,3299609.961932
1940,2,26,147321.6390316,3727937.776329
1940,2,27,114129.1553082,7441542.369086
1940,2,28,360270.031795,5948202.602171
1940,2,29,848963.7555676,3960630.634664
1940,3,1,1072636.211447,762699.122657
1940,3,2,1857954.833604,195000.6469555
1940,3,3,2139122.991191,34651.58820712
1940,3,4,607783.6784395,4966.440389653
1940,3,5,494697.1553572,296826.1524773
1940,3,6,556480.1495369,1239890.96176
1940,3,7,229041.6433494,1923680.082514
1940,3,8,5908.459454509,5391414.330836
1940,3,9,0,3859504.56826
1940,3,10,174.7949552724,4003285.584862
1940,3,11,60160.86929107,5379305.706352
1940,3,12,554603.6605074,1333699.201901
1940,3,13,1886820.827138,379041.1452232
1940,3,14,2774501.25739,2594687.70347
1940,3,15,1502402.699108,6495123.428051
1940,3,16,204865.7057628,10373231.80802
1940,3,17,325979.2806817,6257341.602069
1940,3,18,96834.73672227,2544959.937364
1940,3,19,17278.47775513,3540863.735631
1940,3,20,50766.43630864,13190237.71568
1940,3,21,159207.9746671,17032104.39556
1940,3,22,148972.4241817,26924272.12261
1940,3,23,30394.75807479,39749648.96999
1940,3,24,48202.7692368,31565136.43102
1940,3,25,151311.251641,15252734.16865
1940,3,26,179979.824124,10097561.68684
1940,3,27,395901.4549618,1204207.902011
1940,3,28,1350423.069107,272907.3021082
1940,3,29,3208677.151779,48573.91865435
1940,3,30,2783086.314135,514.2871482729
1940,3,31,760853.1666966,202100.546566
1940,4,1,1085311.602308,2366856.613735
1940,4,2,1917625.743973,1120265.077326
1940,4,3,2127284.083423,567723.8293756
1940,4,4,405835.6373093,145728.7954647
1940,4,5,653259.7122575,2172184.072773
1940,4,6,864145.9053516,7259550.21131
1940,4,7,407604.8576625,6457460.69237
1940,4,8,378342.8559929,997914.5002675
1940,4,9,236404.1515402,856598.0427546
1940,4,10,108326.9430641,360119.3635493
1940,4,11,230329.973444,2909080.905215
1940,4,12,1364640.587271,10275467.45336
1940,4,13,444515.2925496,22950803.91116
1940,4,14,29980.58587163,45868202.54824
1940,4,15,31.94900179519,20400416.41379
1940,4,16,9294.211572246,1591637.106514
1940,4,17,133965.5382764,236636.8195017
1940,4,18,644246.1699719,519796.4742562
1940,4,19,1697898.465321,533873.7412917
1940,4,20,759170.7145015,1676297.117635
1940,4,21,208945.3435285,3122014.572617
1940,4,22,14674.62283442,3609921.047655
1940,4,23,720.3953665314,2844231.091274
1940,4,24,783.7365125087,1313233.473651
1940,4,25,1964.444757814,2450141.62074
1940,4,26,43152.80242621,2426542.919233
1940,4,27,389715.4610323,2215053.47375
1940,4,28,1106140.157686,3164873.775914
1940,4,29,1885218.666929,3417127.377825
1940,4,30,1023400.735654,1382696.701437
1940,5,1,269471.3586181,1727428.756616
1940,5,2,552529.820308,6328156.205143
1940,5,3,871494.9467637,8105748.697961
1940,5,4,500490.5607296,3449936.448819
1940,5,5,862813.5703254,313869.1928449
1940,5,6,3156690.150573,7648.310224473
1940,5,7,4848196.037367,73930.03833816
1940,5,8,3581326.138448,730128.2096121
1940,5,9,500892.1159635,2275050.621395
1940,5,10,216227.2010741,2487687.440654
1940,5,11,764357.91336,3942893.293564
1940,5,12,954385.9013391,4956361.47591
1940,5,13,685050.0813126,4830465.227992
1940,5,14,324983.3143641,2898710.263482
1940,5,15,2167072.587254,990416.1884936
1940,5,16,3382439.662795,913588.9019649
1940,5,17,2216489.444221,313254.5039556
1940,5,18,541258.3206938,116056.4573664
1940,5,19,689078.6980263,692790.5573059
1940,5,20,1257158.276801,1362333.396971
1940,5,21,2293198.626105,114397.9461453
1940,5,22,996073.3016464,19154.5119166
1940,5,23,382898.9309029,247819.8522096
1940,5,24,260277.9016515,2627522.113874
1940,5,25,1022538.316899,6101250.84587
1940,5,26,1843580.312245,3122462.597341
1940,5,27,672265.8642458,854588.838892
1940,5,28,794232.3499546,247942.4946495
1940,5,29,1540855.706854,579605.6507936
1940,5,30,1631223.474283,435038.5989251
1940,5,31,1563256.297553,269576.6807249
1940,6,1,1767602.650822,277259.5694979
1940,6,2,2019548.910818,71517.00319945
1940,6,3,1906950.682229,14919.91228045
1940,6,4,2929318.200019,22011.04905582
1940,6,5,4437592.837083,1237.879704173
1940,6,6,5237993.842543,31143.75726708
1940,6,7,3286224.125167,281409.2047264
1940,6,8,1317771.637756,2749.043394366
1940,6,9,3166041.819824,3943.179401677
1940,6,10,6275823.913241,13379.81937546
1940,6,11,7135300.988588,30492.63985728
1940,6,12,7388851.863451,55548.80558382
1940,6,13,7648178.345433,104659.7042362
1940,6,14,3601520.382314,788481.0951053
1940,6,15,3636002.403996,561411.8159297
1940,6,16,5036389.745245,742277.8894857
1940,6,17,12202801.92819,58350.73191672
1940,6,18,13486778.34287,343.3408336396
1940,6,19,10056482.18272,143416.1332827
1940,6,20,6164734.009258,4047306.184277
1940,6,21,5785905.839263,5402493.299729
1940,6,22,7920971.732952,1363969.48481
1940,6,23,4484898.490506,3471290.18214
1940,6,24,1687364.476439,3484206.760155
1940,6,25,1294168.082555,7131045.59478
1940,6,26,2002901.612703,8177989.048813
1940,6,27,3936631.806537,3545350.671717
1940,6,28,13647926.35588,1973994.996835
1940,6,29,12782419.80492,4793829.482056
1940,6,30,9855571.100107,11693067.14437
1940,7,1,8276431.640831,10928878.23993
1940,7,2,4695952.076155,2961689.308556
1940,7,3,6627426.577865,159149.7464183
1940,7,4,10926684.72788,358263.0314593
1940,7,5,12633295.75203,197953.9100089
1940,7,6,6786155.109085,33490.15359763
1940,7,7,4049566.151244,30829.05680608
1940,7,8,2001330.874976,15571.02329856
1940,7,9,4312727.555968,16760.21032808
1940,7,10,8390343.940926,154217.8085828
1940,7,11,7168643.746721,1676460.167487
1940,7,12,6548056.0901,2260038.461952
1940,7,13,10764703.30371,1230712.162207
1940,7,14,10692804.30268,166935.978098
1940,7,15,9870927.764543,337429.4479574
1940,7,16,7879629.81589,254290.3795211
1940,7,17,14300159.88654,3788.092793286
1940,7,18,34137465.82623,20.57752443108
1940,7,19,49589332.5249,0
1940,7,20,34668267.53286,14505.88438793
1940,7,21,32055572.66475,30496.88331742
1940,7,22,40032124.98646,6082.252895661
1940,7,23,27425191.54541,8588.173614041
1940,7,24,17284574.77278,5718.127672929
1940,7,25,11683773.45789,5508.108416248
1940,7,26,13895924.95497,73589.24771344
1940,7,27,20850946.0064,146770.0005008
1940,7,28,29480229.73507,40583.44665697
1940,7,29,49503117.13335,31693.44125143
1940,7,30,40221324.62778,6645.445950941
1940,7,31,23494846.65174,170725.324255
1940,8,1,9935847.132716,1108701.888864
1940,8,2,21868035.24015,666697.9083007
1940,8,3,30105739.4881,26365.86264396
1940,8,4,17803529.99172,150.3816031391
1940,8,5,25127799.48591,63116.85704524
1940,8,6,24608402.97403,97725.97232555
1940,8,7,11850151.05798,19688.2446697
1940,8,8,1983090.936243,7293.244460475
1940,8,9,8347596.413916,5439.805964631
1940,8,10,17885840.44663,13826.85208112
1940,8,11,32081518.67321,26753.91370295
1940,8,12,41145720.15396,257.7885776214
1940,8,13,17131197.5068,302.7253902138
1940,8,14,4931925.182207,214099.7121644
1940,8,15,2482151.335749,624304.7343478
1940,8,16,13222090.52967,11604.69336221
1940,8,17,21368040.23545,0
1940,8,18,14404569.09837,39372.84077143
1940,8,19,7253965.107612,1789191.911633
1940,8,20,3589209.956523,3022170.037686
1940,8,21,1241112.594356,1372569.677843
1940,8,22,2774905.969964,1170526.359301
1940,8,23,7647317.344388,1297389.731248
1940,8,24,9687835.335421,1565241.037133
1940,8,25,8631615.04924,3122446.492968
1940,8,26,7504474.407767,3144918.948939
1940,8,27,5753345.350391,3336235.774029
1940,8,28,5694372.803728,651592.626727
1940,8,29,12289550.51363,46780.50410279
1940,8,30,30106259.827,55651.65744685
1940,8,31,26862774.27021,31634.52608434
1940,9,1,9380908.625254,41571.73346876
1940,9,2,4622381.833116,48919.20240498
1940,9,3,6999896.444655,4537.78267144
1940,9,4,12457673.51444,8011.925198297
1940,9,5,18718347.96592,20132.33992786
1940,9,6,18538320.55145,663682.7824113
1940,9,7,16118490.53395,2800664.789674
1940,9,8,15361415.2724,3208611.360748
1940,9,9,3891470.428998,3068959.987082
1940,9,10,92833.18694689,12355618.55662
1940,9,11,747774.4012526,14095095.34319
1940,9,12,733920.5928483,4733841.376192
1940,9,13,1201721.490666,1526380.36603
1940,9,14,2106400.797237,258987.9041772
1940,9,15,2069352.092139,26890.20851995
1940,9,16,1514183.445416,51456.27371716
1940,9,17,3043627.735986,582200.3535119
1940,9,18,11511352.09467,112261.7727327
1940,9,19,18232306.66275,0
1940,9,20,13920678.21716,0
1940,9,21,14346800.55424,12974.46865341
1940,9,22,8693335.390769,372821.6604686
1940,9,23,1050703.847233,943067.0552299
1940,9,24,80354.6075196,462153.9192681
1940,9,25,2083183.195547,4182897.888202
1940,9,26,2051836.782608,3560983.072801
1940,9,27,187026.0555298,748315.9167275
1940,9,28,700198.3533098,57965.53650367
1940,9,29,3222200.131947,13068.85750552
1940,9,30,4760700.90063,55862.30317452
1940,10,1,1132720.285421,308254.1048907
1940,10,2,442634.2678716,849442.0360192
1940,10,3,272837.1018931,743156.8579984
1940,10,4,1693074.485491,340891.3650441
1940,10,5,5277249.333366,79552.48357084
1940,10,6,8794438.805517,32364.33092829
1940,10,7,1116743.327585,166071.9075219
1940,10,8,480297.32128,1175401.178369
1940,10,9,313504.6949173,715709.2929948
1940,10,10,259168.3304651,184595.5913809
1940,10,11,87331.10322148,39870.36830392
1940,10,12,190806.7614766,23137.50517333
1940,10,13,1499493.713442,147948.7595194
1940,10,14,3530419.490231,152331.107598
1940,10,15,1735398.768859,501322.5155092
1940,10,16,818331.0818435,840758.7866884
1940,10,17,1003195.526394,470532.71719
1940,10,18,1139683.691894,2469139.900996
1940,10,19,932949.3049669,9075918.331269
1940,10,20,1666658.55291,5810375.281469
1940,10,21,1491734.038506,5612044.311879
