Year,Month,Day,LWA_Anticylonic,LWA_Cylonic
1958,1,1,659762.7879544,3513280.610279
1958,1,2,695062.4016109,7421513.573641
1958,1,3,549052.8595967,5495272.168688
1958,1,4,1005511.643018,2259488.937421
1958,1,5,893677.1973255,1691232.734762
1958,1,6,52116.1700217,536402.4845803
1958,1,7,626050.2020387,4343971.379302
1958,1,8,2039549.279197,15194602.88978
1958,1,9,1426400.303217,5855269.656581
1958,1,10,362032.4829061,754710.1694738
1958,1,11,395379.6161596,1416422.21972
1958,1,12,421274.0731893,2009950.733105
1958,1,13,574784.7658948,385465.9613047
1958,1,14,195824.9633543,176967.3615738
1958,1,15,285617.995145,868105.2177194
1958,1,16,600547.7909388,4623159.195285
1958,1,17,752733.515922,10211643.75458
1958,1,18,486183.0439524,17983232.99563
1958,1,19,27394.09087254,9058261.668052
1958,1,20,238019.8241989,1431692.082991
1958,1,21,569045.4804814,2628775.140558
1958,1,22,712873.2314177,3603336.196705
1958,1,23,615554.0753557,1361013.891627
1958,1,24,2207458.413104,1275098.723709
1958,1,25,5967745.873805,1250121.57919
1958,1,26,2721557.781572,3853808.403716
1958,1,27,817716.2695147,7270479.234067
1958,1,28,289620.8346354,6017469.565641
1958,1,29,230915.6111227,3344980.082454
1958,1,30,305985.7653434,3366272.189046
1958,1,31,5836.071532333,6583696.501222
1958,2,1,39.01862257687,13289344.44024
1958,2,2,236.8229601855,45289124.02134
1958,2,3,77879.10203163,59772209.75254
1958,2,4,312830.4595436,39483967.04851
1958,2,5,49791.42207883,11313863.16962
1958,2,6,29899.22395023,3375655.796381
1958,2,7,140945.2955054,3573877.634092
1958,2,8,450995.736476,20000485.70319
1958,2,9,186706.1972299,37782535.60873
1958,2,10,6207.600929301,41360528.67689
1958,2,11,814.8863636364,25379927.81603
1958,2,12,5785.261944395,23124876.00323
1958,2,13,2616.965497022,28876460.83398
1958,2,14,0,27524188.2262
1958,2,15,0,17141902.78983
1958,2,16,169.7788634275,45484673.75963
1958,2,17,6892.17593188,74833752.5677
1958,2,18,219890.4613632,55451182.46204
1958,2,19,1621831.959218,32066101.7994
1958,2,20,3117915.003451,7747368.896187
1958,2,21,2936359.468481,1340093.064212
1958,2,22,2180413.293514,1003593.239398
1958,2,23,2565462.188787,6330408.876921
1958,2,24,480645.836299,2244129.65116
1958,2,25,467360.5325103,378915.9489673
1958,2,26,1077059.695869,828859.7498459
1958,2,27,2032420.505651,6164348.897381
1958,2,28,1334617.167105,5766857.60361
1958,3,1,435061.7942628,2518789.600592
1958,3,2,282430.3226057,1864507.556363
1958,3,3,113321.2399702,2335033.161186
1958,3,4,14066.85059094,2541784.7197
1958,3,5,30753.26714468,3808738.473359
1958,3,6,67376.93632456,3079708.535081
1958,3,7,219739.5846325,5019219.069632
1958,3,8,503400.3263255,5467694.747053
1958,3,9,427711.2741852,2070163.690681
1958,3,10,142978.50415,1205435.460249
1958,3,11,22353.85429918,1226249.788195
1958,3,12,38933.51975129,2436865.8599
1958,3,13,118143.3222259,1710306.777275
1958,3,14,382852.1749162,2192338.515936
1958,3,15,53744.41973213,7283384.33417
1958,3,16,5632.471530581,14086143.07007
1958,3,17,35045.14038478,8398032.640087
1958,3,18,147772.851136,2341597.612926
1958,3,19,55192.74407727,1458366.175043
1958,3,20,2798.60535299,5336012.020816
1958,3,21,69008.2052324,18997942.51588
1958,3,22,207561.7778203,16730486.96191
1958,3,23,1044504.88357,4258808.681858
1958,3,24,2014698.291508,787111.2968001
1958,3,25,1676556.929445,173213.8850664
1958,3,26,720842.3581957,871417.6824299
1958,3,27,336576.6724374,1419088.057124
1958,3,28,208519.6110714,1556188.150572
1958,3,29,136040.5691543,2074953.518727
1958,3,30,60278.666677,1452083.884572
1958,3,31,81885.31195558,653586.6099982
1958,4,1,282371.8208649,951757.9426557
1958,4,2,441645.8359433,3286199.135005
1958,4,3,655881.4377219,3674159.751091
1958,4,4,713297.3178858,3086407.84346
1958,4,5,395366.3495232,3762933.035771
1958,4,6,147299.7979245,5427590.133727
1958,4,7,293485.1462857,8624640.711801
1958,4,8,415039.6684833,16772864.95708
1958,4,9,680222.0530381,9151439.654289
1958,4,10,375485.8469803,2732435.358509
1958,4,11,264915.2579738,2331168.148712
1958,4,12,85853.22533048,2260842.067942
1958,4,13,162794.3158766,2668595.32355
1958,4,14,585857.8054204,2104783.989162
1958,4,15,688799.1106352,1520468.172691
1958,4,16,1421963.770367,1895781.184948
1958,4,17,2187928.402993,2204906.066021
1958,4,18,1913836.452371,1809515.146798
1958,4,19,742500.5825491,702359.0225247
1958,4,20,213887.6304344,122515.6603181
1958,4,21,563138.3258761,1083135.979898
1958,4,22,725683.2006096,4195589.114803
1958,4,23,497207.0664868,2440060.846969
1958,4,24,768683.6506713,1631059.59687
1958,4,25,1205107.377317,1778622.850873
1958,4,26,359161.3468655,2447072.741863
1958,4,27,161377.6696927,582582.0147073
1958,4,28,725548.2615849,1808418.477851
1958,4,29,1438275.541071,14674820.9624
1958,4,30,1377409.957341,11048799.73294
1958,5,1,995235.294907,8010179.653005
1958,5,2,2409969.886929,978854.5996543
1958,5,3,4021200.64829,1002476.408106
1958,5,4,1907611.707361,503009.670443
1958,5,5,549499.3693068,1036589.019566
1958,5,6,520895.0499048,757064.1902421
1958,5,7,295810.422865,3819664.626347
1958,5,8,118550.429801,6766514.388489
1958,5,9,7493.076016241,12553925.52194
1958,5,10,25248.97884158,6127051.016637
1958,5,11,176841.4897694,676068.8831484
1958,5,12,1795616.355359,283023.415412
1958,5,13,5229607.331775,772175.6596567
1958,5,14,4271373.415631,3759355.802828
1958,5,15,1805338.005865,3530032.782789
1958,5,16,650533.7681945,1523833.130685
1958,5,17,179911.3716792,634136.3141829
1958,5,18,93827.4503361,481092.0625224
1958,5,19,331775.7127109,1868746.565886
1958,5,20,513145.78322,2518537.9903
1958,5,21,126003.7135639,4325416.065593
1958,5,22,60523.31637415,4002447.925258
1958,5,23,66210.33921316,1737020.28677
1958,5,24,98305.48768733,97728.77281932
1958,5,25,158415.0229951,1035005.986251
1958,5,26,161307.4587844,1371044.42825
1958,5,27,173341.9643154,641528.3242191
1958,5,28,374233.4964735,986805.13708
1958,5,29,309669.8870649,2662409.879701
1958,5,30,168937.00014,3872514.455196
1958,5,31,190278.5632054,947800.8799609
