Year,Month,Day,LWA_Anticylonic,LWA_Cylonic
1948,1,1,537927.298193,337665.4149114
1948,1,2,554762.9180489,627626.2210175
1948,1,3,326647.0246375,909213.5830876
1948,1,4,440930.2200776,642654.6229479
1948,1,5,671669.1770642,1334313.910484
1948,1,6,740559.3371087,523094.5153505
1948,1,7,1382284.173059,2588087.393472
1948,1,8,1575183.064874,2315927.932703
1948,1,9,904948.051694,210910.9731733
1948,1,10,773817.7888487,3828111.983217
1948,1,11,361926.4760299,6406361.323095
1948,1,12,134196.041038,469194.6160498
1948,1,13,420873.4892004,3837617.372806
1948,1,14,1185367.848256,18117225.16264
1948,1,15,1043262.992328,10912399.89753
1948,1,16,251585.117659,5124954.644343
1948,1,17,587400.1523086,6934405.885219
1948,1,18,464213.0292713,4553310.083959
1948,1,19,79089.9540138,2465159.070753
1948,1,20,355566.5786771,1833984.091873
1948,1,21,299042.8295867,3507722.985897
1948,1,22,103219.7723269,29783216.37609
1948,1,23,374116.6302083,35094769.86805
1948,1,24,2183364.633215,11010573.39331
1948,1,25,3445928.164419,3370430.832082
1948,1,26,975876.6437924,2431274.005851
1948,1,27,331902.1989762,6956203.28371
1948,1,28,220077.3670152,13026738.90394
1948,1,29,498100.7649636,7317963.932413
1948,1,30,1014538.197484,9566037.559963
1948,1,31,662701.9782827,3433644.257825
1948,2,1,95196.76880042,368623.826051
1948,2,2,55353.95379519,1091325.956486
1948,2,3,21022.51203789,8051094.429742
1948,2,4,38345.31318136,8604306.766428
1948,2,5,469875.8046628,4926837.877572
1948,2,6,727553.587597,2955009.58072
1948,2,7,560884.9118668,8475807.009485
1948,2,8,494814.7338644,8556295.633535
1948,2,9,221653.6625626,12355649.61693
1948,2,10,535276.1661624,3292748.490055
1948,2,11,2346362.685298,230784.9495953
1948,2,12,5198489.527988,1525146.879851
1948,2,13,4219973.010871,2774312.934076
1948,2,14,4974949.956,5983357.952493
1948,2,15,3848403,23736936.02117
1948,2,16,4885390.064338,2044160.631753
1948,2,17,2971547.672232,571489.5616575
1948,2,18,3881246.158229,5505610.358172
1948,2,19,1489595.008092,705088.9888046
1948,2,20,958977.3910207,4033119.232104
1948,2,21,452535.9685936,2009897.593293
1948,2,22,429407.8736915,629365.8918521
1948,2,23,687438.5070406,74278.45947266
1948,2,24,7749758.790428,8507.690059487
1948,2,25,7047402.881201,2562.563942504
1948,2,26,2672123.970697,1390798.394857
1948,2,27,880517.9141008,5374441.273801
1948,2,28,464277.4863656,3570324.593421
1948,2,29,769751.9159789,2831366.336873
1948,3,1,509687.1405085,3702408.119145
1948,3,2,298190.0222471,1177860.66286
1948,3,3,370075.6222885,932461.0172797
1948,3,4,487994.8747575,1305454.346735
1948,3,5,1284042.348713,4984304.072598
1948,3,6,2289940.57778,5219604.730466
1948,3,7,136476.9718073,2458690.783433
1948,3,8,22748.29690691,4708583.913711
1948,3,9,110520.6556053,4482677.516257
1948,3,10,302660.8123604,6141737.470754
1948,3,11,583904.368713,5527045.179062
1948,3,12,931428.3185126,3566656.571297
1948,3,13,558597.6637434,6193613.966881
1948,3,14,127487.3590048,3130520.37613
1948,3,15,156413.4949919,242298.9580533
1948,3,16,1467941.418409,546346.1781907
1948,3,17,1638706.772853,299234.9943114
1948,3,18,549507.4112353,307134.8092033
1948,3,19,2084569.484238,156421.5654225
1948,3,20,6680929.119677,72280.72918063
1948,3,21,10436432.90139,229208.5365413
1948,3,22,4760199.781333,644278.6889393
1948,3,23,1861712.887102,288331.9813687
1948,3,24,848728.4213077,18504.05756293
1948,3,25,904005.9698367,2156379.373494
1948,3,26,549205.7699429,504355.0681487
1948,3,27,161142.8791129,1147533.501328
1948,3,28,76854.75100369,5877321.705104
1948,3,29,30082.42920241,7422859.742979
1948,3,30,26337.42915454,3340726.973713
1948,3,31,163461.2307241,4912972.785475
1948,4,1,1080816.250638,5963109.77111
1948,4,2,2108279.45744,2574767.121789
1948,4,3,1024674.383681,3574565.199806
1948,4,4,1325499.777491,7592337.342659
1948,4,5,854397.6352092,802719.8308712
1948,4,6,717597.8580937,26546.74526958
1948,4,7,1046372.342559,87034.34751742
1948,4,8,2920317.453942,1007801.010448
1948,4,9,1491861.260793,4243672.125914
1948,4,10,389208.176311,10620247.73261
1948,4,11,135655.5410826,7358740.972835
1948,4,12,1612270.236175,4848144.640568
1948,4,13,9024140.713018,622590.9925641
1948,4,14,5171203.279903,143289.8370417
1948,4,15,2195643.272407,377707.1108047
1948,4,16,1166828.972616,889055.3878489
1948,4,17,1819534.072896,1821156.613195
1948,4,18,2381813.424667,691899.6457089
1948,4,19,6118550.698351,1819.824336831
1948,4,20,5528238.532756,36831.10334967
1948,4,21,2927427.241801,74094.20353828
1948,4,22,2099763.542776,292844.7323309
1948,4,23,3782675.760212,730410.3511285
1948,4,24,5702671.792246,724311.3708831
1948,4,25,6134574.386463,2541869.132061
1948,4,26,4505222.857479,6402183.883446
1948,4,27,1512698.386661,9094738.586183
1948,4,28,1549960.069783,8644455.682228
1948,4,29,2538698.614858,12458213.43061
1948,4,30,179952.2047845,18752032.8816
1948,5,1,39446.46567271,12396921.6785
1948,5,2,171192.5227976,6242303.767779
1948,5,3,185797.7614726,3458629.507085
1948,5,4,47641.40668403,2356008.422122
1948,5,5,26545.27445874,966780.695855
1948,5,6,35361.21738967,1050664.395522
1948,5,7,238750.2609528,4330478.544599
1948,5,8,1406677.156767,7004612.024941
1948,5,9,2306355.877074,2768695.714095
1948,5,10,5698756.486855,333482.651348
1948,5,11,4107498.231027,73188.74984681
1948,5,12,5117710.339129,21287.64002821
1948,5,13,3014581.981665,263169.8494414
1948,5,14,1253947.903963,118182.8865269
1948,5,15,632894.1064804,1181726.014175
1948,5,16,644398.6971507,2042955.814396
1948,5,17,1532455.590048,957954.7881881
1948,5,18,4446465.197379,1821894.775435
1948,5,19,9985817.765449,3627243.887331
1948,5,20,9620188.095007,7786671.839694
1948,5,21,3205516.002875,12176459.99074
1948,5,22,1385426.320032,10636421.7354
1948,5,23,599478.9454848,5448217.353822
1948,5,24,859961.4307861,2479561.167717
1948,5,25,767330.3070659,717073.9533931
1948,5,26,628155.4545611,71453.12212137
1948,5,27,734495.4768705,99819.24988351
1948,5,28,1626135.99436,85105.97722312
1948,5,29,1255718.905299,213718.5279828
1948,5,30,1272063.993402,149297.4430291
1948,5,31,5229466.558803,28847.6255936
