Year,Month,Day,LWA_Anticylonic,LWA_Cylonic
1900,1,1,8833069.23537,9050521.78238
1900,1,2,6876996.48689,8439176.94532
1900,1,3,6444935.16032,9136922.00681
1900,1,4,6244809.76621,9696608.62455
1900,1,5,6002832.53551,10200775.876
1900,1,6,6092423.31544,10633777.1929
1900,1,7,6819140.90301,10896721.2552
1900,1,8,8369070.7913,14404161.1743
1900,1,9,9253610.98624,15778283.7264
1900,1,10,9839343.52421,15480976.8834
1900,1,11,9404548.34151,11683774.5371
1900,1,12,9008050.42643,8896437.63243
1900,1,13,8985468.53968,9008984.51239
1900,1,14,10764450.8696,11772166.482
1900,1,15,9583783.18908,18965929.3005
1900,1,16,7240287.97408,19423677.6488
1900,1,17,7427349.92729,17159181.8924
1900,1,18,6638450.68279,16304481.6305
1900,1,19,4882310.79139,17330409.9445
1900,1,20,5086185.0116,16554299.2291
1900,1,21,5864753.74506,11525192.2687
1900,1,22,6969415.55756,10352208.4391
1900,1,23,6467987.28603,9046510.21665
1900,1,24,4968063.48153,6485445.91833
1900,1,25,4575223.44694,6593797.29642
1900,1,26,5387317.82281,9162806.58352
1900,1,27,7337742.95258,11864873.3586
1900,1,28,10949750.8641,11918092.9768
1900,1,29,9140977.12486,13016107.0863
1900,1,30,7075747.5713,15256145.017
1900,1,31,7465297.91374,16906103.273
1900,2,1,7603220.86109,19606850.6377
1900,2,2,8094904.95881,18512504.3558
1900,2,3,7490015.22918,14096591.8693
1900,2,4,6129491.71268,9879483.80727
1900,2,5,6038300.55146,8982553.97108
1900,2,6,6927000.02118,8536755.44767
1900,2,7,7643481.78166,8241673.71818
1900,2,8,8762939.83984,10811721.0448
1900,2,9,9505748.16417,14510989.7954
1900,2,10,8674637.17231,17055439.8839
1900,2,11,8966975.1924,15860609.887
1900,2,12,9782355.76329,12870200.4935
1900,2,13,9283423.52405,12728562.909
1900,2,14,8949578.6638,14389145.784
1900,2,15,10114282.6497,15528911.124
1900,2,16,8119892.17548,17512491.0431
1900,2,17,5724999.9559,18135051.5286
1900,2,18,6014145.88094,17339730.6934
1900,2,19,6010381.50855,16566059.4936
1900,2,20,6331111.99629,12647530.6779
1900,2,21,6367693.81238,9892802.9066
1900,2,22,7750083.99993,6894632.74326
1900,2,23,9122660.83445,6522667.38266
1900,2,24,8695942.00501,9060369.32711
1900,2,25,8646643.82867,12409085.9974
1900,2,26,9010293.67355,14126879.4899
1900,2,27,8521845.16626,17255797.0265
1900,2,28,5301716.068,22674572.1399
1900,3,1,4136623.68416,19654552.5762
1900,3,2,3675571.91313,19153628.1251
1900,3,3,4036049.46028,21812692.6793
1900,3,4,5404220.57701,20349380.4231
1900,3,5,6225240.78325,15622566.7132
1900,3,6,5879465.65887,12505138.2935
1900,3,7,5396509.93728,8535529.91599
1900,3,8,4317525.35895,6501656.52895
1900,3,9,4051583.08088,6400259.60918
1900,3,10,5272949.8983,6607210.60166
1900,3,11,6346983.92741,7488742.76523
1900,3,12,7269510.17397,10357089.9773
1900,3,13,9420698.60102,9870512.58518
1900,3,14,11199411.016,12660754.8262
1900,3,15,11386725.8547,13032763.0592
1900,3,16,10217090.7938,14150436.3861
1900,3,17,10453022.6098,17534231.7818
1900,3,18,11672110.8023,21025769.032
1900,3,19,11613452.7955,21387170.5405
1900,3,20,9930222.4338,17018530.7038
1900,3,21,8846939.98842,12935159.9207
1900,3,22,8140102.59789,10274102.6465
1900,3,23,6855899.92979,7841867.74203
1900,3,24,5139184.81427,7042630.93221
1900,3,25,4583737.42898,6568272.97041
1900,3,26,4621694.75164,7016759.1136
1900,3,27,4735859.78154,6940854.05138
1900,3,28,3500197.03832,8985291.38927
1900,3,29,3222228.8697,11074280.698
1900,3,30,4439921.38307,12903662.7066
1900,3,31,5319458.11833,13159610.6589
1900,4,1,5367195.41345,11106374.3679
1900,4,2,4496134.70779,9451970.80946
1900,4,3,3034426.51518,9147968.42714
1900,4,4,2393291.36793,9376896.58645
1900,4,5,2540241.22149,8549514.85423
1900,4,6,2883633.81747,8515903.59149
1900,4,7,4024049.08849,9388277.34184
1900,4,8,4518181.42207,13247986.4917
1900,4,9,4379310.1304,14773282.0442
1900,4,10,3982459.6022,12844723.6106
1900,4,11,3696648.61281,10868685.7861
1900,4,12,3214319.85307,6891339.36404
1900,4,13,3232146.04186,7880670.35442
1900,4,14,3781534.37479,11331704.9983
1900,4,15,3849959.00563,12086003.9736
1900,4,16,3190067.70476,10127319.6807
1900,4,17,2624668.17515,6998286.54945
1900,4,18,2782937.43712,5437739.76744
1900,4,19,3511741.14735,6341821.48162
1900,4,20,4356112.51299,8264503.8688
1900,4,21,4095175.38757,6805253.36167
1900,4,22,4242444.8322,7734955.83681
1900,4,23,4134670.77493,8616799.47663
1900,4,24,3641658.71585,7960789.93206
1900,4,25,3790085.74397,8111699.14616
1900,4,26,4366809.72034,10533535.1374
1900,4,27,5404677.04241,11507056.379
1900,4,28,5968399.81458,7952924.27727
1900,4,29,5299066.09661,5962219.81887
1900,4,30,4653405.12439,5761785.56821
1900,5,1,4177366.79761,6826000.05759
1900,5,2,3591381.36806,6663707.07371
1900,5,3,3046244.11153,6809463.46426
1900,5,4,3407238.43062,6257394.02235
1900,5,5,4048429.96111,4346208.91796
1900,5,6,4211201.03355,3009048.50076
1900,5,7,4145788.13735,2898752.7339
1900,5,8,3923161.55827,3252109.31917
1900,5,9,3201757.10901,3222816.43217
1900,5,10,2475752.47038,2703669.21162
1900,5,11,2653997.33942,2666818.55107
1900,5,12,2897613.00832,4307522.10739
1900,5,13,2628989.14724,5806811.73491
1900,5,14,2530736.03041,5151724.66273
1900,5,15,2240313.52698,4798620.10659
1900,5,16,1758073.66173,3714726.22732
1900,5,17,1753079.67318,2634483.94703
1900,5,18,2271031.03452,2883295.59795
1900,5,19,2387464.90987,3289802.52801
1900,5,20,2397970.4142,4659874.24719
1900,5,21,2625504.72201,5098670.41179
1900,5,22,2892601.78242,5303546.86339
1900,5,23,2540227.5478,4956143.1879
1900,5,24,2695899.80871,6280527.42638
1900,5,25,3117055.94714,5926193.0498
1900,5,26,3551728.64996,6026209.51739
1900,5,27,4052068.97447,5565295.20503
1900,5,28,3856081.3925,5553258.79131
1900,5,29,3147515.29916,5985440.35506
1900,5,30,3994945.92207,6153069.42418
1900,5,31,4272660.00986,7846050.78345
1900,6,1,3786113.57098,8612623.40189
1900,6,2,3284473.86195,6356178.85648
1900,6,3,2391959.44148,4623627.55846
1900,6,4,2331637.2184,2965069.2749
1900,6,5,2169445.41226,2038778.88357
1900,6,6,1981100.74904,2051222.19619
1900,6,7,1730578.52082,2272883.90676
1900,6,8,1946827.59443,1678131.86076
1900,6,9,1931982.57761,2570366.94421
1900,6,10,1786821.82127,3826213.14875
1900,6,11,2327869.68638,4046782.18644
1900,6,12,3044352.01534,3297163.86868
1900,6,13,3115211.8796,3346709.91938
1900,6,14,3069473.85951,3672557.5011
1900,6,15,3308413.61935,4643408.85728
1900,6,16,3727564.03666,5259323.17823
1900,6,17,3241292.92734,5734243.10592
1900,6,18,3564481.93632,6057311.24273
1900,6,19,3729613.59108,6249548.45278
1900,6,20,3502583.27802,5313027.28318
1900,6,21,2891604.13459,4697500.75017
1900,6,22,3468478.18119,3050215.26845
1900,6,23,4356615.77881,2187552.7833
1900,6,24,4424703.08912,1914905.18786
1900,6,25,4624642.8374,1779784.46398
1900,6,26,5424270.15371,2247033.20774
1900,6,27,5164236.562,2358102.90374
1900,6,28,5624030.02703,2036935.29734
1900,6,29,6868767.67437,1627576.92329
1900,6,30,7431052.40739,1610500.99345
1900,7,1,7785263.81386,1831103.74416
1900,7,2,7741898.31317,2356343.60024
1900,7,3,6969897.4039,2568799.2539
1900,7,4,6664877.1094,2189983.63817
1900,7,5,6238763.20481,2012785.14236
1900,7,6,5349736.13916,1946329.43838
1900,7,7,5192810.73561,2008763.87368
1900,7,8,5381135.73944,1862123.50616
1900,7,9,4925628.50621,2196419.63423
1900,7,10,5405450.80158,2787160.84206
1900,7,11,6467847.47922,2633419.30374
1900,7,12,6949481.87291,1854668.51147
1900,7,13,5939157.7641,2376016.01942
1900,7,14,5317072.52812,2536814.61339
1900,7,15,4810857.73267,2211648.32006
1900,7,16,6818204.79043,2230914.61173
1900,7,17,9091741.84058,1923002.8347
1900,7,18,9229308.03003,1578405.2631
1900,7,19,8570663.12554,1454597.61389
1900,7,20,7440642.85725,1458252.46972
1900,7,21,11510839.1597,1349373.99291
1900,7,22,13779972.2447,2021990.80518
1900,7,23,10045629.1089,2996406.93513
1900,7,24,6924496.33445,2795206.93743
1900,7,25,5455202.97207,2970610.23111
1900,7,26,5917952.3676,3052339.20981
1900,7,27,7549596.9563,3100947.17598
1900,7,28,7702069.76142,3247813.72339
1900,7,29,8379525.13511,3656308.50964
1900,7,30,9872690.82381,3217279.41835
1900,7,31,10339173.7331,2298999.50547
1900,8,1,9636150.2882,2249178.85801
1900,8,2,10322031.2716,2579535.87579
1900,8,3,9305538.81112,2992239.46976
1900,8,4,8698139.71951,2886376.20525
1900,8,5,7834717.16388,2982388.6148
1900,8,6,7001678.9264,2434476.72922
1900,8,7,6351898.41527,1539092.80765
1900,8,8,6073821.68904,1047170.34075
1900,8,9,5217769.20892,1317625.57504
1900,8,10,5038003.79166,1087210.97065
1900,8,11,5746456.74237,1000283.26548
1900,8,12,7381121.15937,925093.814653
1900,8,13,7586147.57762,1037050.02923
1900,8,14,6172627.93134,1215267.72824
1900,8,15,4608114.75844,1466304.86119
1900,8,16,3931160.92239,1784788.64277
1900,8,17,4463436.66887,2167564.36088
1900,8,18,4514557.50735,2483478.17462
1900,8,19,4773123.27611,3372974.78654
1900,8,20,5636849.11876,3727423.43085
1900,8,21,6308847.91408,2532746.73062
1900,8,22,6060393.31467,1865270.81986
1900,8,23,6195362.08704,1782905.52575
1900,8,24,6932400.51078,1887523.36425
1900,8,25,6987026.28181,1718089.39685
1900,8,26,5967065.45808,1465985.79146
1900,8,27,5195084.85377,1274081.91642
1900,8,28,5094505.85719,1439586.87046
1900,8,29,3750596.45532,1691470.1323
1900,8,30,3167728.07748,1455869.33785
1900,8,31,3243269.92789,1511133.46842
1900,9,1,4398082.90548,1879628.64336
1900,9,2,5312949.21077,1809560.08059
1900,9,3,5869651.55771,1303672.97317
1900,9,4,5318043.8124,1108407.65995
1900,9,5,4855278.7795,828138.529893
1900,9,6,4564955.47513,733109.548754
1900,9,7,4596714.8102,920846.508257
1900,9,8,4805498.6861,1549199.12143
1900,9,9,4862649.8227,1942577.87984
1900,9,10,4563824.92434,2291342.82061
1900,9,11,4253914.28946,2890282.94564
1900,9,12,3904846.24871,2904435.21644
1900,9,13,3356496.582,2703102.82406
1900,9,14,3001573.9149,2273679.20403
1900,9,15,3473330.92794,1626810.38741
1900,9,16,4086487.36317,1322123.89546
1900,9,17,4561310.54917,1490910.06425
1900,9,18,4878291.05745,2537953.99124
1900,9,19,5898041.50124,3227938.09732
1900,9,20,6783899.30828,2307385.43445
1900,9,21,6072136.77394,2081570.76224
1900,9,22,4357366.69937,1863804.14047
1900,9,23,4471836.1979,1486789.69092
1900,9,24,4225645.27364,1359354.36942
1900,9,25,3984819.62599,1466870.23183
1900,9,26,5255441.72258,1630832.29073
1900,9,27,5009044.21678,1853126.36524
1900,9,28,4175414.21954,1748630.11981
1900,9,29,3129706.26705,1235933.31952
1900,9,30,3681703.11524,912052.809429
1900,10,1,3375394.85005,1123171.04555
1900,10,2,2872687.99015,1412650.19257
1900,10,3,3081197.78322,1599485.54452
1900,10,4,2945759.1874,1865206.0057
1900,10,5,2146880.0154,2312595.2109
1900,10,6,1741965.47121,3139061.04541
1900,10,7,2620541.63956,4027546.22813
1900,10,8,4972859.96032,2582172.58939
1900,10,9,6592806.68142,2013526.4683
1900,10,10,4795374.15092,1721540.47291
1900,10,11,3099681.90308,1515528.71191
1900,10,12,2513989.34318,1281485.74464
1900,10,13,1689278.85826,1826827.51706
1900,10,14,2114862.46193,2157893.25639
1900,10,15,3379222.23141,1933302.29401
1900,10,16,4150751.89119,2612928.46168
1900,10,17,4417445.46451,4098015.64801
1900,10,18,4666572.28722,7320061.09895
1900,10,19,5138575.69804,7270765.7991
1900,10,20,5027345.59941,7360135.75369
1900,10,21,4698521.30952,7221742.87
1900,10,22,4881294.99102,5544929.83874
1900,10,23,4869797.80179,4332969.1625
1900,10,24,4764688.83189,3419546.3784
1900,10,25,3607021.21294,2990546.00522
1900,10,26,3159282.99284,3653574.28555
1900,10,27,3475035.48075,5063649.52758
1900,10,28,3129449.77122,6355752.18648
1900,10,29,2126093.82589,7992052.48629
1900,10,30,1501194.45181,10831002.3861
1900,10,31,2238289.84406,12695712.3009
1900,11,1,3068298.34515,13267396.6029
1900,11,2,3702334.3112,11408128.7874
1900,11,3,3009419.66906,7556201.77779
1900,11,4,3358947.32457,4706791.4923
1900,11,5,3873299.01549,5115148.53542
1900,11,6,4793170.00091,7400849.96055
1900,11,7,5411114.4599,8537973.14499
1900,11,8,5757350.58356,8423669.89274
1900,11,9,5756450.58945,6979296.76772
1900,11,10,6641470.27242,6988553.42372
1900,11,11,6988864.45946,6914666.30381
1900,11,12,7045332.75891,7190866.89482
1900,11,13,7083591.13283,8494707.43237
1900,11,14,6772445.54094,8290478.52101
1900,11,15,6275605.59607,7083829.39704
1900,11,16,4950639.76387,9639183.89823
1900,11,17,4806986.1209,12391210.8976
1900,11,18,5786716.24878,13954517.3186
1900,11,19,6696553.82674,14280998.1914
1900,11,20,5603522.5509,13829731.9432
1900,11,21,3355653.4142,13610584.9961
1900,11,22,2474970.68452,14454112.6789
1900,11,23,2297692.28671,16928341.009
1900,11,24,2323622.11735,17545505.3827
1900,11,25,3354556.9897,14655747.8089
1900,11,26,4108251.97123,9102972.04015
1900,11,27,4785142.19465,9202778.12244
1900,11,28,5137506.99192,14539073.489
1900,11,29,3957342.71365,13757527.9205
1900,11,30,4534651.41752,14056245.562
1900,12,1,4670634.95529,13127048.8731
1900,12,2,5190772.88054,9791078.62016
1900,12,3,4680251.18688,10128256.6179
1900,12,4,3839702.61808,9696658.54456
1900,12,5,3521309.99258,8139153.5589
1900,12,6,4314181.86555,6568908.92548
1900,12,7,4581478.55976,8382978.55988
1900,12,8,4621713.63584,13515382.804
1900,12,9,4862629.8211,11341623.6798
1900,12,10,4606985.9229,8238645.33159
1900,12,11,4224072.53945,6607020.33979
1900,12,12,4792448.03645,7027268.94571
1900,12,13,4933116.71371,6527827.33937
1900,12,14,4025632.9552,6220414.07378
1900,12,15,3695525.72036,6013975.63163
1900,12,16,3339642.89377,5232327.45285
1900,12,17,3731387.15019,3934871.02402
1900,12,18,3485238.62993,3438955.7526
1900,12,19,3173814.37938,3376507.89233
1900,12,20,3042750.5781,3551763.67024
1900,12,21,2999937.36111,4566653.56998
1900,12,22,3158774.3199,6206731.7777
1900,12,23,2964555.12476,4378793.90725
1900,12,24,2423655.78203,3258832.35183
1900,12,25,2625326.12541,5401226.16236
1900,12,26,3200972.90974,5272624.54877
1900,12,27,4071660.24651,7309706.62818
1900,12,28,4179292.93229,6059474.35649
1900,12,29,3237896.1265,6746182.96058
1900,12,30,3194600.11134,8558758.36781
1900,12,31,5152821.65495,8857010.67208
1901,1,1,7376586.69195,8286961.91203
1901,1,2,8138468.41386,9315001.38609
1901,1,3,9569068.69254,9920925.08149
1901,1,4,9770436.8174,11021711.1277
1901,1,5,10916183.458,11876590.1356
1901,1,6,12436930.7624,11174092.167
1901,1,7,12338052.5391,8771008.59803
1901,1,8,12182446.2797,8012591.74404
1901,1,9,10267173.1523,7708912.96928
1901,1,10,8100547.00853,7998266.36517
1901,1,11,8339905.24063,8600407.99003
1901,1,12,8272030.2704,10409178.2679
1901,1,13,9826978.22036,9612301.33125
1901,1,14,11202946.6057,9116587.84007
1901,1,15,12393162.155,8503318.37686
1901,1,16,10031464.7979,6989363.61288
1901,1,17,7343806.97847,6781624.26114
1901,1,18,6522177.62687,8549411.54525
1901,1,19,6233520.11025,12858984.4501
1901,1,20,6415451.26528,12116492.9309
1901,1,21,6605551.57487,7543256.49518
1901,1,22,5886440.5281,5104462.7373
1901,1,23,6282178.74808,3741987.41541
1901,1,24,6828828.40229,3833252.15816
1901,1,25,5872056.7595,5171141.9781
1901,1,26,6741466.65317,6740380.12699
1901,1,27,8604747.79081,6331507.32408
1901,1,28,10633309.9293,6384632.53751
1901,1,29,13246584.4271,7643031.62448
1901,1,30,13656986.7259,7077294.33988
1901,1,31,12295911.7704,8568189.1452
1901,2,1,10522348.5472,9256131.72107
1901,2,2,10125033.8894,7447466.92444
1901,2,3,10283360.5772,7647216.56041
1901,2,4,11021995.8008,11076455.0554
1901,2,5,11637152.0136,12805590.1995
1901,2,6,12571958.6412,15471877.9307
1901,2,7,13746835.9334,17018842.9152
1901,2,8,11588980.2074,17409866.6023
1901,2,9,11810660.5558,16266729.4367
1901,2,10,12255900.5965,18774989.3335
1901,2,11,10831011.9716,22203801.4927
1901,2,12,10416651.7264,22706400.764
1901,2,13,11847272.4538,22888008.1696
1901,2,14,13658828.2755,20611510.4753
1901,2,15,16112325.2837,19123271.7488
1901,2,16,16162492.9564,17470143.3786
1901,2,17,13721524.6241,20036879.5203
1901,2,18,12994713.9314,22302442.5213
1901,2,19,11915623.3957,26955169.9062
1901,2,20,11822039.8509,30757087.4503
1901,2,21,15896231.7181,30882782.5312
1901,2,22,14848281.1212,24562989.2503
1901,2,23,11719007.6354,21148810.1154
1901,2,24,11308386.6722,18489588.2198
1901,2,25,10216395.4161,15329779.0899
1901,2,26,8401979.16699,13030033.4858
1901,2,27,6910181.63796,9529572.20993
1901,2,28,7103556.36558,8043659.85265
1901,3,1,5489170.55792,9289115.30677
1901,3,2,3674062.97863,11743605.4742
1901,3,3,4559502.48065,14262153.9008
1901,3,4,7698488.17645,15824588.9369
1901,3,5,12026133.2549,15098396.7482
1901,3,6,13513738.4127,16604019.1323
1901,3,7,10607900.8327,14012317.129
1901,3,8,7654960.86729,13512916.0093
1901,3,9,6243839.72234,13905454.0931
1901,3,10,5619485.18609,10668483.016
1901,3,11,5230572.56527,7461582.67361
1901,3,12,4325847.50377,7467808.66292
1901,3,13,4193829.21722,6789658.58933
1901,3,14,4704113.30997,6171909.80034
1901,3,15,5003571.02523,6376581.56318
1901,3,16,4979015.17449,6604936.82745
1901,3,17,4260639.74567,7446848.20322
1901,3,18,3429239.76847,7243976.3641
1901,3,19,3301912.22349,6298723.6131
1901,3,20,3918550.92234,5201275.65547
1901,3,21,4734430.85193,4528852.54074
1901,3,22,5951425.92957,4439554.20428
1901,3,23,6217478.0666,4149906.31778
1901,3,24,4795873.95066,3898071.48464
1901,3,25,4510792.00323,4236439.20837
1901,3,26,5439036.80117,5327286.11132
1901,3,27,6134438.40061,5310107.69463
1901,3,28,4553793.59156,5438126.59811
1901,3,29,4568608.48902,5745242.38533
1901,3,30,5788765.92568,6645903.61659
1901,3,31,6474626.09974,6889802.21837
1901,4,1,7181705.82684,6271003.07629
1901,4,2,7305797.05128,5747965.42852
1901,4,3,6054501.11888,5832152.32678
1901,4,4,5439837.2254,5943597.82801
1901,4,5,4731724.61705,5033143.29196
1901,4,6,4586954.94888,3919426.98064
1901,4,7,4219137.56202,4014577.03127
1901,4,8,2814237.10582,4722438.37908
1901,4,9,2076080.68988,4192757.21935
1901,4,10,2111855.13802,3914456.42694
1901,4,11,2482992.25444,4151371.74285
1901,4,12,2998472.8135,3499619.22995
