Year,Month,Day,LWA_Anticylonic,LWA_Cylonic
1940,1,1,7981770.54766,10743177.4371
1940,1,2,7938343.30548,12373131.2151
1940,1,3,7028006.56462,14462583.1444
1940,1,4,6107341.84011,13468314.7855
1940,1,5,5206528.45208,11391206.7317
1940,1,6,6026304.25525,11346522.3163
1940,1,7,7264543.11134,14805694.973
1940,1,8,9285439.35377,14542894.6709
1940,1,9,12730099.7713,11117557.8373
1940,1,10,11904851.2796,10845865.9884
1940,1,11,11434311.2218,11737178.4912
1940,1,12,13022335.7231,16334124.1366
1940,1,13,11930315.6858,22443966.4279
1940,1,14,8315110.23891,28524842.2535
1940,1,15,7736122.81281,29505962.0442
1940,1,16,7850904.50385,26124502.9723
1940,1,17,8476617.74251,27818984.3744
1940,1,18,12384881.5358,26619767.6557
1940,1,19,13031381.4485,19207821.1569
1940,1,20,11476585.7399,17238635.3697
1940,1,21,11331095.0045,19706072.7945
1940,1,22,11774364.0558,18364726.4596
1940,1,23,11202543.2124,19778594.675
1940,1,24,10796142.2489,18754653.4437
1940,1,25,9810663.15288,16104323.9308
1940,1,26,9485216.94053,13315514.9162
1940,1,27,10492723.5044,12548912.125
1940,1,28,10966141.5724,15011673.2657
1940,1,29,12334454.2298,18157537.9395
1940,1,30,11209492.082,15487650.9393
1940,1,31,9978613.45867,10978400.6463
1940,2,1,10253295.6435,8195943.82745
1940,2,2,10055118.1937,8000347.08702
1940,2,3,8109441.39919,8931693.35457
1940,2,4,5495072.60151,12876225.8276
1940,2,5,6056891.88748,16342377.294
1940,2,6,6962316.56414,13694477.6579
1940,2,7,5759414.73335,13767184.9591
1940,2,8,4916881.45463,13997514.5687
1940,2,9,4664582.99801,13024195.8917
1940,2,10,4689646.35769,10365835.5826
1940,2,11,5686074.40535,7658706.34536
1940,2,12,7149025.98016,8599667.12203
1940,2,13,9368303.47417,10537897.5717
1940,2,14,9404668.24948,11927291.6647
1940,2,15,7453906.42851,12661107.1868
1940,2,16,6607556.49906,13436157.442
1940,2,17,7139975.68306,13819367.984
1940,2,18,6101584.63421,13529793.395
1940,2,19,5985354.01311,9617640.94244
1940,2,20,7469772.3195,10966494.3642
1940,2,21,8572255.26653,12910103.5804
1940,2,22,8699047.96379,14630035.3123
1940,2,23,6367942.9156,13004525.8513
1940,2,24,3563478.7828,11313280.8717
1940,2,25,3647746.92922,11548269.8477
1940,2,26,5895907.9657,11738751.0993
1940,2,27,9401257.27742,11498975.01
1940,2,28,11265077.942,11805401.2268
1940,2,29,12487910.4812,12569150.1649
1940,3,1,12850784.5828,11959090.1136
1940,3,2,11168792.8703,13655230.5569
1940,3,3,9987712.08532,14285265.1392
1940,3,4,9076958.77382,16983676.1933
1940,3,5,7888843.11402,18356799.989
1940,3,6,6253497.21036,18967354.2414
1940,3,7,4020286.37829,17266337.7037
1940,3,8,2764750.5617,13953288.1414
1940,3,9,2571678.51669,11440648.8524
1940,3,10,2525270.05156,10390275.5097
1940,3,11,3058516.89203,10577919.8225
1940,3,12,4025195.47637,8300872.57403
1940,3,13,3742642.35335,7851060.13097
1940,3,14,3172134.19085,7784251.06281
1940,3,15,3317404.52807,5983840.76951
1940,3,16,4146718.76129,6734895.84925
1940,3,17,5138103.07002,6915233.82145
1940,3,18,6242644.903,7078909.4272
1940,3,19,5584891.20413,5967796.39181
1940,3,20,5126407.92276,5396668.37268
1940,3,21,4810955.68513,8316399.65972
1940,3,22,4370266.42301,11307804.2006
1940,3,23,3690890.51711,12723134.4722
1940,3,24,4066986.59196,13100195.6809
1940,3,25,3781125.38504,10812063.3448
1940,3,26,3411292.29433,7436447.85179
1940,3,27,3779298.99708,5354446.59739
1940,3,28,3503174.16647,4485226.04505
1940,3,29,3763825.03404,4431286.39771
1940,3,30,4053607.46433,4639639.58758
1940,3,31,4851445.51058,6328442.40248
1940,4,1,5505272.37954,7162117.35985
1940,4,2,4866607.23983,6653825.28965
1940,4,3,4694280.98621,6355070.32951
