Year,Month,Day,LWA_Anticylonic,LWA_Cylonic
1958,1,1,3818614.63596,6961658.51347
1958,1,2,5759033.73363,8633871.19787
1958,1,3,6551210.68827,9724109.01034
1958,1,4,5453897.34278,9157565.53887
1958,1,5,5363594.73512,7358633.12713
1958,1,6,8789562.07326,7917539.25271
1958,1,7,8487996.97797,10096585.6487
1958,1,8,5672102.02171,11368542.1948
1958,1,9,5940134.89249,11068156.2945
1958,1,10,6931910.37393,10873900.5001
1958,1,11,7449642.55544,11817567.8054
1958,1,12,7727869.05028,17754044.6166
1958,1,13,9070678.19904,19826494.2468
1958,1,14,10861539.1033,17461630.5056
1958,1,15,12468818.7139,11184583.9268
1958,1,16,11901370.5454,8801608.70969
1958,1,17,10209568.6692,7940142.53714
1958,1,18,10110607.005,10328889.142
1958,1,19,9327195.64792,12071481.4614
1958,1,20,8271223.57618,11720406.1443
1958,1,21,9555437.00221,11454994.7657
1958,1,22,10250697.2467,11924545.2509
1958,1,23,11044304.6222,12282899.0177
1958,1,24,11995624.1847,14791712.1352
1958,1,25,11672826.5412,14159428.289
1958,1,26,10665486.4545,14468857.2973
1958,1,27,12611862.0817,14047326.1329
1958,1,28,10951483.4165,12453747.6946
1958,1,29,8674254.64775,11444187.0176
1958,1,30,6506149.43145,10539487.034
1958,1,31,7132199.80021,11158889.3322
1958,2,1,8304208.83608,9370053.59182
1958,2,2,9703613.47022,8727295.44968
1958,2,3,12370811.3872,9501571.9394
1958,2,4,11640471.0231,9543775.68685
1958,2,5,8270807.87142,7346150.954
1958,2,6,6903466.78962,8835917.38979
1958,2,7,7064388.71419,8863965.80334
1958,2,8,6620238.03478,7225424.49425
1958,2,9,6537649.45867,7828433.03208
1958,2,10,5411693.86422,9242098.73807
1958,2,11,5590927.28106,7977869.39357
1958,2,12,5038996.76437,6834856.37869
1958,2,13,5845209.09735,6986512.13862
1958,2,14,7897614.65074,9046159.05341
1958,2,15,9735862.77272,10035954.4152
1958,2,16,10598801.1503,12354539.7502
1958,2,17,11733447.2265,15122532.7582
1958,2,18,10796418.6921,15201270.5097
1958,2,19,8496206.69302,12534845.9424
1958,2,20,8069033.12398,9145544.80336
1958,2,21,8760506.82563,9484335.0156
1958,2,22,7945555.83634,11722920.1364
1958,2,23,6498959.0952,15006055.3112
1958,2,24,7018264.67623,14167718.8632
1958,2,25,9089292.82234,13061164.518
1958,2,26,8604976.15067,15577466.2381
1958,2,27,7412004.24254,22899602.7099
1958,2,28,6765507.91734,24532268.9933
1958,3,1,6208538.30001,21155423.5403
1958,3,2,8284864.14777,18211348.2167
1958,3,3,9465606.19213,17975861.15
1958,3,4,7567810.9842,15921623.5596
1958,3,5,7137541.32653,11941083.6077
1958,3,6,7428997.12088,10512069.5904
1958,3,7,9047580.03229,11655286.1303
1958,3,8,10898607.7772,14402118.4266
1958,3,9,11159811.9841,14169229.2841
1958,3,10,9791175.71722,12872517.4865
1958,3,11,8005118.37126,13178783.5889
1958,3,12,7201518.75028,12879087.8581
1958,3,13,7509694.75473,12437733.3697
1958,3,14,6780161.43268,11936549.9373
1958,3,15,4938757.56476,10698111.7487
1958,3,16,4889347.47586,9202996.98004
1958,3,17,5866627.83742,8698027.03398
1958,3,18,5855148.75916,8409269.57698
1958,3,19,4599629.68222,8421836.7068
1958,3,20,4899478.24726,7997503.58881
1958,3,21,5059815.21333,6814544.41829
1958,3,22,3966688.25389,5963303.29762
1958,3,23,3425726.1798,5594936.19539
1958,3,24,4141782.21007,5832945.17798
1958,3,25,4490112.39008,6295544.13101
1958,3,26,4670269.48916,6660448.4455
1958,3,27,3878740.61463,7139518.16701
1958,3,28,2934582.17994,7143902.21455
1958,3,29,3220318.77122,8500775.444
1958,3,30,3981113.52253,9156029.43672
1958,3,31,4966843.5271,7538908.49793
1958,4,1,5969622.5896,8968264.376
1958,4,2,6850779.53098,8392210.63274
1958,4,3,6175313.54902,9382033.62804
1958,4,4,4976324.71118,7563376.45735
1958,4,5,4814196.83786,9410449.54109
1958,4,6,5062299.18052,12105124.5784
1958,4,7,5217813.44634,9917625.04068
1958,4,8,5713343.16603,10333951.4793
1958,4,9,5882821.98414,9739656.34132
1958,4,10,6117554.5612,8480383.80153
1958,4,11,6575716.70866,8218359.77075
1958,4,12,5631897.1984,7238570.7259
1958,4,13,4491343.76639,5031076.70061
1958,4,14,3848739.81898,3467204.08185
1958,4,15,3989418.39212,2632413.72225
1958,4,16,3772698.5133,2159863.09879
1958,4,17,2450149.02314,2282306.81381
1958,4,18,1400947.23209,2125088.52004
1958,4,19,1528793.13323,1899879.95758
1958,4,20,2016689.70358,2461317.90398
1958,4,21,2368977.17333,3133708.51845
1958,4,22,2964442.39133,3445820.04113
1958,4,23,2472936.04454,4275161.33332
1958,4,24,2882596.57667,6195137.06672
1958,4,25,4314799.75102,7187425.87839
1958,4,26,6662137.53654,6439715.37703
1958,4,27,7753782.19264,5991257.47981
1958,4,28,6688221.02361,7143567.45026
1958,4,29,5610346.49456,10581004.7111
1958,4,30,5399920.14577,15022002.603
1958,5,1,5063745.06588,14463824.2767
1958,5,2,4009229.67655,9045730.30357
1958,5,3,3632248.87314,7050206.37657
1958,5,4,3571685.91807,6958269.01491
1958,5,5,2838169.58522,9338802.46113
1958,5,6,2481755.6626,6762292.70952
1958,5,7,2747347.79406,7965887.30392
1958,5,8,2688816.84146,7694134.92755
1958,5,9,3348088.24074,4855070.61852
1958,5,10,3314087.0845,3419915.0753
1958,5,11,3084922.18162,4012022.8566
1958,5,12,3389646.09536,5088245.89428
1958,5,13,4572575.18583,7365837.78895
1958,5,14,4173497.43596,7899807.51365
1958,5,15,3431376.58721,4923481.55121
1958,5,16,2765767.64558,3036461.72834
1958,5,17,3143395.03741,3136592.19681
1958,5,18,3334310.81813,4697041.8699
1958,5,19,2915130.27965,5146877.13432
1958,5,20,2997299.77128,5289687.25988
1958,5,21,4093981.81769,7008118.70443
1958,5,22,4809995.78576,8211159.55195
1958,5,23,5262689.95424,10342526.1257
1958,5,24,5449525.79208,10365505.6141
1958,5,25,5811322.78841,7133576.16213
1958,5,26,5660101.66255,5363284.65363
1958,5,27,5801445.00721,4963265.28615
1958,5,28,4814030.14399,5168939.09352
1958,5,29,4305690.4685,5404701.81506
1958,5,30,4179183.12552,6619853.9189
1958,5,31,5131947.72965,6699323.25783
1958,6,1,4819892.512,5639375.11298
1958,6,2,4630317.57083,4013800.97124
1958,6,3,3897783.21565,5457568.04047
1958,6,4,3751113.84956,7268545.66763
1958,6,5,5785874.35778,6482928.35009
1958,6,6,5342836.15347,7466707.83403
1958,6,7,3732434.49995,9226259.21887
1958,6,8,2773925.64376,10625089.7492
1958,6,9,2373410.32031,10584388.6136
1958,6,10,3093031.71356,11192733.6482
1958,6,11,5027686.18862,11841596.4358
1958,6,12,6087952.6589,8877782.60785
1958,6,13,5791259.07073,5987189.30672
1958,6,14,5746536.04465,5435092.61059
1958,6,15,5223056.39873,7373471.46138
1958,6,16,5365185.44183,10367183.4809
1958,6,17,6925895.20154,9314636.48879
1958,6,18,7257815.38023,7259091.66805
1958,6,19,7222557.91179,6764516.97984
1958,6,20,7408025.56341,5944664.11921
1958,6,21,7080528.1761,5228774.21674
1958,6,22,5995209.11206,5340951.19518
1958,6,23,5898445.26519,6664923.78471
1958,6,24,6962380.63289,6992964.93312
1958,6,25,7754305.00424,6793099.91996
1958,6,26,7103108.06009,6451793.54757
1958,6,27,6835256.36752,3717304.34448
1958,6,28,6394270.47564,4011778.74033
1958,6,29,7090659.849,4271109.7708
1958,6,30,7069698.14863,4064820.69056
1958,7,1,7496555.76706,3064263.65128
1958,7,2,7801440.20439,3530390.23293
1958,7,3,6931336.4078,4150037.74197
1958,7,4,6305612.89034,4812894.54894
1958,7,5,6799682.84982,4852052.92963
1958,7,6,6687053.36303,5545462.95456
1958,7,7,8117108.47855,4351182.74835
1958,7,8,10238939.8697,2987713.33331
1958,7,9,10196093.4049,3031328.65765
1958,7,10,8438092.47914,2701594.03814
1958,7,11,7063375.21076,2538480.879
1958,7,12,6618381.8852,3753330.30427
1958,7,13,7552311.70364,3481871.27376
1958,7,14,7262738.23558,2368460.89496
1958,7,15,7101489.60545,2533242.47774
1958,7,16,7390039.79724,2647603.24047
1958,7,17,7477196.22366,3429219.53719
1958,7,18,8047884.91665,3999720.99091
1958,7,19,7803764.92089,3609331.74579
1958,7,20,8846527.32309,3195092.55328
1958,7,21,9019892.60074,3338099.70497
1958,7,22,8403053.32706,5038295.23472
1958,7,23,7951081.67267,4257733.47908
1958,7,24,7839757.20154,3769656.73211
1958,7,25,8486463.69534,3944989.318
1958,7,26,9469866.23817,3976034.16576
1958,7,27,9112243.96377,4169975.37184
1958,7,28,8206042.8655,3686754.25403
1958,7,29,8211438.07243,2975130.54201
1958,7,30,8243765.77503,3123334.08738
1958,7,31,10142192.7925,2136659.64904
1958,8,1,11272597.4651,1750382.07083
1958,8,2,11932213.6503,1378906.46093
1958,8,3,10756807.2651,1398361.06738
1958,8,4,9929916.53643,1798377.16041
1958,8,5,10733954.1862,2299609.00427
1958,8,6,10751202.9113,2330815.62391
1958,8,7,10323446.6401,2479717.29633
1958,8,8,8409996.25479,1927300.60215
1958,8,9,8828793.57856,1871752.47867
1958,8,10,9972668.94412,2041932.16126
1958,8,11,11250407.1913,2236086.76195
1958,8,12,12258352.7133,2065796.83012
1958,8,13,12073641.532,2439879.59361
1958,8,14,11370740.8924,3502576.18943
1958,8,15,10255882.7525,4276526.72102
1958,8,16,7670339.01188,3577080.609
1958,8,17,6416482.82143,3047765.76207
1958,8,18,6820882.49,2596095.74774
1958,8,19,6972816.66074,2958349.58925
1958,8,20,7130979.53,3824531.63125
1958,8,21,8243122.32307,4279065.9517
1958,8,22,7513364.43764,3700147.05699
1958,8,23,7775489.39112,3108307.79221
1958,8,24,7963383.4389,2177376.46713
1958,8,25,7776626.02457,1861448.18866
1958,8,26,7681049.54753,2367301.13501
1958,8,27,7575166.27583,3145237.72334
1958,8,28,8472194.50528,2888274.78486
1958,8,29,8467833.56477,3706705.95504
1958,8,30,7416053.35454,2625318.52639
1958,8,31,6956811.53585,2270666.44626
1958,9,1,6677131.60284,2070816.71549
1958,9,2,6825329.47459,2251246.77622
1958,9,3,7415139.69628,1641993.41163
1958,9,4,8558613.29516,1361947.01862
1958,9,5,7692040.10059,1349851.03756
1958,9,6,6501761.02395,1590354.85964
1958,9,7,5601728.39263,1209339.54834
1958,9,8,5084578.70205,1483675.12063
1958,9,9,4727434.97787,2564025.6772
1958,9,10,4769842.66294,2990035.50332
1958,9,11,4277400.63539,2453076.80258
1958,9,12,5126501.45021,2014223.41319
1958,9,13,6325350.91327,2138972.5058
1958,9,14,6337418.50392,2040401.45964
1958,9,15,6110824.43611,3314667.25782
1958,9,16,6130400.84309,3966557.45832
1958,9,17,6707516.84733,5104194.96118
1958,9,18,7355701.84922,4165615.63958
1958,9,19,6966307.82656,4523385.6233
1958,9,20,6230840.09195,3273897.11781
1958,9,21,5127128.68583,2610689.8775
1958,9,22,4837360.6527,2649723.05418
1958,9,23,4054369.55859,4523765.72524
1958,9,24,4344718.68343,4080321.08011
1958,9,25,4808177.73759,2115693.73656
1958,9,26,4765218.78436,1947562.25928
1958,9,27,4949013.55236,3166679.99693
1958,9,28,5571355.31449,4009812.95296
1958,9,29,6337589.0949,5372093.43229
1958,9,30,7430320.32208,5202022.20436
1958,10,1,8278880.7388,5831003.76456
1958,10,2,7675803.73636,6329461.93218
1958,10,3,6731742.20201,4497265.29283
1958,10,4,5380275.72526,3469085.86103
1958,10,5,4527755.73418,3419524.33067
1958,10,6,4703909.75428,3797900.92175
1958,10,7,5406718.87413,3315466.25328
1958,10,8,5735590.70313,2263513.66211
1958,10,9,5429004.45076,1794839.88282
1958,10,10,3952689.75932,1271931.00772
1958,10,11,3073823.46329,1362881.09381
1958,10,12,2796896.36284,2708181.17801
1958,10,13,3779612.88286,2995785.05104
1958,10,14,4846798.14814,2150006.13772
1958,10,15,5193331.52013,1637198.56246
1958,10,16,5870679.16965,1665343.98091
1958,10,17,6079632.97863,2616563.10937
1958,10,18,6304122.28405,4106693.07928
1958,10,19,5245433.49924,3260774.10206
1958,10,20,4712690.30968,3975706.33211
1958,10,21,5671642.88533,4254639.44803
1958,10,22,7306093.37665,4509741.8587
1958,10,23,8906756.80004,4311171.41638
1958,10,24,7770490.80233,4423605.92008
1958,10,25,7150789.31429,5623117.28867
1958,10,26,7476638.52835,5920057.00731
1958,10,27,6877412.83506,4871005.00721
1958,10,28,6295274.41667,3780683.32828
1958,10,29,5746529.33978,3298045.17236
1958,10,30,4587480.27355,3222290.75653
1958,10,31,4484065.50845,3582772.26946
1958,11,1,4202478.74929,3733372.63102
1958,11,2,3826016.59382,2687554.52394
1958,11,3,4166988.11076,3208177.60397
1958,11,4,5643850.7748,5137982.17095
1958,11,5,6447677.03098,5695960.47089
1958,11,6,8139505.82048,4180069.50998
1958,11,7,8683031.90502,3979756.60896
1958,11,8,7538704.19239,3733977.33859
1958,11,9,7027192.93105,3403496.25207
1958,11,10,6185647.00284,3775382.19212
1958,11,11,5187837.40101,4989349.52992
1958,11,12,6536060.91347,4774138.00557
1958,11,13,7494089.3587,4002363.1137
1958,11,14,7248600.81368,3649080.49513
1958,11,15,7052366.15688,4131093.5769
1958,11,16,7104633.14834,4823775.82889
1958,11,17,7681037.35551,4249854.89376
1958,11,18,9076124.55856,4009379.37528
1958,11,19,9702678.37337,3756183.03414
1958,11,20,10875442.1033,5956603.2184
1958,11,21,9821398.39491,7479564.27439
1958,11,22,8443524.51276,7278607.05197
1958,11,23,8203897.71119,5106729.22488
1958,11,24,6814682.65228,3509358.84453
1958,11,25,5529465.41297,4320283.60037
1958,11,26,6954823.43784,5801118.49993
1958,11,27,7884573.78232,9683685.15041
1958,11,28,7840796.41954,11189166.7881
1958,11,29,7106443.47361,11170628.7628
1958,11,30,7093567.39641,10599145.1459
1958,12,1,8468902.2665,8621488.19854
1958,12,2,8172417.51119,6244535.26684
1958,12,3,6538703.57624,5153315.71576
1958,12,4,7407488.43054,6849367.29222
1958,12,5,6156087.1311,11482498.4356
1958,12,6,4406321.4843,12953030.9726
1958,12,7,4336227.08137,12597207.7669
1958,12,8,4385072.87778,11533764.9788
1958,12,9,3802286.98652,8689577.53395
1958,12,10,3641772.87245,8256489.92906
1958,12,11,5244888.46857,6342101.0157
1958,12,12,4184601.32774,4770418.62616
1958,12,13,4883628.93952,4067104.59196
1958,12,14,4973970.99602,5408497.26496
1958,12,15,5139844.98204,8106220.42879
1958,12,16,4543031.92505,9275669.65427
1958,12,17,4744012.00991,10059969.86
1958,12,18,4453669.11645,11121262.7732
1958,12,19,3953736.08864,14551292.0478
1958,12,20,3955902.56477,17061157.9519
1958,12,21,5314049.7732,16288706.0195
1958,12,22,5346883.97149,17016786.3921
1958,12,23,5755287.61426,15910821.6349
1958,12,24,6296969.86233,13094152.0191
1958,12,25,5768381.05804,9316298.40912
1958,12,26,5569804.60137,6930416.77331
1958,12,27,5228984.96415,4959025.24694
1958,12,28,4014244.74906,3227935.68219
1958,12,29,3280947.03026,3630517.4091
1958,12,30,4528539.27863,5097118.16288
1958,12,31,4986897.52144,5763463.02855
1959,1,1,5956016.99189,7435727.40769
1959,1,2,6161611.01455,12761897.8478
1959,1,3,5757225.48521,19324791.0067
1959,1,4,5768796.18156,23669627.5437
1959,1,5,5704437.5326,21693575.556
1959,1,6,8088026.22072,28888238.277
1959,1,7,11833925.8524,28971281.2633
1959,1,8,11483610.7326,24067910.6432
1959,1,9,11643216.0555,28040434.2075
1959,1,10,9832206.48066,34120340.5762
1959,1,11,7383683.06986,29142356.4021
1959,1,12,6737227.77735,20575598.139
1959,1,13,5503864.52551,16345932.0424
1959,1,14,5252097.70036,11357464.9786
1959,1,15,6847234.28048,9660240.08658
1959,1,16,7631376.20421,13190203.7412
1959,1,17,8108436.12852,20801023.767
1959,1,18,8673997.21651,21453499.8881
1959,1,19,9613378.38858,18320811.3314
1959,1,20,7919234.24326,12828927.6571
1959,1,21,4709823.9464,10264933.6826
1959,1,22,4432815.91565,12643801.0942
1959,1,23,4507438.65917,15767191.1125
1959,1,24,4805933.35784,13800309.254
1959,1,25,6490644.58406,11160865.7741
1959,1,26,9731474.76599,11194108.689
1959,1,27,11849645.5103,13762698.2526
1959,1,28,11628153.4878,14340736.1571
1959,1,29,8960278.82707,10563551.7151
1959,1,30,7102227.01659,8094870.5378
1959,1,31,7804832.08738,9831997.54581
1959,2,1,10338488.9158,10545050.4179
1959,2,2,12200014.2318,8726255.8598
1959,2,3,13583363.9988,8624300.32515
1959,2,4,14392716.6417,14325517.8986
1959,2,5,11391576.7843,17219296.8978
1959,2,6,9792038.27417,13539393.789
1959,2,7,8562221.50801,10442630.6188
1959,2,8,8577915.82683,12073443.8483
1959,2,9,11529601.2977,9146943.72018
1959,2,10,12621905.4649,8227293.50473
1959,2,11,11680005.0396,9165974.65343
1959,2,12,12327930.2138,8855633.11406
1959,2,13,13232956.6748,8313006.5764
1959,2,14,12925265.9852,6941705.27381
1959,2,15,11355497.8454,6073843.76321
1959,2,16,11716805.7929,5509424.9022
1959,2,17,11981608.1251,5729079.64348
1959,2,18,11617402.3148,5008788.05869
1959,2,19,9795746.64596,5324283.88324
1959,2,20,8652482.8822,6520493.75178
1959,2,21,8929750.97526,9180176.6991
1959,2,22,8371999.13035,8436437.29826
1959,2,23,6515763.21043,7830858.71571
1959,2,24,6835158.45092,7851765.48799
1959,2,25,7027836.95532,7370883.09607
1959,2,26,6835500.91583,6461903.15819
1959,2,27,7479629.06203,5655081.59201
1959,2,28,8293586.72533,6385502.3238
1959,3,1,7171390.82615,5430774.88741
1959,3,2,7412821.09627,3780885.07714
1959,3,3,7552270.92286,4635745.87046
1959,3,4,7587936.82487,5944807.45125
1959,3,5,7359646.17477,5739036.00544
1959,3,6,6986755.3791,4152566.3842
1959,3,7,6256644.96744,3793657.7796
1959,3,8,5769820.07807,4453047.79381
1959,3,9,5600757.76744,6346695.6972
1959,3,10,6621752.45947,6636059.59952
1959,3,11,6041831.80539,4706060.4267
1959,3,12,5327514.86937,4759236.32578
1959,3,13,6085314.96886,6733217.93601
1959,3,14,6647905.28735,8778062.54585
1959,3,15,7012338.21687,6365837.33071
1959,3,16,7693007.81853,5379440.13982
1959,3,17,6639846.36451,5991566.47486
1959,3,18,5520208.37321,5559877.67762
1959,3,19,5648362.5378,5628993.55187
1959,3,20,7659567.45732,5660141.88588
1959,3,21,9167445.87258,4494141.30964
1959,3,22,8661909.57191,4025817.71064
1959,3,23,7427059.00704,4443297.16382
1959,3,24,5206280.55215,5742303.73721
1959,3,25,3022574.34761,4561417.28482
1959,3,26,2309484.76327,2891663.35623
1959,3,27,1800903.75812,3124967.0708
1959,3,28,1409113.5242,2719051.41206
1959,3,29,2086526.11533,2426655.56864
1959,3,30,2718072.02777,3202650.16232
1959,3,31,3725072.56217,3606110.13343
1959,4,1,3927649.94455,3315292.09717
1959,4,2,3278101.40897,2499229.74413
1959,4,3,3019362.42746,2767022.71605
1959,4,4,3423772.06483,3311361.32178
1959,4,5,4241787.86367,3143834.38861
1959,4,6,3599706.76654,3951618.54186
1959,4,7,3526208.19983,6768312.53582
1959,4,8,4681877.1148,6397884.55094
1959,4,9,4833095.1295,5685811.0338
1959,4,10,4920958.08406,5746742.03066
1959,4,11,4917382.20952,4921568.33615
1959,4,12,4168819.69608,5831353.29967
1959,4,13,4055375.99314,7401044.94549
1959,4,14,5965601.52583,9017856.38391
1959,4,15,6358453.54796,7135178.80075
1959,4,16,5305218.51849,5956278.05351
1959,4,17,4822422.44119,7927739.99675
1959,4,18,3916035.06123,7860369.92527
1959,4,19,2938935.58528,5244748.56069
1959,4,20,3011684.27335,4800218.78701
1959,4,21,3351144.97014,6770773.87547
1959,4,22,3689291.63152,7234831.42662
1959,4,23,3958841.70473,5330698.68093
1959,4,24,3435573.17072,4228312.16202
1959,4,25,3743867.16871,3604074.49244
1959,4,26,3566668.16221,3883155.06045
1959,4,27,2973229.83701,2772407.9702
1959,4,28,3566233.48004,1832749.79179
1959,4,29,4643809.41307,1917660.47369
1959,4,30,5454217.94651,3204705.76678
1959,5,1,5646138.99109,6280324.20544
1959,5,2,5715097.49468,9357183.51024
1959,5,3,5381049.45452,10271399.3169
1959,5,4,5872652.40747,8903356.71716
1959,5,5,5355973.33972,8121317.74007
1959,5,6,4379853.66508,6978952.0976
1959,5,7,3852528.57774,9812615.89279
1959,5,8,4394773.24594,6258477.157
1959,5,9,5201411.93372,3369411.75977
1959,5,10,5641221.5777,3828929.87245
1959,5,11,6908020.41812,5550797.01392
1959,5,12,8392345.88285,8137567.32728
1959,5,13,9986745.34156,7244991.5857
1959,5,14,9172769.16447,7065700.67995
1959,5,15,7080047.45524,7614920.37813
