Year,Month,Day,LWA_Anticylonic,LWA_Cylonic
1948,1,1,1753279.34051,2380338.04214
1948,1,2,3464843.38718,5198082.52536
1948,1,3,4082570.76877,4435350.65745
1948,1,4,3701228.97954,2624901.94817
1948,1,5,2421447.69019,2009097.00602
1948,1,6,1955503.46766,1792740.909
1948,1,7,1962915.02701,2280506.40446
1948,1,8,2196924.77472,2821267.55421
1948,1,9,2886484.99703,2107188.36948
1948,1,10,3574645.92336,1474405.43085
1948,1,11,3978019.46341,2533380.57624
1948,1,12,5483908.96324,2954866.55998
1948,1,13,7324795.8522,5352877.19697
1948,1,14,7538579.31456,6947007.85398
1948,1,15,11624636.8047,7122871.20259
1948,1,16,13809982.9798,4914813.27751
1948,1,17,10050087.9159,4394784.28056
1948,1,18,7453380.18734,5353861.02862
1948,1,19,5360595.99112,8719485.08032
1948,1,20,6958393.61113,10132425.8678
1948,1,21,7764319.03257,8909982.69235
1948,1,22,8062140.38366,11328339.0278
1948,1,23,9060050.78936,13469527.5585
1948,1,24,10436776.4144,10960165.8824
1948,1,25,12245544.3498,11389473.9836
1948,1,26,11876715.0282,10735301.2849
1948,1,27,9628746.08762,10757358.8595
1948,1,28,7703043.50078,9463990.42572
1948,1,29,7039642.57364,7201682.26643
1948,1,30,7688079.04896,6995129.13202
1948,1,31,7834600.79685,9007340.06105
1948,2,1,9668626.47506,9588239.33617
1948,2,2,12061712.4598,9056776.18166
1948,2,3,10759216.6653,9925227.64727
1948,2,4,11262481.0432,10266184.585
1948,2,5,10101405.0735,8611261.96446
1948,2,6,8445287.50988,9777119.8402
1948,2,7,7863903.43931,11815709.4919
1948,2,8,7832382.19737,11854952.0936
1948,2,9,9346026.69947,11392810.0511
1948,2,10,10916068.5661,9872425.49134
1948,2,11,7974012.0378,7440138.87268
1948,2,12,6037142.40054,9251887.64102
1948,2,13,5941661.97972,10144637.7011
1948,2,14,7675023.89217,11934671.6685
1948,2,15,8797754.01505,13765278.677
1948,2,16,10420435.2599,9143671.98796
1948,2,17,9862625.41838,5287819.8119
1948,2,18,7948066.71312,6300590.70126
1948,2,19,9475549.49059,5512489.96185
1948,2,20,10200689.1431,5108143.06973
1948,2,21,10594042.29,4353587.38379
1948,2,22,8650229.14772,4009819.41593
1948,2,23,6240316.83913,3771669.08275
1948,2,24,5676815.73283,3462352.40747
1948,2,25,5947760.90971,2488595.35191
1948,2,26,6874237.3847,2578840.10962
1948,2,27,7940000.10784,3250396.53092
1948,2,28,10705267.0291,3449663.64504
1948,2,29,12971076.8323,4108010.84522
1948,3,1,15477474.7084,5422456.08203
1948,3,2,17347053.3875,7191162.65617
1948,3,3,19017279.0785,6603113.96109
1948,3,4,19092712.1158,6221315.34766
1948,3,5,15869677.1201,5461273.87627
1948,3,6,12073947.366,5739616.03988
1948,3,7,11505084.7414,7575000.51067
1948,3,8,12780708.2004,7892407.92053
1948,3,9,10223561.3584,7497179.86424
1948,3,10,8070984.55059,6563206.44762
1948,3,11,9184160.34008,6104448.11779
1948,3,12,7841753.68238,3846607.69394
1948,3,13,7557934.34321,2773951.19247
1948,3,14,9075785.53965,2967869.49935
1948,3,15,7229856.53229,3761957.52586
1948,3,16,5628053.99516,4569886.5343
1948,3,17,3983649.85338,5315334.95069
1948,3,18,3642282.04326,4456159.20847
