Year,Month,Day,MCI
1900,1,1,-0.28663039
1900,1,2,-0.35724348
1900,1,3,-0.21928887
1900,1,4,-0.001180896
1900,1,5,-0.012172539
1900,1,6,-0.053036135
1900,1,7,-0.026127199
1900,1,8,0.057932332
1900,1,9,0.14206478
1900,1,10,-0.13310976
1900,1,11,-0.15917365
1900,1,12,-0.35188517
1900,1,13,-0.33826947
1900,1,14,-0.034673564
1900,1,15,0.062533744
1900,1,16,0.039040312
1900,1,17,-0.022182679
1900,1,18,-0.31227863
1900,1,19,-0.32278043
1900,1,20,-0.064123571
1900,1,21,-0.043798052
1900,1,22,0.048126977
1900,1,23,-0.015427074
1900,1,24,0.01432932
1900,1,25,-0.043243539
1900,1,26,-0.084950231
1900,1,27,-0.074584439
1900,1,28,-0.24057806
1900,1,29,-0.2690444
1900,1,30,-0.19965021
1900,1,31,-0.30874521
1900,2,1,-0.36565483
1900,2,2,-0.21047446
1900,2,3,0.0040623038
1900,2,4,0.0096999817
1900,2,5,0.035660036
1900,2,6,0.040456723
1900,2,7,0.16533408
1900,2,8,0.24352412
1900,2,9,0.025433987
1900,2,10,-0.12777743
1900,2,11,-0.15287222
1900,2,12,0.057826325
1900,2,13,0.02136361
1900,2,14,0.0019457447
1900,2,15,-0.007549983
1900,2,16,-0.15621886
1900,2,17,-0.43029594
1900,2,18,-0.40054923
1900,2,19,-0.0045892554
1900,2,20,0.08312016
1900,2,21,-0.11021139
1900,2,22,-0.11786706
1900,2,23,-0.045138549
1900,2,24,-0.35246325
1900,2,25,-0.37302262
1900,2,26,-0.09625534
1900,2,27,0.00068577955
1900,2,28,-0.17800531
1900,3,1,-0.15039836
1900,3,2,-0.12670487
1900,3,3,-0.04309972
1900,3,4,0.049693048
1900,3,5,0.15471849
1900,3,6,0.081107832
1900,3,7,0.022210926
1900,3,8,-0.02742677
1900,3,9,-0.028104965
1900,3,10,-0.32088479
1900,3,11,-0.3366369
1900,3,12,-0.12857842
1900,3,13,-0.061678119
1900,3,14,-0.19967014
1900,3,15,-0.37432152
1900,3,16,-0.44414937
1900,3,17,-0.36663091
1900,3,18,-0.22135663
1900,3,19,-0.17099652
1900,3,20,-0.30196196
1900,3,21,-0.20786947
1900,3,22,-0.0834243
1900,3,23,0.1869684
1900,3,24,0.0810991
1900,3,25,-0.2347517
1900,3,26,-0.10441471
1900,3,27,0.10149387
1900,3,28,0.13519901
1900,3,29,0.0076984549
1900,3,30,-0.3088254
1900,3,31,-0.42351285
1900,4,1,-0.42299181
1900,4,2,-0.26702079
1900,4,3,0.028711587
1900,4,4,0.35128552
1900,4,5,0.38277733
1900,4,6,0.356024
