Year,Month,Day,MCI
1900,1,1,0.23176982
1900,1,2,-0.017485712
1900,1,3,-0.20799586
1900,1,4,-0.034579404
1900,1,5,-0.15159856
1900,1,6,-0.26422977
1900,1,7,-0.12174733
1900,1,8,-0.094015308
1900,1,9,0.016066503
1900,1,10,-0.057644933
1900,1,11,-0.25537366
1900,1,12,-0.5442403
1900,1,13,-0.33257163
1900,1,14,-0.31057042
1900,1,15,-0.65465122
1900,1,16,-0.51020145
1900,1,17,0.17144719
1900,1,18,0.026724264
1900,1,19,-0.20494157
1900,1,20,-0.13049734
1900,1,21,0.080696329
1900,1,22,-0.085821465
1900,1,23,0.078586109
1900,1,24,0.11591838
1900,1,25,-0.0057440307
1900,1,26,0.079394579
1900,1,27,0.12519385
1900,1,28,-0.13533023
1900,1,29,-0.34143469
1900,1,30,-0.10965739
1900,1,31,-0.2444278
1900,2,1,-0.24843603
1900,2,2,-0.20570885
1900,2,3,-0.15248196
1900,2,4,-0.21980885
1900,2,5,-0.17304043
1900,2,6,-0.1385942
1900,2,7,-0.00060052611
1900,2,8,0.047479048
1900,2,9,-0.057712242
1900,2,10,-0.27976936
1900,2,11,-0.46638894
1900,2,12,-0.36954433
1900,2,13,-0.37080362
1900,2,14,-0.18594053
1900,2,15,-0.15186346
1900,2,16,-0.17863336
1900,2,17,-0.2911061
1900,2,18,-0.2537815
1900,2,19,-0.19787772
1900,2,20,-0.073995456
1900,2,21,-0.24052981
1900,2,22,-0.31791624
1900,2,23,-0.19052619
1900,2,24,-0.36266273
1900,2,25,-0.41639811
1900,2,26,-0.53609639
1900,2,27,-0.52768028
1900,2,28,-0.56888723
1900,3,1,-0.35214183
1900,3,2,-0.093820676
1900,3,3,-0.11926549
1900,3,4,0.018639917
1900,3,5,0.04351338
1900,3,6,-0.019788282
1900,3,7,0.025546856
1900,3,8,0.13242733
1900,3,9,0.029706318
1900,3,10,-0.12015478
1900,3,11,0.036214158
1900,3,12,-0.35135731
1900,3,13,-0.1732033
1900,3,14,-0.2498613
1900,3,15,-0.311791
1900,3,16,-0.42725566
1900,3,17,-0.45726356
1900,3,18,-0.37442482
1900,3,19,-0.24843596
1900,3,20,-0.06164629
1900,3,21,-0.15187073
1900,3,22,-0.17558391
1900,3,23,-0.045733824
1900,3,24,-0.01827972
1900,3,25,-0.028816927
1900,3,26,-0.39640388
1900,3,27,-0.23084262
1900,3,28,0.26410562
1900,3,29,0.095905364
1900,3,30,-0.17916539
1900,3,31,-0.15113649
1900,4,1,-0.032578506
1900,4,2,-0.17077908
1900,4,3,-0.20821784
1900,4,4,-0.021634063
1900,4,5,0.17360124
1900,4,6,0.41208035
1900,4,7,0.41467363
1900,4,8,0.22519214
1900,4,9,0.20903596
1900,4,10,0.0084135896
1900,4,11,-0.10686411
1900,4,12,-0.23793593
1900,4,13,-0.086485282
1900,4,14,-0.0095123891
1900,4,15,0.11494271
1900,4,16,0.19060086
1900,4,17,0.13027725
1900,4,18,-0.10249741
1900,4,19,-0.1636375
1900,4,20,-0.10143892
1900,4,21,-0.026610322
1900,4,22,-0.091746591
1900,4,23,-0.16039562
1900,4,24,-0.29461625
1900,4,25,-0.22552417
1900,4,26,0.14138705
1900,4,27,0.18253119
1900,4,28,0.16753927
1900,4,29,0.24956548
1900,4,30,0.24296018
1900,5,1,0.08221817
1900,5,2,-0.15560603
1900,5,3,-0.26533747
1900,5,4,-0.069267601
1900,5,5,0.10475834
1900,5,6,0.12959242
1900,5,7,0.21421677
1900,5,8,-0.051932473
1900,5,9,-0.36361998
1900,5,10,-0.37133294
1900,5,11,-0.11360537
1900,5,12,0.15424493
1900,5,13,0.30384782
1900,5,14,0.14679676
1900,5,15,0.069975287
1900,5,16,-0.10040151
1900,5,17,-0.1258602
1900,5,18,-0.077602401
1900,5,19,-0.20738067
1900,5,20,-0.21687497
1900,5,21,-0.090783805
1900,5,22,-0.012335235
1900,5,23,0.079982951
1900,5,24,0.088462397
1900,5,25,0.18229648
1900,5,26,0.16382456
1900,5,27,0.082259566
1900,5,28,0.10045208
1900,5,29,0.10841155
1900,5,30,0.074898802
1900,5,31,0.11287446
1900,6,1,0.15302436
1900,6,2,0.060213156
1900,6,3,0.060919851
1900,6,4,0.17291529
1900,6,5,0.18028319
1900,6,6,0.061714403
1900,6,7,-0.08708562
1900,6,8,0.047244251
1900,6,9,0.11675799
1900,6,10,0.21279433
1900,6,11,0.26715615
1900,6,12,0.21588957
1900,6,13,0.14814463
1900,6,14,0.054396939
1900,6,15,-0.04332957
1900,6,16,-0.035366759
1900,6,17,0.097244769
1900,6,18,0.15081811
1900,6,19,0.090834282
1900,6,20,0.061013274
1900,6,21,-0.035718314
1900,6,22,-0.11327054
1900,6,23,-0.082636565
1900,6,24,3.1746924e-05
1900,6,25,0.029861601
1900,6,26,0.03386604
1900,6,27,0.081330456
1900,6,28,0.15969712
1900,6,29,0.074440435
1900,6,30,0.070725791
1900,7,1,0.2349315
1900,7,2,0.30867183
1900,7,3,0.33637983
1900,7,4,0.40149489
1900,7,5,0.41920245
1900,7,6,0.21344778
1900,7,7,-0.074126869
1900,7,8,-0.32052305
1900,7,9,-0.46327302
1900,7,10,-0.35562587
1900,7,11,-0.27202171
1900,7,12,-0.26614746
1900,7,13,-0.23819301
1900,7,14,-0.11031899
1900,7,15,0.013474038
1900,7,16,-0.031306848
1900,7,17,-0.079307571
1900,7,18,-0.034155466
1900,7,19,-0.08373411
1900,7,20,-0.19437164
1900,7,21,-0.21303491
1900,7,22,-0.2038959
1900,7,23,-0.25386947
1900,7,24,-0.22945701
1900,7,25,-0.10977722
1900,7,26,-0.097208723
1900,7,27,-0.1137403
1900,7,28,-0.046590347
1900,7,29,-0.13919568
1900,7,30,-0.15074147
1900,7,31,-0.23157874
1900,8,1,-0.2296384
1900,8,2,-0.23153728
1900,8,3,-0.089104824
1900,8,4,-0.036052968
1900,8,5,-0.058216415
1900,8,6,-0.15874463
1900,8,7,-0.1892955
1900,8,8,-0.17995085
1900,8,9,-0.16167177
1900,8,10,-0.1381494
1900,8,11,-0.10038429
1900,8,12,-0.30907673
1900,8,13,-0.29987064
1900,8,14,-0.24413019
1900,8,15,-0.19554587
1900,8,16,-0.058580466
1900,8,17,0.043834932
1900,8,18,0.010282659
1900,8,19,-0.075130969
1900,8,20,-0.24439326
1900,8,21,-0.34147102
1900,8,22,-0.29670483
1900,8,23,-0.13027436
1900,8,24,-0.1213969
1900,8,25,-0.0034932755
1900,8,26,-0.026149012
1900,8,27,0.025928393
1900,8,28,-0.0080338335
1900,8,29,-0.14697568
1900,8,30,-0.25121123
1900,8,31,-0.1440309
1900,9,1,0.045030709
1900,9,2,0.19092971
1900,9,3,0.30925477
1900,9,4,0.33301806
1900,9,5,0.1537751
