Year,Month,Day,MCI
1940,1,1,-0.40851866
1940,1,2,-0.34624303
1940,1,3,-0.2408177
1940,1,4,-0.22982471
1940,1,5,-0.01246551
1940,1,6,0.068622421
1940,1,7,0.059550152
1940,1,8,-0.03135832
1940,1,9,0.022244124
1940,1,10,0.011166084
1940,1,11,0.045670207
1940,1,12,0.001457839
1940,1,13,0.070977634
1940,1,14,0.082143106
1940,1,15,-0.11173162
1940,1,16,-0.30598935
1940,1,17,-0.22245073
1940,1,18,-0.22272545
1940,1,19,-0.28030366
1940,1,20,-0.25857411
1940,1,21,-0.2649331
1940,1,22,-0.14844734
1940,1,23,-0.11344569
1940,1,24,-0.062432695
1940,1,25,-0.26000535
1940,1,26,-0.3933008
1940,1,27,-0.3417061
1940,1,28,-0.3990853
1940,1,29,-0.64086645
1940,1,30,-0.28456785
1940,1,31,-0.012802736
1940,2,1,0.0571821
1940,2,2,0.057304418
1940,2,3,0.18688949
1940,2,4,-0.039166367
1940,2,5,0.14561438
1940,2,6,-0.15117591
1940,2,7,-0.10147905
1940,2,8,-0.010933012
1940,2,9,-0.25533569
1940,2,10,-0.31760962
1940,2,11,-0.069584449
1940,2,12,-0.032199259
1940,2,13,-0.15128301
1940,2,14,-0.12724148
1940,2,15,0.22453253
1940,2,16,0.4652503
1940,2,17,0.065594857
1940,2,18,0.11368672
1940,2,19,0.21457802
1940,2,20,0.11380766
1940,2,21,0.12277405
1940,2,22,-0.0094496072
1940,2,23,-0.013807955
1940,2,24,-0.054193308
1940,2,25,-0.12829482
1940,2,26,-0.015085788
1940,2,27,-0.15692923
1940,2,28,-0.20465937
1940,2,29,-0.048177726
1940,3,1,0.1818134
1940,3,2,0.056110818
1940,3,3,0.14734318
1940,3,4,-0.22989372
1940,3,5,-0.39371848
1940,3,6,0.10956735
1940,3,7,-0.040346549
1940,3,8,-0.17692371
1940,3,9,-0.0056372177
1940,3,10,0.042512316
1940,3,11,0.22855945
1940,3,12,0.34034382
1940,3,13,0.17530679
1940,3,14,-0.376967
1940,3,15,-0.40762161
1940,3,16,-0.30035294
1940,3,17,0.089905298
1940,3,18,-0.02227438
1940,3,19,-0.10518636
1940,3,20,-0.31156356
1940,3,21,-0.35571267
1940,3,22,-0.26978401
1940,3,23,-0.10818371
1940,3,24,-0.28141421
1940,3,25,-0.17795863
1940,3,26,0.082637848
1940,3,27,-0.066502767
1940,3,28,0.37529454
1940,3,29,0.32863074
1940,3,30,-0.038790182
1940,3,31,-0.085533592
1940,4,1,0.24395312
1940,4,2,0.41513432
1940,4,3,0.30671377
1940,4,4,0.11286359
1940,4,5,0.21683978
1940,4,6,0.42453009
1940,4,7,0.24720188
1940,4,8,-0.067548336
1940,4,9,-0.12301849
1940,4,10,0.033908579
