Year,Month,Day,MCI
1958,1,1,-0.3981775
1958,1,2,-0.36924422
1958,1,3,-0.16790231
1958,1,4,-0.15595655
1958,1,5,-0.15933751
1958,1,6,-0.41581017
1958,1,7,-0.76306057
1958,1,8,-0.606498
1958,1,9,-0.021072427
1958,1,10,-0.18056886
1958,1,11,0.18950047
1958,1,12,0.13678347
1958,1,13,0.0098143183
1958,1,14,-0.037876301
1958,1,15,-0.44149014
1958,1,16,-0.3121267
1958,1,17,-0.42781752
1958,1,18,-0.037779719
1958,1,19,0.14146198
1958,1,20,-0.083819322
1958,1,21,-0.06314797
1958,1,22,0.0076413509
1958,1,23,-0.16783807
1958,1,24,-0.32800478
1958,1,25,0.031630106
1958,1,26,-0.12933432
1958,1,27,-0.038676728
1958,1,28,-0.28344736
1958,1,29,-0.46117562
1958,1,30,-0.33662882
1958,1,31,-0.041160405
1958,2,1,-0.19187845
1958,2,2,-0.45451224
1958,2,3,-0.38962081
1958,2,4,-0.06008476
1958,2,5,0.037900105
1958,2,6,-0.08148931
1958,2,7,-0.2642827
1958,2,8,-0.21179733
1958,2,9,-0.09605296
1958,2,10,-0.26378813
1958,2,11,-0.37767637
1958,2,12,-0.536479
1958,2,13,-0.27868381
1958,2,14,-0.11078598
1958,2,15,-0.41793585
1958,2,16,-0.47074494
1958,2,17,-0.45176679
1958,2,18,-0.42592123
1958,2,19,-0.42261744
1958,2,20,-0.087166205
1958,2,21,0.098048501
1958,2,22,-0.1846247
1958,2,23,0.15464675
1958,2,24,-0.043162279
1958,2,25,0.080258429
1958,2,26,0.44757062
1958,2,27,0.39108291
1958,2,28,0.11477341
1958,3,1,0.14524727
1958,3,2,-0.058905799
1958,3,3,0.041182347
1958,3,4,0.1145944
1958,3,5,0.0088037448
1958,3,6,0.25478512
1958,3,7,0.41371268
1958,3,8,0.19128323
1958,3,9,0.25189725
1958,3,10,0.22685388
1958,3,11,0.21389729
1958,3,12,0.28588614
1958,3,13,0.11127515
1958,3,14,-0.12660739
1958,3,15,-0.14650515
1958,3,16,-0.14356938
1958,3,17,-0.018851191
1958,3,18,-0.0044434709
1958,3,19,-0.16688871
1958,3,20,-0.50021464
1958,3,21,-0.41166201
1958,3,22,-0.02022405
1958,3,23,0.095653147
1958,3,24,0.035602216
1958,3,25,0.020213677
1958,3,26,0.033227384
1958,3,27,0.047093093
1958,3,28,0.038370248
1958,3,29,0.063206151
1958,3,30,-0.10164811
1958,3,31,-0.012569238
1958,4,1,0.16480882
1958,4,2,0.18719578
1958,4,3,0.27286077
1958,4,4,0.28083703
1958,4,5,0.16202088
1958,4,6,0.00697059
1958,4,7,-0.048860669
1958,4,8,0.22345668
1958,4,9,0.12639295
1958,4,10,-0.033486925
1958,4,11,-0.084662631
1958,4,12,-0.1593345
1958,4,13,-0.26147294
1958,4,14,-0.26588848
1958,4,15,-0.23758763
1958,4,16,-0.12552273
1958,4,17,0.036232706
1958,4,18,0.0055834427
1958,4,19,0.057369012
1958,4,20,-0.15813977
1958,4,21,-0.22649345
1958,4,22,-0.044820167
1958,4,23,0.1496903
1958,4,24,0.21286902
1958,4,25,0.12473637
1958,4,26,0.13988362
1958,4,27,0.087290972
1958,4,28,0.033953775
1958,4,29,-0.14468065
1958,4,30,-0.10399999
1958,5,1,0.010764139
1958,5,2,0.17459713
1958,5,3,0.14648515
1958,5,4,0.022951828
1958,5,5,-0.23542796
1958,5,6,-0.3726216
1958,5,7,-0.22249684
1958,5,8,-0.17664221
1958,5,9,-0.14617307
1958,5,10,-0.21860039
1958,5,11,-0.1239932
1958,5,12,0.12391753
1958,5,13,0.33173311
1958,5,14,0.47660783
1958,5,15,0.36277652
1958,5,16,0.13062513
1958,5,17,-0.027778707
1958,5,18,-0.044710375
1958,5,19,-0.30599374
1958,5,20,-0.47694439
1958,5,21,-0.43319318
1958,5,22,-0.21812801
1958,5,23,-0.1982756
1958,5,24,-0.13920857
1958,5,25,-0.28599414
1958,5,26,-0.26228821
1958,5,27,-0.29296353
1958,5,28,-0.36189994
1958,5,29,-0.29975599
1958,5,30,-0.12074661
1958,5,31,0.040349372
1958,6,1,0.035076883
1958,6,2,-0.023389295
1958,6,3,0.13987108
1958,6,4,0.21192703
1958,6,5,0.11369062
1958,6,6,-0.020172395
1958,6,7,0.020974498
1958,6,8,0.24230936
1958,6,9,0.1724907
1958,6,10,-0.03221241
1958,6,11,-0.032260414
1958,6,12,0.095355764
1958,6,13,0.19635975
1958,6,14,0.23373468
1958,6,15,0.086241871
1958,6,16,-0.016714247
1958,6,17,-0.093109265
1958,6,18,-0.16324173
1958,6,19,-0.10306782
1958,6,20,-0.026724281
1958,6,21,-0.059868418
1958,6,22,-0.20639086
1958,6,23,-0.38024014
1958,6,24,-0.28856853
1958,6,25,-0.24401712
1958,6,26,-0.32886019
1958,6,27,-0.39213046
1958,6,28,-0.37308958
1958,6,29,-0.2637859
1958,6,30,-0.082865469
1958,7,1,0.043634616
1958,7,2,0.10956546
1958,7,3,0.089198247
1958,7,4,0.12247436
1958,7,5,0.063163504
1958,7,6,0.027921487
1958,7,7,-0.045253787
1958,7,8,-0.19654414
1958,7,9,-0.13863796
1958,7,10,-0.23321608
1958,7,11,-0.31239963
1958,7,12,-0.34568408
1958,7,13,-0.19930337
1958,7,14,-0.1015112
1958,7,15,0.017635703
1958,7,16,0.070401967
1958,7,17,0.066313602
1958,7,18,0.13621598
1958,7,19,0.1987628
1958,7,20,-0.022058908
1958,7,21,-0.17315179
1958,7,22,-0.25844571
1958,7,23,-0.14120738
1958,7,24,-0.060280301
1958,7,25,-0.0063426578
1958,7,26,0.10290675
1958,7,27,0.13281471
1958,7,28,0.083265886
1958,7,29,0.02840912
1958,7,30,-0.022951242
1958,7,31,-0.042939477
