Year,Month,Day,MCI
1948,1,1,-0.09434896
1948,1,2,-0.19907926
1948,1,3,-0.13492076
1948,1,4,-0.27023596
1948,1,5,-0.10705377
1948,1,6,-0.25345427
1948,1,7,-0.29220429
1948,1,8,-0.28656337
1948,1,9,-0.095464364
1948,1,10,-0.099707782
1948,1,11,0.0027288403
1948,1,12,-0.10080796
1948,1,13,-0.41142759
1948,1,14,-0.71763372
1948,1,15,-0.21679558
1948,1,16,-0.28520104
1948,1,17,-0.41361538
1948,1,18,-0.20960389
1948,1,19,-0.32812372
1948,1,20,-0.27539331
1948,1,21,-0.52057403
1948,1,22,-0.57844293
1948,1,23,-0.54734659
1948,1,24,-0.34213135
1948,1,25,-0.15265784
1948,1,26,-0.14724338
1948,1,27,-0.2143918
1948,1,28,-0.33745584
1948,1,29,-0.30151406
1948,1,30,-0.14517416
1948,1,31,-0.072869688
1948,2,1,-0.0085203629
1948,2,2,0.048210423
1948,2,3,-0.10294736
1948,2,4,-0.010607555
1948,2,5,0.17340177
1948,2,6,0.088453114
1948,2,7,0.016576722
1948,2,8,-0.091263548
1948,2,9,-0.036232844
1948,2,10,0.018114388
1948,2,11,0.0019935581
1948,2,12,-0.0099438047
1948,2,13,-0.076292925
1948,2,14,-0.17005183
1948,2,15,0.016758347
1948,2,16,0.010044782
1948,2,17,-0.14380698
1948,2,18,-0.029785627
1948,2,19,0.013372237
1948,2,20,-0.014777538
1948,2,21,-0.12093304
1948,2,22,-0.25832367
1948,2,23,0.22651197
1948,2,24,0.34875056
1948,2,25,0.21841146
1948,2,26,0.084314905
1948,2,27,0.2979168
1948,2,28,0.28815061
1948,2,29,0.249153
1948,3,1,0.31266132
1948,3,2,0.30527735
1948,3,3,0.30140004
1948,3,4,0.060237125
1948,3,5,0.0070605865
1948,3,6,0.13045219
1948,3,7,-0.071507841
1948,3,8,0.0014078047
1948,3,9,0.035298169
1948,3,10,-0.019076126
1948,3,11,-0.28452772
1948,3,12,-0.18371338
