Year,Month,Day,MCI
1900,1,1,0.34042844
1900,1,2,0.35877177
1900,1,3,0.34711361
1900,1,4,0.30761099
1900,1,5,0.28010809
1900,1,6,0.24724792
1900,1,7,0.24299234
1900,1,8,0.22506467
1900,1,9,0.27649635
1900,1,10,0.31569171
1900,1,11,0.3050096
1900,1,12,0.27864298
1900,1,13,0.25118309
1900,1,14,0.27672988
1900,1,15,0.29456168
1900,1,16,0.26480693
1900,1,17,0.25165361
1900,1,18,0.24861069
1900,1,19,0.28162676
1900,1,20,0.25762916
1900,1,21,0.26979557
1900,1,22,0.25560111
1900,1,23,0.25240159
1900,1,24,0.23743807
1900,1,25,0.23159175
1900,1,26,0.25625354
1900,1,27,0.31207278
1900,1,28,0.35349637
1900,1,29,0.33623922
1900,1,30,0.35830742
1900,1,31,0.35616666
1900,2,1,0.3788051
1900,2,2,0.35797757
1900,2,3,0.32550877
1900,2,4,0.30552936
1900,2,5,0.29504064
1900,2,6,0.3140496
1900,2,7,0.29954857
1900,2,8,0.29309151
1900,2,9,0.31487229
1900,2,10,0.30478677
1900,2,11,0.28847021
1900,2,12,0.27725118
1900,2,13,0.29440424
1900,2,14,0.29054832
1900,2,15,0.24946046
1900,2,16,0.24872538
1900,2,17,0.21812926
1900,2,18,0.23836194
1900,2,19,0.24432293
1900,2,20,0.25012743
1900,2,21,0.29383218
1900,2,22,0.30176035
1900,2,23,0.32902417
1900,2,24,0.32899129
1900,2,25,0.32799163
1900,2,26,0.31444642
1900,2,27,0.32330617
1900,2,28,0.28615427
1900,3,1,0.27859244
1900,3,2,0.29633772
1900,3,3,0.30855387
1900,3,4,0.28624445
1900,3,5,0.28535408
1900,3,6,0.30787277
1900,3,7,0.3204551
1900,3,8,0.28997645
1900,3,9,0.29219958
1900,3,10,0.30976871
1900,3,11,0.3324658
1900,3,12,0.32948932
1900,3,13,0.33759624
1900,3,14,0.42655349
1900,3,15,0.43188137
1900,3,16,0.41526476
1900,3,17,0.42455775
1900,3,18,0.37427115
1900,3,19,0.35297871
1900,3,20,0.34637475
1900,3,21,0.33251828
1900,3,22,0.31774879
1900,3,23,0.28336307
1900,3,24,0.2458141
1900,3,25,0.23632425
1900,3,26,0.24004185
1900,3,27,0.2395941
1900,3,28,0.2493031
1900,3,29,0.24730249
1900,3,30,0.283436
1900,3,31,0.31005007
1900,4,1,0.33914751
1900,4,2,0.37153715
1900,4,3,0.35730562
1900,4,4,0.32109907
1900,4,5,0.30010602
1900,4,6,0.31376848
1900,4,7,0.37017247
1900,4,8,0.38123238
1900,4,9,0.3533555
1900,4,10,0.34697208
1900,4,11,0.33699381
1900,4,12,0.33200058
1900,4,13,0.32420281
1900,4,14,0.32049662
1900,4,15,0.32979488
1900,4,16,0.32364288
1900,4,17,0.29488218
1900,4,18,0.2682263
1900,4,19,0.22986123
1900,4,20,0.23912403
1900,4,21,0.27775875
1900,4,22,0.29735392
1900,4,23,0.32082784
1900,4,24,0.31088668
1900,4,25,0.3199307
1900,4,26,0.33470654
1900,4,27,0.3686049
1900,4,28,0.35963342
1900,4,29,0.31373543
1900,4,30,0.27959946
1900,5,1,0.24332421
1900,5,2,0.22832909
1900,5,3,0.26178181
1900,5,4,0.31416219
1900,5,5,0.33691204
1900,5,6,0.36750412
1900,5,7,0.33722746
1900,5,8,0.29038814
1900,5,9,0.26934063
1900,5,10,0.30426607
1900,5,11,0.32409924
1900,5,12,0.34388506
1900,5,13,0.35298252
1900,5,14,0.34325629
1900,5,15,0.29030868
1900,5,16,0.27129513
1900,5,17,0.28469467
1900,5,18,0.28623435
1900,5,19,0.29051414
1900,5,20,0.28973907
1900,5,21,0.28396025
1900,5,22,0.29253003
1900,5,23,0.30133989
1900,5,24,0.29003811
1900,5,25,0.31502146
1900,5,26,0.31770742
1900,5,27,0.31036702
1900,5,28,0.3073549
1900,5,29,0.28336769
1900,5,30,0.28697318
