Year,Month,Day,MCI
1900,1,1,0.37906802
1900,1,2,0.36151481
1900,1,3,0.35713488
1900,1,4,0.36427093
1900,1,5,0.3541528
1900,1,6,0.33448562
1900,1,7,0.30597198
1900,1,8,0.3136887
1900,1,9,0.32001138
1900,1,10,0.35064471
1900,1,11,0.33615154
1900,1,12,0.33946306
1900,1,13,0.34778395
1900,1,14,0.38311452
1900,1,15,0.42407921
1900,1,16,0.38841292
1900,1,17,0.34367129
1900,1,18,0.32789403
1900,1,19,0.32515204
1900,1,20,0.33223534
1900,1,21,0.342518
1900,1,22,0.3552711
1900,1,23,0.34092718
1900,1,24,0.313189
1900,1,25,0.31510255
1900,1,26,0.33903322
1900,1,27,0.37028471
1900,1,28,0.39189321
1900,1,29,0.39846531
1900,1,30,0.3750239
1900,1,31,0.39713666
1900,2,1,0.39313781
1900,2,2,0.4168269
1900,2,3,0.41301334
1900,2,4,0.40209359
1900,2,5,0.37712449
1900,2,6,0.34198052
1900,2,7,0.34343565
1900,2,8,0.35658062
1900,2,9,0.33913946
1900,2,10,0.35959581
1900,2,11,0.37980705
1900,2,12,0.36164206
1900,2,13,0.35715622
1900,2,14,0.36872387
1900,2,15,0.36076444
1900,2,16,0.35332584
1900,2,17,0.33586994
1900,2,18,0.32296702
1900,2,19,0.32939512
1900,2,20,0.32498181
1900,2,21,0.34757453
1900,2,22,0.34510374
1900,2,23,0.35302973
1900,2,24,0.37343615
1900,2,25,0.38771147
1900,2,26,0.3985458
1900,2,27,0.38458109
1900,2,28,0.3826555
1900,3,1,0.34861273
1900,3,2,0.29486126
1900,3,3,0.28197652
1900,3,4,0.29153267
1900,3,5,0.30202055
1900,3,6,0.33157611
1900,3,7,0.35412884
1900,3,8,0.34409279
1900,3,9,0.31986749
1900,3,10,0.32576972
1900,3,11,0.35739711
1900,3,12,0.38399243
1900,3,13,0.39410269
1900,3,14,0.40043846
1900,3,15,0.384821
1900,3,16,0.38641486
1900,3,17,0.39182746
1900,3,18,0.41198462
1900,3,19,0.41864347
1900,3,20,0.36309695
1900,3,21,0.35301018
1900,3,22,0.34422755
1900,3,23,0.31276381
1900,3,24,0.29642144
1900,3,25,0.29889056
1900,3,26,0.32319781
1900,3,27,0.36139777
1900,3,28,0.36031753
1900,3,29,0.34862691
1900,3,30,0.35096532
1900,3,31,0.36702198
1900,4,1,0.37851602
1900,4,2,0.35643047
1900,4,3,0.3178317
1900,4,4,0.3280201
1900,4,5,0.34443706
1900,4,6,0.33009669
1900,4,7,0.33833784
1900,4,8,0.35817286
1900,4,9,0.34550074
1900,4,10,0.33456102
1900,4,11,0.35118172
1900,4,12,0.3565892
1900,4,13,0.37770694
1900,4,14,0.37415069
1900,4,15,0.36294186
1900,4,16,0.33629054
1900,4,17,0.29916197
1900,4,18,0.31893402
1900,4,19,0.34866095
1900,4,20,0.3396883
1900,4,21,0.34414741
1900,4,22,0.34304106
1900,4,23,0.36066574
1900,4,24,0.37307858
1900,4,25,0.35419446
1900,4,26,0.38131964
1900,4,27,0.39739099
1900,4,28,0.4036907
1900,4,29,0.38870415
1900,4,30,0.36659807
1900,5,1,0.36352783
1900,5,2,0.35123131
1900,5,3,0.37849641
1900,5,4,0.39709121
1900,5,5,0.41708025
1900,5,6,0.4348774
1900,5,7,0.4352814
1900,5,8,0.41075706
1900,5,9,0.35760635
1900,5,10,0.32658687
1900,5,11,0.30428118
1900,5,12,0.3254059
1900,5,13,0.34161031
1900,5,14,0.30814672
1900,5,15,0.26956147
1900,5,16,0.27921018
1900,5,17,0.31623685
1900,5,18,0.35519683
1900,5,19,0.37559843
1900,5,20,0.36999106
1900,5,21,0.3810702
1900,5,22,0.38909352
1900,5,23,0.39145166
1900,5,24,0.40014344
1900,5,25,0.38441285
1900,5,26,0.36192852
1900,5,27,0.39414334
1900,5,28,0.40267134
1900,5,29,0.3998884
1900,5,30,0.40040702
1900,5,31,0.39373681
1900,6,1,0.35699689
1900,6,2,0.33728316
1900,6,3,0.31524807
1900,6,4,0.32189965
1900,6,5,0.32551646
1900,6,6,0.32331699
1900,6,7,0.29963407
1900,6,8,0.31054589
1900,6,9,0.34099346
1900,6,10,0.37200558
1900,6,11,0.39991337
1900,6,12,0.40037262
1900,6,13,0.40475142
1900,6,14,0.41590661
1900,6,15,0.41324249
1900,6,16,0.38804373
1900,6,17,0.38392422
1900,6,18,0.37953258
1900,6,19,0.33971924
1900,6,20,0.32058889
1900,6,21,0.33501461
1900,6,22,0.35726064
1900,6,23,0.36173144
1900,6,24,0.33718252
1900,6,25,0.31763697
1900,6,26,0.3292208
1900,6,27,0.3508341
1900,6,28,0.355629
1900,6,29,0.3361389
1900,6,30,0.33040321
1900,7,1,0.32721892
1900,7,2,0.345642
1900,7,3,0.35929087
1900,7,4,0.38193795
1900,7,5,0.36834893
1900,7,6,0.3721928
1900,7,7,0.38768846
1900,7,8,0.39311004
1900,7,9,0.39316732
1900,7,10,0.41308993
1900,7,11,0.39176932
1900,7,12,0.38164014
1900,7,13,0.37986094
1900,7,14,0.35543877
1900,7,15,0.34734398
1900,7,16,0.33505163
1900,7,17,0.32669836
1900,7,18,0.33355659
1900,7,19,0.33614355
1900,7,20,0.37347555
1900,7,21,0.38190144
1900,7,22,0.39681506
1900,7,23,0.39634395
1900,7,24,0.37684506
1900,7,25,0.38131648
1900,7,26,0.39521751
1900,7,27,0.37738073
1900,7,28,0.38645408
1900,7,29,0.39346087
1900,7,30,0.40072647
1900,7,31,0.3947444
1900,8,1,0.379879
1900,8,2,0.36643195
1900,8,3,0.36624998
1900,8,4,0.3637343
1900,8,5,0.32942817
1900,8,6,0.34909874
1900,8,7,0.34350255
1900,8,8,0.33588743
1900,8,9,0.34296215
1900,8,10,0.33988032
1900,8,11,0.35009742
1900,8,12,0.37909192
1900,8,13,0.39297736
1900,8,14,0.37303793
1900,8,15,0.37387592
1900,8,16,0.39395624
1900,8,17,0.41832861
1900,8,18,0.42690957
1900,8,19,0.40742728
1900,8,20,0.42095873
1900,8,21,0.42033964
1900,8,22,0.42337352
1900,8,23,0.39637029
1900,8,24,0.39734095
1900,8,25,0.3705554
1900,8,26,0.35244042
1900,8,27,0.35950419
1900,8,28,0.35287684
1900,8,29,0.34107602
1900,8,30,0.33604881
1900,8,31,0.33102757
1900,9,1,0.33601213
1900,9,2,0.3617146
1900,9,3,0.38817832
1900,9,4,0.40007564
1900,9,5,0.36485913
1900,9,6,0.31605017
1900,9,7,0.30367485
1900,9,8,0.31343758
1900,9,9,0.32243037
1900,9,10,0.31867886
1900,9,11,0.32124615
1900,9,12,0.33213976
1900,9,13,0.3460438
1900,9,14,0.35021961
1900,9,15,0.33407384
1900,9,16,0.30353427
1900,9,17,0.34263989
1900,9,18,0.37833536
1900,9,19,0.37006259
1900,9,20,0.36230081
1900,9,21,0.33434218
1900,9,22,0.34361613
1900,9,23,0.3588981
1900,9,24,0.35059348
1900,9,25,0.33530393
1900,9,26,0.35199606
1900,9,27,0.34857059
1900,9,28,0.34740627
1900,9,29,0.34198877
1900,9,30,0.33412391
1900,10,1,0.31398052
1900,10,2,0.32934499
1900,10,3,0.35303926
1900,10,4,0.34765249
1900,10,5,0.31576031
1900,10,6,0.31200978
1900,10,7,0.32324296
1900,10,8,0.37393838
1900,10,9,0.38620061
1900,10,10,0.3445757
1900,10,11,0.37141579
1900,10,12,0.35627913
1900,10,13,0.32915068
1900,10,14,0.34050685
1900,10,15,0.34489641
1900,10,16,0.34646785
1900,10,17,0.34887812
1900,10,18,0.35314441
1900,10,19,0.31507021
1900,10,20,0.30081901
1900,10,21,0.30602875
1900,10,22,0.3212443
1900,10,23,0.32013768
1900,10,24,0.3088899
1900,10,25,0.33136654
1900,10,26,0.36834937
1900,10,27,0.35653409
1900,10,28,0.33615112
1900,10,29,0.32844478
1900,10,30,0.3343333
1900,10,31,0.31365576
1900,11,1,0.31070042
1900,11,2,0.32223314
1900,11,3,0.34285748
1900,11,4,0.34364092
1900,11,5,0.37372953
1900,11,6,0.38023371
1900,11,7,0.3748346
1900,11,8,0.35938138
1900,11,9,0.35435659
1900,11,10,0.34694183
1900,11,11,0.38785899
1900,11,12,0.38531145
1900,11,13,0.37649077
1900,11,14,0.37440011
1900,11,15,0.3445152
1900,11,16,0.33406404
1900,11,17,0.3304826
1900,11,18,0.35289121
1900,11,19,0.34516442
1900,11,20,0.35420382
1900,11,21,0.32546532
1900,11,22,0.31057051
1900,11,23,0.2972804
1900,11,24,0.28573102
1900,11,25,0.30687949
1900,11,26,0.30029121
1900,11,27,0.30303809
1900,11,28,0.33494741
1900,11,29,0.34308854
1900,11,30,0.35735592
1900,12,1,0.35157847
1900,12,2,0.33504128
1900,12,3,0.33652383
1900,12,4,0.33420795
1900,12,5,0.31595662
1900,12,6,0.31509346
1900,12,7,0.33771116
1900,12,8,0.37547073
1900,12,9,0.36472571
1900,12,10,0.3288956
1900,12,11,0.30764768
1900,12,12,0.30547479
1900,12,13,0.2867831
1900,12,14,0.27651033
1900,12,15,0.3013438
1900,12,16,0.32083207
1900,12,17,0.31298369
1900,12,18,0.33229434
1900,12,19,0.31300771
1900,12,20,0.29506671
1900,12,21,0.32179922
1900,12,22,0.34627774
1900,12,23,0.34714404
1900,12,24,0.32965794
1900,12,25,0.30929628
1900,12,26,0.29030719
1900,12,27,0.29936337
1900,12,28,0.29171401
1900,12,29,0.30712584
1900,12,30,0.32196358
1900,12,31,0.35258749
1901,1,1,0.35222882
1901,1,2,0.3556706
1901,1,3,0.38367352
1901,1,4,0.41005439
1901,1,5,0.39596319
1901,1,6,0.34706223
1901,1,7,0.34054726
1901,1,8,0.32238472
1901,1,9,0.33910355
1901,1,10,0.37826112
1901,1,11,0.38943571
1901,1,12,0.35665888
1901,1,13,0.33659989
1901,1,14,0.31830078
1901,1,15,0.32052967
1901,1,16,0.33028418
1901,1,17,0.339311
1901,1,18,0.31260532
1901,1,19,0.32327566
1901,1,20,0.34893093
1901,1,21,0.35460278
1901,1,22,0.3301205
1901,1,23,0.31420124
1901,1,24,0.32423174
1901,1,25,0.35954362
1901,1,26,0.38332599
1901,1,27,0.38147941
1901,1,28,0.39113581
1901,1,29,0.38763291
1901,1,30,0.38186079
1901,1,31,0.39419332
1901,2,1,0.38188791
1901,2,2,0.37750664
1901,2,3,0.40518776
1901,2,4,0.45108524
1901,2,5,0.43350166
1901,2,6,0.40754253
1901,2,7,0.38711727
1901,2,8,0.37426034
1901,2,9,0.37759781
1901,2,10,0.39483902
1901,2,11,0.40860501
1901,2,12,0.379767
1901,2,13,0.37950885
1901,2,14,0.41494018
1901,2,15,0.43533871
1901,2,16,0.4018032
1901,2,17,0.40898535
1901,2,18,0.40979731
1901,2,19,0.38846555
1901,2,20,0.37008357
1901,2,21,0.40956181
1901,2,22,0.38367429
1901,2,23,0.37285948
1901,2,24,0.3615441
1901,2,25,0.34911013
1901,2,26,0.33483544
1901,2,27,0.33534217
1901,2,28,0.33905986
1901,3,1,0.32432204
1901,3,2,0.2884405
1901,3,3,0.29851681
1901,3,4,0.3659288
1901,3,5,0.3844099
1901,3,6,0.42834246
1901,3,7,0.43193442
1901,3,8,0.40027103
1901,3,9,0.35122687
1901,3,10,0.32034141
1901,3,11,0.3176496
1901,3,12,0.32643059
1901,3,13,0.34673232
1901,3,14,0.34009889
1901,3,15,0.33837771
1901,3,16,0.3500202
1901,3,17,0.34613377
1901,3,18,0.33221716
1901,3,19,0.3586784
1901,3,20,0.37799358
1901,3,21,0.38265634
1901,3,22,0.39234972
1901,3,23,0.36548689
1901,3,24,0.36022523
1901,3,25,0.35210603
1901,3,26,0.33849952
1901,3,27,0.35456839
1901,3,28,0.34156126
1901,3,29,0.36559907
1901,3,30,0.39657173
1901,3,31,0.42246217
1901,4,1,0.40258613
1901,4,2,0.39256579
1901,4,3,0.36338231
1901,4,4,0.34903678
1901,4,5,0.35506541
1901,4,6,0.34919459
1901,4,7,0.3251825
1901,4,8,0.32072997
1901,4,9,0.35055196
1901,4,10,0.36879048
1901,4,11,0.3807795
1901,4,12,0.37638587
1901,4,13,0.35842437
1901,4,14,0.37070739
1901,4,15,0.36663619
1901,4,16,0.37081206
1901,4,17,0.37224323
1901,4,18,0.38562855
1901,4,19,0.39285305
1901,4,20,0.40941483
1901,4,21,0.39613837
