Year,Month,Day,MCI
1940,1,1,0.37710146
1940,1,2,0.39144216
1940,1,3,0.38562748
1940,1,4,0.34739334
1940,1,5,0.33712062
1940,1,6,0.33649964
1940,1,7,0.33646686
1940,1,8,0.33313019
1940,1,9,0.3330136
1940,1,10,0.33169503
1940,1,11,0.339833
1940,1,12,0.37435872
1940,1,13,0.37003478
1940,1,14,0.34627808
1940,1,15,0.35249703
1940,1,16,0.33543627
1940,1,17,0.34326336
1940,1,18,0.38691527
1940,1,19,0.36400762
1940,1,20,0.34407043
1940,1,21,0.3869406
1940,1,22,0.35911416
1940,1,23,0.34745332
1940,1,24,0.36011338
1940,1,25,0.34121727
1940,1,26,0.32347923
1940,1,27,0.33764018
1940,1,28,0.35638309
1940,1,29,0.38717263
1940,1,30,0.37744614
1940,1,31,0.36399396
1940,2,1,0.34652865
1940,2,2,0.38337926
1940,2,3,0.35935771
1940,2,4,0.35143753
1940,2,5,0.36475218
1940,2,6,0.33343278
1940,2,7,0.34779753
1940,2,8,0.34416269
1940,2,9,0.320923
1940,2,10,0.29706166
1940,2,11,0.31521592
1940,2,12,0.32905261
1940,2,13,0.29817297
1940,2,14,0.29819187
1940,2,15,0.31204115
1940,2,16,0.35167407
1940,2,17,0.34190322
1940,2,18,0.3492854
1940,2,19,0.39416255
1940,2,20,0.39249681
1940,2,21,0.38681195
1940,2,22,0.36015999
1940,2,23,0.35098526
1940,2,24,0.32040631
1940,2,25,0.30676018
1940,2,26,0.36702258
1940,2,27,0.40695809
1940,2,28,0.37850164
1940,2,29,0.37808823
1940,3,1,0.39022114
1940,3,2,0.37746927
1940,3,3,0.33935219
1940,3,4,0.33009422
1940,3,5,0.37705635
1940,3,6,0.34435112
1940,3,7,0.33485477
1940,3,8,0.31731114
1940,3,9,0.30963923
1940,3,10,0.33040966
1940,3,11,0.3712425
1940,3,12,0.40237316
1940,3,13,0.38664951
1940,3,14,0.33885623
1940,3,15,0.32524925
1940,3,16,0.37361049
1940,3,17,0.40235305
1940,3,18,0.41193518
1940,3,19,0.38222373
1940,3,20,0.37005356
1940,3,21,0.38791913
1940,3,22,0.35399926
1940,3,23,0.33471033
1940,3,24,0.34918396
1940,3,25,0.33852958
1940,3,26,0.32608726
1940,3,27,0.3286649
1940,3,28,0.33642445
1940,3,29,0.36671979
1940,3,30,0.39533309
1940,3,31,0.38894286
1940,4,1,0.38086105
1940,4,2,0.38046699
1940,4,3,0.39042239
1940,4,4,0.4013319
1940,4,5,0.40049286
1940,4,6,0.38389741
1940,4,7,0.35616611
1940,4,8,0.36572146
1940,4,9,0.37286604
1940,4,10,0.40244418
1940,4,11,0.4157271
1940,4,12,0.42262734
1940,4,13,0.43614964
1940,4,14,0.42543903
1940,4,15,0.42314081
1940,4,16,0.40341941
1940,4,17,0.36755587
1940,4,18,0.34614262
1940,4,19,0.36460497
1940,4,20,0.40049229
1940,4,21,0.39309262
1940,4,22,0.37031664
1940,4,23,0.37086051
1940,4,24,0.35682026
1940,4,25,0.35849291
1940,4,26,0.36680227
1940,4,27,0.37506956
1940,4,28,0.37256034
1940,4,29,0.38832514
1940,4,30,0.38522933
1940,5,1,0.37021463
1940,5,2,0.40553772
1940,5,3,0.44422036
1940,5,4,0.4062013
1940,5,5,0.39382324
1940,5,6,0.39616537
1940,5,7,0.36972314
1940,5,8,0.35205636
1940,5,9,0.3619721
1940,5,10,0.36680651
1940,5,11,0.40149645
1940,5,12,0.39738207
1940,5,13,0.39154989
1940,5,14,0.41356486
1940,5,15,0.41623357
1940,5,16,0.36577512
1940,5,17,0.36667491
1940,5,18,0.42776473
1940,5,19,0.42925208
1940,5,20,0.40294319
1940,5,21,0.36918502
1940,5,22,0.35498953
1940,5,23,0.35402227
1940,5,24,0.3663767
1940,5,25,0.39769669
1940,5,26,0.41288683
1940,5,27,0.38586033
1940,5,28,0.37604974
1940,5,29,0.37549154
1940,5,30,0.35970872
1940,5,31,0.3785812
1940,6,1,0.37252503
1940,6,2,0.35223591
1940,6,3,0.31679852
1940,6,4,0.30809925
1940,6,5,0.33796395
1940,6,6,0.35511329
1940,6,7,0.36192435
1940,6,8,0.37784221
1940,6,9,0.39415371
1940,6,10,0.39292638
1940,6,11,0.38666183
1940,6,12,0.38426298
1940,6,13,0.36816806
1940,6,14,0.33635967
1940,6,15,0.32578407
1940,6,16,0.31003283
1940,6,17,0.33567022
1940,6,18,0.35302514
1940,6,19,0.33630854
1940,6,20,0.35261336
1940,6,21,0.39535302
1940,6,22,0.40649824
1940,6,23,0.40385112
1940,6,24,0.38270291
1940,6,25,0.40335413
1940,6,26,0.38034652
1940,6,27,0.37319661
1940,6,28,0.39854858
1940,6,29,0.38912531
1940,6,30,0.37177193
1940,7,1,0.37224651
1940,7,2,0.38008742
1940,7,3,0.37338152
1940,7,4,0.34636369
1940,7,5,0.35088465
1940,7,6,0.37420197
1940,7,7,0.41104995
1940,7,8,0.4013432
1940,7,9,0.4011607
1940,7,10,0.43530522
1940,7,11,0.42442513
1940,7,12,0.39753328
1940,7,13,0.38673008
1940,7,14,0.37304145
1940,7,15,0.40032665
1940,7,16,0.40710885
1940,7,17,0.38872991
1940,7,18,0.36084541
1940,7,19,0.36493274
1940,7,20,0.37248888
1940,7,21,0.3741794
1940,7,22,0.37196361
1940,7,23,0.34403492
1940,7,24,0.32086662
1940,7,25,0.32070828
1940,7,26,0.33142004
1940,7,27,0.34941923
1940,7,28,0.36699735
1940,7,29,0.36252818
1940,7,30,0.37755472
1940,7,31,0.410669
1940,8,1,0.42355283
1940,8,2,0.36717246
1940,8,3,0.37582864
1940,8,4,0.38129216
1940,8,5,0.3707856
1940,8,6,0.37381165
1940,8,7,0.38492589
1940,8,8,0.39255209
1940,8,9,0.37106485
1940,8,10,0.36549034
1940,8,11,0.36912247
1940,8,12,0.37740387
1940,8,13,0.39294323
1940,8,14,0.37323633
1940,8,15,0.36560367
1940,8,16,0.36901146
1940,8,17,0.37572884
1940,8,18,0.38944167
1940,8,19,0.39983971
1940,8,20,0.39694311
1940,8,21,0.3894796
1940,8,22,0.42268754
1940,8,23,0.44459388
1940,8,24,0.42168492
1940,8,25,0.40521699
1940,8,26,0.38293436
1940,8,27,0.36132738
1940,8,28,0.37050113
1940,8,29,0.36678996
1940,8,30,0.39159553
1940,8,31,0.38123757
1940,9,1,0.35285611
1940,9,2,0.34223447
1940,9,3,0.36272753
1940,9,4,0.40760741
1940,9,5,0.40628465
1940,9,6,0.39844612
1940,9,7,0.38305136
1940,9,8,0.37859064
1940,9,9,0.39445125
1940,9,10,0.37978968
1940,9,11,0.38758241
1940,9,12,0.40741148
1940,9,13,0.39560261
1940,9,14,0.37918222
1940,9,15,0.35749148
1940,9,16,0.34672644
1940,9,17,0.37355565
1940,9,18,0.36597737
1940,9,19,0.36111946
1940,9,20,0.37192548
1940,9,21,0.38338594
1940,9,22,0.35178308
1940,9,23,0.33458589
1940,9,24,0.33992658
1940,9,25,0.3603085
1940,9,26,0.35864622
1940,9,27,0.3464938
1940,9,28,0.37000743
1940,9,29,0.35370067
1940,9,30,0.34258707
1940,10,1,0.31941053
1940,10,2,0.30970452
1940,10,3,0.30313263
1940,10,4,0.32614396
1940,10,5,0.3586986
1940,10,6,0.31837811
1940,10,7,0.32563513
1940,10,8,0.36711342
1940,10,9,0.37097994
1940,10,10,0.34417867
1940,10,11,0.31557012
1940,10,12,0.2918713
1940,10,13,0.31029834
1940,10,14,0.35069674
1940,10,15,0.35554566
1940,10,16,0.3552231
1940,10,17,0.36103725
1940,10,18,0.35303459
1940,10,19,0.35063065
1940,10,20,0.33578361
1940,10,21,0.31036987
1940,10,22,0.32972616
1940,10,23,0.34153766
1940,10,24,0.31589847
1940,10,25,0.3107299
1940,10,26,0.31231963
1940,10,27,0.31039871
1940,10,28,0.30119006
1940,10,29,0.30768459
1940,10,30,0.31209999
1940,10,31,0.28347647
1940,11,1,0.27143267
1940,11,2,0.28850832
1940,11,3,0.30839823
1940,11,4,0.30626075
1940,11,5,0.31479248
1940,11,6,0.34175048
1940,11,7,0.36409986
1940,11,8,0.37408023
1940,11,9,0.36710674
1940,11,10,0.37851064
1940,11,11,0.38060559
1940,11,12,0.37770118
1940,11,13,0.3893569
1940,11,14,0.38072279
1940,11,15,0.3431298
1940,11,16,0.32558709
1940,11,17,0.32628297
1940,11,18,0.31663978
1940,11,19,0.33753847
1940,11,20,0.33174917
1940,11,21,0.30158547
1940,11,22,0.30943861
1940,11,23,0.32720617
1940,11,24,0.35086628
1940,11,25,0.32331595
1940,11,26,0.31524932
1940,11,27,0.3257239
1940,11,28,0.3298786
1940,11,29,0.34901235
1940,11,30,0.33198456
1940,12,1,0.31818821
1940,12,2,0.29609778
1940,12,3,0.31639731
1940,12,4,0.30162398
1940,12,5,0.27065612
1940,12,6,0.27053147
1940,12,7,0.29751359
1940,12,8,0.29665167
1940,12,9,0.31319978
1940,12,10,0.31742021
1940,12,11,0.36149679
1940,12,12,0.37380021
1940,12,13,0.36872886
1940,12,14,0.34745754
1940,12,15,0.31703955
1940,12,16,0.31257949
1940,12,17,0.33337755
1940,12,18,0.35500742
1940,12,19,0.38989062
1940,12,20,0.36244145
1940,12,21,0.30508617
1940,12,22,0.28953817
1940,12,23,0.3020842
1940,12,24,0.31779629
1940,12,25,0.34781613
1940,12,26,0.36040194
1940,12,27,0.35141927
1940,12,28,0.34328167
1940,12,29,0.32627551
1940,12,30,0.29569811
1940,12,31,0.28429297
1941,1,1,0.2984222
1941,1,2,0.3283209
1941,1,3,0.37275304
1941,1,4,0.35047781
1941,1,5,0.33899413
1941,1,6,0.33360108
1941,1,7,0.34399559
1941,1,8,0.34056522
1941,1,9,0.30962231
1941,1,10,0.31896367
1941,1,11,0.34350313
1941,1,12,0.35426052
1941,1,13,0.38035666
1941,1,14,0.36879166
1941,1,15,0.33224516
1941,1,16,0.31062267
1941,1,17,0.31692044
1941,1,18,0.33772241
1941,1,19,0.36346384
1941,1,20,0.33918415
1941,1,21,0.3271064
1941,1,22,0.33925449
1941,1,23,0.32109115
1941,1,24,0.30531001
1941,1,25,0.29683736
1941,1,26,0.28752301
1941,1,27,0.32768398
1941,1,28,0.34761327
1941,1,29,0.38615735
1941,1,30,0.40703227
1941,1,31,0.38051159
1941,2,1,0.3881218
1941,2,2,0.36865349
1941,2,3,0.34951335
1941,2,4,0.32871819
1941,2,5,0.35249088
1941,2,6,0.36298251
1941,2,7,0.38219889
1941,2,8,0.42222346
1941,2,9,0.39995728
1941,2,10,0.34955741
1941,2,11,0.34466131
1941,2,12,0.34579964
1941,2,13,0.32190082
1941,2,14,0.28703966
1941,2,15,0.28288844
1941,2,16,0.35404206
1941,2,17,0.35318173
1941,2,18,0.31208338
1941,2,19,0.31001589
1941,2,20,0.3302064
1941,2,21,0.30966167
1941,2,22,0.28192601
1941,2,23,0.29348649
1941,2,24,0.32526905
1941,2,25,0.36251682
1941,2,26,0.34910961
1941,2,27,0.37208469
1941,2,28,0.3790133
1941,3,1,0.36357289
1941,3,2,0.36903502
1941,3,3,0.36912291
1941,3,4,0.35968386
1941,3,5,0.33146071
1941,3,6,0.35876853
1941,3,7,0.37877708
1941,3,8,0.37632484
1941,3,9,0.38072973
1941,3,10,0.37838862
1941,3,11,0.38184683
1941,3,12,0.41463067
1941,3,13,0.38667285
1941,3,14,0.40582389
1941,3,15,0.40640054
1941,3,16,0.40201565
1941,3,17,0.3703397
1941,3,18,0.35603745
1941,3,19,0.33154285
1941,3,20,0.34373263
1941,3,21,0.37076731
1941,3,22,0.36532704
1941,3,23,0.318149
1941,3,24,0.30098541
1941,3,25,0.31880336
1941,3,26,0.33186662
1941,3,27,0.3332604
1941,3,28,0.31890625
1941,3,29,0.3549064
1941,3,30,0.3549954
1941,3,31,0.34600035
1941,4,1,0.32469257
1941,4,2,0.33179443
1941,4,3,0.33309893
1941,4,4,0.36120558
1941,4,5,0.34744073
1941,4,6,0.35639589
1941,4,7,0.36297918
1941,4,8,0.35394137
1941,4,9,0.38279022
1941,4,10,0.40075951
1941,4,11,0.38855936
1941,4,12,0.40378947
1941,4,13,0.37851626
1941,4,14,0.36353895
1941,4,15,0.33889311
1941,4,16,0.33799667
1941,4,17,0.33450298
1941,4,18,0.34104969
1941,4,19,0.32563085
1941,4,20,0.34760139
1941,4,21,0.35289309
1941,4,22,0.32584265
1941,4,23,0.33617212
1941,4,24,0.34610253
1941,4,25,0.3376571
1941,4,26,0.33266417
1941,4,27,0.34861889
1941,4,28,0.3637849
1941,4,29,0.35895852
1941,4,30,0.327214
1941,5,1,0.32513674
1941,5,2,0.34802022
1941,5,3,0.36692221
1941,5,4,0.39288996
1941,5,5,0.37137443
1941,5,6,0.33967671
1941,5,7,0.34632248
1941,5,8,0.37018697
1941,5,9,0.39161572
1941,5,10,0.37445646
1941,5,11,0.3401962
1941,5,12,0.34098661
1941,5,13,0.34815528
1941,5,14,0.33512341
1941,5,15,0.32193094
1941,5,16,0.32182591
1941,5,17,0.3376916
1941,5,18,0.3645585
1941,5,19,0.39309088
1941,5,20,0.38808833
1941,5,21,0.39980666
1941,5,22,0.39456661
1941,5,23,0.37192126
1941,5,24,0.37687997
1941,5,25,0.41621707
1941,5,26,0.4299486
1941,5,27,0.44637381
1941,5,28,0.44337565
1941,5,29,0.39387943
1941,5,30,0.3605386
1941,5,31,0.35773743
1941,6,1,0.34785399
1941,6,2,0.36072387
1941,6,3,0.35364097
1941,6,4,0.37121458
1941,6,5,0.36716519
1941,6,6,0.3502766
1941,6,7,0.35696757
1941,6,8,0.37851055
1941,6,9,0.40078613
1941,6,10,0.40086906
1941,6,11,0.38157026
1941,6,12,0.39971507
1941,6,13,0.41132447
1941,6,14,0.4039748
1941,6,15,0.38850289
1941,6,16,0.34693148
1941,6,17,0.34637726
1941,6,18,0.34180718
1941,6,19,0.35315399
1941,6,20,0.37947392
1941,6,21,0.40826349
1941,6,22,0.3911781
1941,6,23,0.36358812
1941,6,24,0.34586132
1941,6,25,0.3703474
1941,6,26,0.38341729
1941,6,27,0.37360329
1941,6,28,0.35471953
1941,6,29,0.36764379
1941,6,30,0.37912901
1941,7,1,0.37606632
1941,7,2,0.37593114
1941,7,3,0.38704943
1941,7,4,0.39306319
1941,7,5,0.38560731
1941,7,6,0.3824929
1941,7,7,0.37816662
1941,7,8,0.37658779
1941,7,9,0.36729018
1941,7,10,0.37887025
1941,7,11,0.40167056
1941,7,12,0.42655949
1941,7,13,0.43491183
1941,7,14,0.41836991
1941,7,15,0.41984633
1941,7,16,0.40109036
1941,7,17,0.40470707
1941,7,18,0.40430561
1941,7,19,0.41335915
1941,7,20,0.39463916
1941,7,21,0.38064265
1941,7,22,0.37931655
1941,7,23,0.38363369
1941,7,24,0.39142866
1941,7,25,0.41230431
1941,7,26,0.4070919
1941,7,27,0.39086742
1941,7,28,0.3906768
1941,7,29,0.3918816
1941,7,30,0.39122279
1941,7,31,0.3787115
1941,8,1,0.38881009
1941,8,2,0.38640797
1941,8,3,0.3718959
1941,8,4,0.41741975
1941,8,5,0.42870496
1941,8,6,0.42226431
1941,8,7,0.41443248
1941,8,8,0.38199219
1941,8,9,0.36147768
1941,8,10,0.38850254
1941,8,11,0.40216365
1941,8,12,0.42103123
1941,8,13,0.4379097
1941,8,14,0.41572587
1941,8,15,0.39869195
1941,8,16,0.39900909
1941,8,17,0.39433554
1941,8,18,0.39400547
1941,8,19,0.38820761
1941,8,20,0.37443176
1941,8,21,0.35740718
1941,8,22,0.35423796
1941,8,23,0.33573419
1941,8,24,0.32786614
1941,8,25,0.3288621
1941,8,26,0.30752104
1941,8,27,0.32850211
1941,8,28,0.34857724
1941,8,29,0.36187809
1941,8,30,0.35411631
1941,8,31,0.35014973
1941,9,1,0.3419316
1941,9,2,0.36948396
1941,9,3,0.36980284
1941,9,4,0.39678094
1941,9,5,0.4321221
1941,9,6,0.43467677
1941,9,7,0.44163371
1941,9,8,0.4322257
1941,9,9,0.41036708
1941,9,10,0.40647877
1941,9,11,0.38388362
1941,9,12,0.39740437
1941,9,13,0.39928793
1941,9,14,0.38763953
1941,9,15,0.39524585
1941,9,16,0.39119451
1941,9,17,0.43056529
1941,9,18,0.42107176
1941,9,19,0.40708657
1941,9,20,0.40911395
1941,9,21,0.38999553
1941,9,22,0.38246581
1941,9,23,0.38934819
1941,9,24,0.3797385
1941,9,25,0.37532651
1941,9,26,0.37354133
1941,9,27,0.35910644
1941,9,28,0.32192217
1941,9,29,0.3108888
1941,9,30,0.33861078
1941,10,1,0.3551009
1941,10,2,0.37023767
1941,10,3,0.36545298
1941,10,4,0.36479107
1941,10,5,0.36523944
1941,10,6,0.34621382
1941,10,7,0.3557507
1941,10,8,0.34750112
1941,10,9,0.33250024
1941,10,10,0.31153692
1941,10,11,0.32384854
1941,10,12,0.33162094
1941,10,13,0.32312917
1941,10,14,0.33518931
1941,10,15,0.31153258
1941,10,16,0.29075516
1941,10,17,0.29639191
1941,10,18,0.35247265
1941,10,19,0.37523034
1941,10,20,0.36875633
1941,10,21,0.34406333
1941,10,22,0.35607282
1941,10,23,0.36134501
1941,10,24,0.3636863
1941,10,25,0.37200553
1941,10,26,0.38840748
1941,10,27,0.37184352
1941,10,28,0.37962724
1941,10,29,0.36222753
1941,10,30,0.35221097
1941,10,31,0.31385098
1941,11,1,0.26702868
1941,11,2,0.27255256
1941,11,3,0.28506286
1941,11,4,0.28741892
1941,11,5,0.29365029
1941,11,6,0.30683786
1941,11,7,0.35542761
1941,11,8,0.37968916
1941,11,9,0.36219515
1941,11,10,0.33949505
1941,11,11,0.32098941
1941,11,12,0.32947586
1941,11,13,0.30577081
1941,11,14,0.29917526
1941,11,15,0.31374935
1941,11,16,0.30446554
1941,11,17,0.30502992
1941,11,18,0.33497125
1941,11,19,0.36312568
1941,11,20,0.35439933
1941,11,21,0.33110464
1941,11,22,0.35316449
1941,11,23,0.34718548
1941,11,24,0.29637868
1941,11,25,0.28436844
1941,11,26,0.32554933
1941,11,27,0.36809848
1941,11,28,0.36946551
1941,11,29,0.33961416
1941,11,30,0.32518158
1941,12,1,0.33882543
1941,12,2,0.35927157
1941,12,3,0.34936431
1941,12,4,0.30595217
1941,12,5,0.28764901
1941,12,6,0.30387986
1941,12,7,0.31219294
1941,12,8,0.33075728
1941,12,9,0.34014892
1941,12,10,0.36172566
1941,12,11,0.35966621
1941,12,12,0.32801854
1941,12,13,0.29692098
1941,12,14,0.2971742
1941,12,15,0.29674678
1941,12,16,0.29911885
1941,12,17,0.30002778
1941,12,18,0.2880188
1941,12,19,0.2784731
1941,12,20,0.29335304
1941,12,21,0.31716536
1941,12,22,0.31306214
1941,12,23,0.34199327
1941,12,24,0.36698523
1941,12,25,0.37789172
1941,12,26,0.37170099
1941,12,27,0.35797203
1941,12,28,0.36533806
1941,12,29,0.35647706
1941,12,30,0.33672753
1941,12,31,0.34579754
1942,1,1,0.36041193
1942,1,2,0.4057695
1942,1,3,0.42591657
1942,1,4,0.39980666
1942,1,5,0.38598447
1942,1,6,0.40224811
1942,1,7,0.40053788
1942,1,8,0.38459704
1942,1,9,0.36754971
1942,1,10,0.36070114
1942,1,11,0.36188607
1942,1,12,0.35330982
1942,1,13,0.35050651
1942,1,14,0.33164537
1942,1,15,0.32945106
1942,1,16,0.32372425
1942,1,17,0.31072413
1942,1,18,0.33311474
1942,1,19,0.35096335
1942,1,20,0.32564791
1942,1,21,0.35404403
1942,1,22,0.35484214
1942,1,23,0.33617715
1942,1,24,0.33069051
1942,1,25,0.34435186
1942,1,26,0.34878599
1942,1,27,0.37174279
1942,1,28,0.39648427
1942,1,29,0.40632344
1942,1,30,0.40241522
1942,1,31,0.39813005
1942,2,1,0.40043665
1942,2,2,0.41509086
1942,2,3,0.40663528
1942,2,4,0.38920482
1942,2,5,0.38406377
1942,2,6,0.37326078
1942,2,7,0.35567433
1942,2,8,0.35986542
1942,2,9,0.34957234
1942,2,10,0.37186228
1942,2,11,0.41774976
1942,2,12,0.43546972
1942,2,13,0.45040194
1942,2,14,0.43347342
1942,2,15,0.46686729
1942,2,16,0.44711377
1942,2,17,0.44854673
1942,2,18,0.4214066
1942,2,19,0.37340625
1942,2,20,0.39698231
1942,2,21,0.35970686
1942,2,22,0.35358291
1942,2,23,0.33481542
1942,2,24,0.33300866
1942,2,25,0.3271305
1942,2,26,0.31647231
1942,2,27,0.31048903
1942,2,28,0.31286718
1942,3,1,0.32111902
1942,3,2,0.33694671
1942,3,3,0.33799849
1942,3,4,0.34794349
1942,3,5,0.34480079
1942,3,6,0.38336856
1942,3,7,0.37638087
1942,3,8,0.34431692
1942,3,9,0.31000998
1942,3,10,0.27190742
1942,3,11,0.28083212
1942,3,12,0.31660562
1942,3,13,0.34176463
1942,3,14,0.3425048
1942,3,15,0.33215467
1942,3,16,0.32162515
1942,3,17,0.33590539
1942,3,18,0.31249816
1942,3,19,0.30249224
1942,3,20,0.31720667
1942,3,21,0.33054454
1942,3,22,0.35180955
1942,3,23,0.3486482
1942,3,24,0.32224876
1942,3,25,0.31139719
1942,3,26,0.33446684
1942,3,27,0.36055782
1942,3,28,0.36465841
1942,3,29,0.36868087
1942,3,30,0.36262265
1942,3,31,0.33232848
1942,4,1,0.27423643
1942,4,2,0.29207523
