Year,Month,Day,MCI
1958,1,1,0.32752877
1958,1,2,0.32484215
1958,1,3,0.37078702
1958,1,4,0.37185684
1958,1,5,0.37050095
1958,1,6,0.37454298
1958,1,7,0.36282086
1958,1,8,0.35049576
1958,1,9,0.30579203
1958,1,10,0.29302001
1958,1,11,0.3475011
1958,1,12,0.3874118
1958,1,13,0.36168283
1958,1,14,0.35244238
1958,1,15,0.34196755
1958,1,16,0.33722252
1958,1,17,0.34216249
1958,1,18,0.3559165
1958,1,19,0.3833133
1958,1,20,0.37995443
1958,1,21,0.39947331
1958,1,22,0.4117918
1958,1,23,0.39943737
1958,1,24,0.37829378
1958,1,25,0.39124233
1958,1,26,0.3946979
1958,1,27,0.39941394
1958,1,28,0.36137402
1958,1,29,0.35372797
1958,1,30,0.35016403
1958,1,31,0.36940926
1958,2,1,0.39440924
1958,2,2,0.39815104
1958,2,3,0.41577801
1958,2,4,0.38371599
1958,2,5,0.33551002
1958,2,6,0.31913003
1958,2,7,0.31766886
1958,2,8,0.34838414
1958,2,9,0.34393403
1958,2,10,0.33162573
1958,2,11,0.35710967
1958,2,12,0.35267597
1958,2,13,0.36365843
1958,2,14,0.38012233
1958,2,15,0.38503322
1958,2,16,0.36782822
1958,2,17,0.36067909
1958,2,18,0.36856449
1958,2,19,0.38935548
1958,2,20,0.38236415
1958,2,21,0.39063865
1958,2,22,0.36994085
1958,2,23,0.35472995
1958,2,24,0.34418678
1958,2,25,0.34926042
1958,2,26,0.37705651
1958,2,27,0.39343625
1958,2,28,0.39113575
1958,3,1,0.36611521
1958,3,2,0.3784163
1958,3,3,0.39485496
1958,3,4,0.37574989
1958,3,5,0.35622597
1958,3,6,0.34379449
1958,3,7,0.37025082
1958,3,8,0.36412564
1958,3,9,0.35806406
1958,3,10,0.34609163
1958,3,11,0.35483405
1958,3,12,0.34434861
1958,3,13,0.36120638
1958,3,14,0.37390423
1958,3,15,0.35808247
1958,3,16,0.35379189
1958,3,17,0.33272108
1958,3,18,0.33473265
1958,3,19,0.33507606
1958,3,20,0.32678384
1958,3,21,0.32587248
1958,3,22,0.31266785
1958,3,23,0.32134017
1958,3,24,0.33176896
1958,3,25,0.34488928
1958,3,26,0.36022836
1958,3,27,0.35765421
1958,3,28,0.33883801
1958,3,29,0.29774523
1958,3,30,0.28849044
1958,3,31,0.29174569
1958,4,1,0.33334345
1958,4,2,0.33235174
1958,4,3,0.29959077
1958,4,4,0.33421981
1958,4,5,0.35837626
1958,4,6,0.36036238
1958,4,7,0.36842552
1958,4,8,0.3763209
1958,4,9,0.39002961
1958,4,10,0.38200366
1958,4,11,0.36502886
1958,4,12,0.3619743
1958,4,13,0.35978687
1958,4,14,0.32829601
1958,4,15,0.35147208
1958,4,16,0.34765995
1958,4,17,0.31754673
1958,4,18,0.28370309
1958,4,19,0.31741354
1958,4,20,0.34942102
1958,4,21,0.34818554
1958,4,22,0.33496928
1958,4,23,0.31743029
1958,4,24,0.34594345
1958,4,25,0.36072174
1958,4,26,0.35652632
1958,4,27,0.36329466
1958,4,28,0.36391979
1958,4,29,0.42986432
1958,4,30,0.41947263
1958,5,1,0.38526666
1958,5,2,0.34162673
1958,5,3,0.34925258
1958,5,4,0.33135274
1958,5,5,0.35149223
1958,5,6,0.37579381
1958,5,7,0.40012902
1958,5,8,0.39059514
1958,5,9,0.36211547
1958,5,10,0.35636631
1958,5,11,0.36153105
1958,5,12,0.34961775
1958,5,13,0.38435966
1958,5,14,0.41559249
1958,5,15,0.40476727
1958,5,16,0.39689118
1958,5,17,0.40493876
1958,5,18,0.40565586
1958,5,19,0.39608821
1958,5,20,0.40973949
1958,5,21,0.3971878
1958,5,22,0.3997553
1958,5,23,0.41043717
1958,5,24,0.42003784
1958,5,25,0.43070889
1958,5,26,0.41474766
1958,5,27,0.39882258
1958,5,28,0.37925464
1958,5,29,0.39888713
1958,5,30,0.41361618
1958,5,31,0.40998915
1958,6,1,0.39382374
1958,6,2,0.3487944
1958,6,3,0.35279968
1958,6,4,0.37001079
1958,6,5,0.40323612
1958,6,6,0.43909752
1958,6,7,0.38381726
1958,6,8,0.36027759
1958,6,9,0.35045379
1958,6,10,0.3756685
1958,6,11,0.40585595
1958,6,12,0.36037129
1958,6,13,0.34522483
1958,6,14,0.37227714
1958,6,15,0.38773382
1958,6,16,0.41050693
1958,6,17,0.42698711
1958,6,18,0.41121054
1958,6,19,0.38650876
1958,6,20,0.40028852
1958,6,21,0.38659936
1958,6,22,0.37959835
1958,6,23,0.35989326
1958,6,24,0.35018605
1958,6,25,0.34243342
1958,6,26,0.36304575
1958,6,27,0.34490767
1958,6,28,0.34879303
1958,6,29,0.35018075
1958,6,30,0.33619055
1958,7,1,0.32658854
1958,7,2,0.33490542
1958,7,3,0.3646749
1958,7,4,0.35410869
1958,7,5,0.33356044
1958,7,6,0.3494401
1958,7,7,0.37100244
1958,7,8,0.39972472
1958,7,9,0.39081952
1958,7,10,0.3814356
1958,7,11,0.37827677
1958,7,12,0.39728159
1958,7,13,0.39047104
1958,7,14,0.42114741
1958,7,15,0.38512465
1958,7,16,0.39230353
1958,7,17,0.39602727
1958,7,18,0.39363161
1958,7,19,0.36834392
1958,7,20,0.34220359
1958,7,21,0.3558684
1958,7,22,0.37156296
1958,7,23,0.36494425
1958,7,24,0.36799031
1958,7,25,0.37068325
1958,7,26,0.35640705
1958,7,27,0.3849102
1958,7,28,0.38647377
1958,7,29,0.38085651
1958,7,30,0.36536932
1958,7,31,0.37365657
1958,8,1,0.36457887
1958,8,2,0.37164062
1958,8,3,0.3475126
1958,8,4,0.34104055
1958,8,5,0.37033823
1958,8,6,0.36438739
1958,8,7,0.37132666
1958,8,8,0.40524083
1958,8,9,0.40724623
1958,8,10,0.40520659
1958,8,11,0.39430544
1958,8,12,0.41084075
1958,8,13,0.38989881
1958,8,14,0.36666572
1958,8,15,0.35246781
1958,8,16,0.34408042
1958,8,17,0.34287432
1958,8,18,0.3508184
1958,8,19,0.36081061
1958,8,20,0.35180947
1958,8,21,0.33482376
1958,8,22,0.34477985
1958,8,23,0.35009533
1958,8,24,0.3481296
1958,8,25,0.33845025
1958,8,26,0.36239594
1958,8,27,0.37487569
1958,8,28,0.3845554
1958,8,29,0.36208758
1958,8,30,0.35239756
1958,8,31,0.34399667
1958,9,1,0.32490617
1958,9,2,0.33516958
1958,9,3,0.34068686
1958,9,4,0.36991546
1958,9,5,0.39859936
1958,9,6,0.40253749
1958,9,7,0.39089498
1958,9,8,0.38582885
1958,9,9,0.39357275
1958,9,10,0.35560527
1958,9,11,0.36003599
1958,9,12,0.39940494
1958,9,13,0.40076363
1958,9,14,0.36910722
1958,9,15,0.38043213
1958,9,16,0.38268918
1958,9,17,0.35433191
1958,9,18,0.37021822
1958,9,19,0.37085074
1958,9,20,0.35323489
1958,9,21,0.33501476
1958,9,22,0.33775172
1958,9,23,0.35775453
1958,9,24,0.35976791
1958,9,25,0.35072511
1958,9,26,0.34624013
1958,9,27,0.34811068
1958,9,28,0.36225572
1958,9,29,0.37847641
1958,9,30,0.39807436
1958,10,1,0.36558366
1958,10,2,0.4064233
1958,10,3,0.39238486
1958,10,4,0.36364436
1958,10,5,0.33726734
1958,10,6,0.33302093
1958,10,7,0.33667549
1958,10,8,0.31416044
1958,10,9,0.33448207
1958,10,10,0.33811063
1958,10,11,0.32220757
1958,10,12,0.32887796
1958,10,13,0.3722893
1958,10,14,0.38141984
1958,10,15,0.36365521
1958,10,16,0.35764739
1958,10,17,0.38885826
1958,10,18,0.39328027
1958,10,19,0.37562734
1958,10,20,0.39480498
1958,10,21,0.40544081
1958,10,22,0.41428512
1958,10,23,0.41859269
1958,10,24,0.38276839
1958,10,25,0.35986471
1958,10,26,0.37394822
1958,10,27,0.36383215
1958,10,28,0.39476115
1958,10,29,0.37593931
1958,10,30,0.352557
1958,10,31,0.3575933
1958,11,1,0.36402571
1958,11,2,0.3323715
1958,11,3,0.32112134
1958,11,4,0.33237767
1958,11,5,0.31361905
1958,11,6,0.299523
1958,11,7,0.32379723
1958,11,8,0.35051048
1958,11,9,0.37864581
1958,11,10,0.37473479
1958,11,11,0.37207159
1958,11,12,0.38636848
1958,11,13,0.38146231
