Year,Month,Day,MCI
1948,1,1,0.17122893
1948,1,2,0.24913189
1948,1,3,0.27859294
1948,1,4,0.26352057
1948,1,5,0.23690344
1948,1,6,0.21419539
1948,1,7,0.22784474
1948,1,8,0.23493627
1948,1,9,0.25275722
1948,1,10,0.26182485
1948,1,11,0.25384879
1948,1,12,0.30773473
1948,1,13,0.37992916
1948,1,14,0.3845647
1948,1,15,0.39053664
1948,1,16,0.37979409
1948,1,17,0.34218457
1948,1,18,0.30954379
1948,1,19,0.33179274
1948,1,20,0.35914117
1948,1,21,0.34768248
1948,1,22,0.32938853
1948,1,23,0.37904692
1948,1,24,0.35060591
1948,1,25,0.32894355
1948,1,26,0.30370215
1948,1,27,0.30953661
1948,1,28,0.29838276
1948,1,29,0.28635845
1948,1,30,0.25757805
1948,1,31,0.28646353
1948,2,1,0.31268433
1948,2,2,0.33945274
1948,2,3,0.32178038
1948,2,4,0.33536994
1948,2,5,0.327371
1948,2,6,0.33098996
1948,2,7,0.32436287
1948,2,8,0.33282644
1948,2,9,0.35878333
1948,2,10,0.3159413
1948,2,11,0.29064596
1948,2,12,0.30446938
1948,2,13,0.30825716
1948,2,14,0.32937416
1948,2,15,0.33406839
1948,2,16,0.31069666
1948,2,17,0.31217754
1948,2,18,0.26349035
1948,2,19,0.25679648
1948,2,20,0.28116119
1948,2,21,0.2955555
1948,2,22,0.30103171
1948,2,23,0.27886003
1948,2,24,0.30766124
1948,2,25,0.30225781
1948,2,26,0.26471525
1948,2,27,0.27111515
1948,2,28,0.30661124
1948,2,29,0.32403895
1948,3,1,0.36796835
1948,3,2,0.3876358
1948,3,3,0.39663556
1948,3,4,0.35762092
1948,3,5,0.32306334
1948,3,6,0.31262335
1948,3,7,0.36911565
1948,3,8,0.35992894
1948,3,9,0.3205218
1948,3,10,0.33430836
1948,3,11,0.31424427
1948,3,12,0.30343363
1948,3,13,0.30994257
1948,3,14,0.30753741
1948,3,15,0.28479165
1948,3,16,0.28528339
1948,3,17,0.27498624
1948,3,18,0.23241715
1948,3,19,0.26141712
1948,3,20,0.28118706
1948,3,21,0.30177236
1948,3,22,0.30719817
1948,3,23,0.30760595
1948,3,24,0.28668073
1948,3,25,0.32559696
1948,3,26,0.3264088
1948,3,27,0.31258965
1948,3,28,0.30042824
1948,3,29,0.29641199
1948,3,30,0.2769933
1948,3,31,0.28037551
1948,4,1,0.30459905
1948,4,2,0.311389
1948,4,3,0.35318276
1948,4,4,0.39342314
1948,4,5,0.3950986
1948,4,6,0.35694844
1948,4,7,0.34040114
1948,4,8,0.3562288
1948,4,9,0.32834265
1948,4,10,0.32441914
1948,4,11,0.32622796
1948,4,12,0.33389375
1948,4,13,0.32494041
1948,4,14,0.3185457
1948,4,15,0.29485744
1948,4,16,0.27954105
1948,4,17,0.29175013
1948,4,18,0.31060281
1948,4,19,0.30711174
1948,4,20,0.29108429
1948,4,21,0.29658955
1948,4,22,0.33870786
1948,4,23,0.36468515
1948,4,24,0.39233422
1948,4,25,0.45145869
1948,4,26,0.44485408
1948,4,27,0.37964043
1948,4,28,0.36168098
1948,4,29,0.36240232
1948,4,30,0.36085048
1948,5,1,0.34988147
1948,5,2,0.32909945
1948,5,3,0.32811984
1948,5,4,0.31577763
1948,5,5,0.33437902
1948,5,6,0.36049411
1948,5,7,0.35991976
1948,5,8,0.36093637
1948,5,9,0.37333146
1948,5,10,0.38325793
1948,5,11,0.39159349
1948,5,12,0.39196041
1948,5,13,0.37466213
1948,5,14,0.34292141
1948,5,15,0.35426319
1948,5,16,0.34967965
1948,5,17,0.37222508
1948,5,18,0.40429443
1948,5,19,0.39095509
1948,5,20,0.38619202
1948,5,21,0.36906263
1948,5,22,0.35884565
1948,5,23,0.3692148
1948,5,24,0.37410429
1948,5,25,0.38797602
1948,5,26,0.33854049
1948,5,27,0.33378601
1948,5,28,0.36050114
1948,5,29,0.35296208
1948,5,30,0.40777877
1948,5,31,0.42376193
1948,6,1,0.38843176
1948,6,2,0.37913343
1948,6,3,0.38372323
1948,6,4,0.41880041
1948,6,5,0.40140721
1948,6,6,0.38002476
1948,6,7,0.36940897
1948,6,8,0.37022394
1948,6,9,0.3900435
1948,6,10,0.3774091
1948,6,11,0.36360079
1948,6,12,0.32597589
1948,6,13,0.32932055
1948,6,14,0.33649933
1948,6,15,0.30636787
1948,6,16,0.2902523
1948,6,17,0.29060635
1948,6,18,0.29427636
1948,6,19,0.30946746
1948,6,20,0.31021535
1948,6,21,0.35263881
1948,6,22,0.37646049
1948,6,23,0.3858915
1948,6,24,0.39478263
1948,6,25,0.38613787
1948,6,26,0.39730522
1948,6,27,0.40913603
1948,6,28,0.39214998
1948,6,29,0.36289349
1948,6,30,0.34456825
1948,7,1,0.36764359
1948,7,2,0.37142548
1948,7,3,0.37480238
1948,7,4,0.4077765
1948,7,5,0.39915866
1948,7,6,0.35444081
1948,7,7,0.31286824
1948,7,8,0.35870931
1948,7,9,0.35238639
1948,7,10,0.34514979
1948,7,11,0.33698723
1948,7,12,0.32128993
1948,7,13,0.32443321
1948,7,14,0.32654423
1948,7,15,0.29658186
1948,7,16,0.28768894
1948,7,17,0.30271345
1948,7,18,0.32582313
1948,7,19,0.34247345
1948,7,20,0.32560632
1948,7,21,0.35989437
1948,7,22,0.36093158
1948,7,23,0.37082711
1948,7,24,0.39198744
1948,7,25,0.39290461
1948,7,26,0.35134915
1948,7,27,0.3540369
1948,7,28,0.35805574
1948,7,29,0.36418575
1948,7,30,0.35616758
1948,7,31,0.37316808
1948,8,1,0.37460369
1948,8,2,0.36685398
1948,8,3,0.3635551
1948,8,4,0.35318604
1948,8,5,0.34604946
1948,8,6,0.34550822
1948,8,7,0.3479085
1948,8,8,0.35751316
1948,8,9,0.35180828
1948,8,10,0.35421264
1948,8,11,0.35151762
1948,8,12,0.37313658
1948,8,13,0.34938031
1948,8,14,0.3448154
1948,8,15,0.39321432
1948,8,16,0.37639204
1948,8,17,0.3506074
1948,8,18,0.35879675
1948,8,19,0.3746855
1948,8,20,0.39087152
1948,8,21,0.39613268
1948,8,22,0.37097734
1948,8,23,0.34810713
1948,8,24,0.33271319
1948,8,25,0.35886976
1948,8,26,0.33979934
1948,8,27,0.33706132
1948,8,28,0.3264741
1948,8,29,0.31875193
1948,8,30,0.32154214
1948,8,31,0.32333988
1948,9,1,0.31532878
1948,9,2,0.29558489
1948,9,3,0.30282044
1948,9,4,0.29847831
1948,9,5,0.28804374
1948,9,6,0.32491064
1948,9,7,0.34630969
1948,9,8,0.32528964
1948,9,9,0.34510753
1948,9,10,0.33342555
1948,9,11,0.34109113
1948,9,12,0.3759169
1948,9,13,0.36367482
1948,9,14,0.33044019
1948,9,15,0.33909306
1948,9,16,0.32218504
1948,9,17,0.33954781
1948,9,18,0.3260749
1948,9,19,0.31033862
1948,9,20,0.33314145
1948,9,21,0.33471635
1948,9,22,0.32290891
1948,9,23,0.33693638
1948,9,24,0.36857903
1948,9,25,0.37302536
1948,9,26,0.34867015
1948,9,27,0.36884746
1948,9,28,0.36466834
1948,9,29,0.33064565
1948,9,30,0.35233513
1948,10,1,0.33384016
1948,10,2,0.33340836
1948,10,3,0.32525524
1948,10,4,0.3307153
1948,10,5,0.33241189
1948,10,6,0.30873701
1948,10,7,0.26991764
1948,10,8,0.29050729
1948,10,9,0.29817915
1948,10,10,0.29589561
1948,10,11,0.28240299
1948,10,12,0.28962353
1948,10,13,0.27651
1948,10,14,0.2962721
1948,10,15,0.32515723
1948,10,16,0.32079014
1948,10,17,0.27870998
1948,10,18,0.29865885
1948,10,19,0.33800277
1948,10,20,0.31513289
1948,10,21,0.3150571
1948,10,22,0.31027526
1948,10,23,0.30907899
1948,10,24,0.31215495
1948,10,25,0.32018089
1948,10,26,0.30519974
1948,10,27,0.29943559
1948,10,28,0.31629616
1948,10,29,0.32398826
1948,10,30,0.30255511
1948,10,31,0.31573588
1948,11,1,0.28441221
1948,11,2,0.2867789
1948,11,3,0.26661208
1948,11,4,0.26290011
1948,11,5,0.27822146
1948,11,6,0.29482684
1948,11,7,0.33448514
1948,11,8,0.33019689
1948,11,9,0.35275728
1948,11,10,0.38262409
1948,11,11,0.39452934
1948,11,12,0.39161405
1948,11,13,0.34451395
1948,11,14,0.31560925
1948,11,15,0.2706643
1948,11,16,0.2711207
1948,11,17,0.25390691
1948,11,18,0.29011872
1948,11,19,0.29376459
1948,11,20,0.29415366
1948,11,21,0.27912241
1948,11,22,0.29162455
1948,11,23,0.30670696
1948,11,24,0.3222259
1948,11,25,0.33490616
1948,11,26,0.32590836
1948,11,27,0.33480197
1948,11,28,0.29362211
1948,11,29,0.26832426
1948,11,30,0.2577652
1948,12,1,0.24051689
1948,12,2,0.25010115
1948,12,3,0.26387781
1948,12,4,0.27220219
1948,12,5,0.32373741
1948,12,6,0.32068494
1948,12,7,0.30304757
1948,12,8,0.28890976
1948,12,9,0.28306147
1948,12,10,0.25869015
1948,12,11,0.2308577
1948,12,12,0.26665172
1948,12,13,0.27699468
1948,12,14,0.28233436
1948,12,15,0.26781487
1948,12,16,0.31422037
1948,12,17,0.31914455
1948,12,18,0.30271196
1948,12,19,0.27826247
1948,12,20,0.2202237
1948,12,21,0.22737262
1948,12,22,0.27779683
1948,12,23,0.3164331
1948,12,24,0.30989674
1948,12,25,0.30072063
1948,12,26,0.30214584
