Year,Month,Day,WinterYear,MapClass
1900,1,1,1900,3
1900,1,2,1900,32
1900,1,3,1900,8
1900,1,4,1900,32
1900,1,5,1900,7
1900,1,6,1900,17
1900,1,7,1900,17
1900,1,8,1900,22
1900,1,9,1900,22
1900,1,10,1900,6
1900,1,11,1900,12
1900,1,12,1900,12
1900,1,13,1900,12
1900,1,14,1900,17
1900,1,15,1900,17
1900,1,16,1900,27
1900,1,17,1900,18
1900,1,18,1900,18
1900,1,19,1900,17
1900,1,20,1900,22
1900,1,21,1900,2
1900,1,22,1900,2
1900,1,23,1900,3
1900,1,24,1900,32
1900,1,25,1900,8
1900,1,26,1900,8
1900,1,27,1900,2
1900,1,28,1900,1
1900,1,29,1900,1
1900,1,30,1900,6
1900,1,31,1900,6
1900,2,1,1900,6
1900,2,2,1900,6
1900,2,3,1900,6
1900,2,4,1900,2
1900,2,5,1900,2
1900,2,6,1900,2
1900,2,7,1900,2
1900,2,8,1900,1
1900,2,9,1900,14
1900,2,10,1900,14
1900,2,11,1900,12
1900,2,12,1900,32
1900,2,13,1900,32
1900,2,14,1900,32
1900,2,15,1900,12
1900,2,16,1900,6
1900,2,17,1900,6
1900,2,18,1900,31
1900,2,19,1900,31
1900,2,20,1900,2
1900,2,21,1900,2
1900,2,22,1900,16
1900,2,23,1900,33
1900,2,24,1900,31
1900,2,25,1900,31
1900,2,26,1900,31
1900,2,27,1900,21
1900,2,28,1900,27
1900,12,1,1901,17
1900,12,2,1901,21
1900,12,3,1901,28
1900,12,4,1901,28
1900,12,5,1901,16
1900,12,6,1901,21
1900,12,7,1901,17
1900,12,8,1901,16
1900,12,9,1901,16
1900,12,10,1901,16
1900,12,11,1901,16
1900,12,12,1901,16
1900,12,13,1901,26
1900,12,14,1901,23
1900,12,15,1901,23
1900,12,16,1901,24
1900,12,17,1901,24
1900,12,18,1901,24
1900,12,19,1901,24
1900,12,20,1901,24
1900,12,21,1901,3
1900,12,22,1901,35
1900,12,23,1901,30
1900,12,24,1901,30
1900,12,25,1901,35
1900,12,26,1901,35
1900,12,27,1901,32
1900,12,28,1901,17
1900,12,29,1901,31
1900,12,30,1901,2
1900,12,31,1901,2
1901,1,1,1901,2
1901,1,2,1901,2
1901,1,3,1901,2
1901,1,4,1901,2
1901,1,5,1901,2
1901,1,6,1901,2
1901,1,7,1901,2
1901,1,8,1901,1
1901,1,9,1901,1
1901,1,10,1901,8
1901,1,11,1901,8
1901,1,12,1901,8
1901,1,13,1901,26
1901,1,14,1901,2
1901,1,15,1901,2
1901,1,16,1901,8
1901,1,17,1901,12
1901,1,18,1901,6
1901,1,19,1901,31
1901,1,20,1901,2
1901,1,21,1901,2
1901,1,22,1901,2
1901,1,23,1901,23
1901,1,24,1901,16
1901,1,25,1901,31
1901,1,26,1901,26
1901,1,27,1901,31
1901,1,28,1901,31
1901,1,29,1901,2
1901,1,30,1901,1
1901,1,31,1901,12
1901,2,1,1901,12
1901,2,2,1901,1
1901,2,3,1901,8
1901,2,4,1901,8
1901,2,5,1901,1
1901,2,6,1901,1
1901,2,7,1901,2
1901,2,8,1901,2
1901,2,9,1901,1
1901,2,10,1901,30
1901,2,11,1901,30
1901,2,12,1901,3
1901,2,13,1901,26
1901,2,14,1901,33
1901,2,15,1901,33
1901,2,16,1901,26
1901,2,17,1901,26
1901,2,18,1901,16
1901,2,19,1901,16
1901,2,20,1901,31
1901,2,21,1901,31
1901,2,22,1901,31
1901,2,23,1901,12
1901,2,24,1901,12
1901,2,25,1901,12
1901,2,26,1901,31
1901,2,27,1901,16
1901,2,28,1901,21
1901,12,1,1902,22
1901,12,2,1902,16
1901,12,3,1902,16
1901,12,4,1902,34
1901,12,5,1902,8
1901,12,6,1902,15
1901,12,7,1902,15
1901,12,8,1902,15
1901,12,9,1902,15
1901,12,10,1902,15
1901,12,11,1902,29
1901,12,12,1902,5
1901,12,13,1902,5
1901,12,14,1902,9
1901,12,15,1902,14
1901,12,16,1902,8
1901,12,17,1902,12
1901,12,18,1902,12
1901,12,19,1902,12
1901,12,20,1902,12
1901,12,21,1902,11
1901,12,22,1902,6
1901,12,23,1902,6
1901,12,24,1902,12
1901,12,25,1902,6
1901,12,26,1902,6
1901,12,27,1902,2
1901,12,28,1902,2
1901,12,29,1902,8
1901,12,30,1902,16
1901,12,31,1902,16
1902,1,1,1902,2
1902,1,2,1902,2
1902,1,3,1902,2
1902,1,4,1902,2
1902,1,5,1902,23
1902,1,6,1902,29
1902,1,7,1902,29
1902,1,8,1902,9
1902,1,9,1902,8
1902,1,10,1902,8
1902,1,11,1902,16
1902,1,12,1902,16
1902,1,13,1902,26
1902,1,14,1902,26
1902,1,15,1902,8
1902,1,16,1902,8
1902,1,17,1902,2
1902,1,18,1902,1
1902,1,19,1902,1
1902,1,20,1902,6
1902,1,21,1902,2
1902,1,22,1902,16
1902,1,23,1902,2
1902,1,24,1902,2
1902,1,25,1902,2
1902,1,26,1902,1
1902,1,27,1902,1
1902,1,28,1902,32
1902,1,29,1902,32
1902,1,30,1902,32
1902,1,31,1902,32
1902,2,1,1902,8
1902,2,2,1902,32
1902,2,3,1902,33
1902,2,4,1902,35
1902,2,5,1902,35
1902,2,6,1902,35
1902,2,7,1902,33
1902,2,8,1902,33
1902,2,9,1902,33
1902,2,10,1902,33
1902,2,11,1902,33
1902,2,12,1902,33
1902,2,13,1902,33
1902,2,14,1902,35
1902,2,15,1902,35
1902,2,16,1902,35
1902,2,17,1902,35
1902,2,18,1902,26
1902,2,19,1902,26
1902,2,20,1902,27
1902,2,21,1902,30
1902,2,22,1902,30
1902,2,23,1902,33
1902,2,24,1902,35
1902,2,25,1902,30
1902,2,26,1902,30
1902,2,27,1902,30
1902,2,28,1902,30
1902,12,1,1903,29
1902,12,2,1903,30
1902,12,3,1903,5
1902,12,4,1903,9
1902,12,5,1903,8
1902,12,6,1903,8
1902,12,7,1903,23
1902,12,8,1903,22
1902,12,9,1903,2
1902,12,10,1903,2
1902,12,11,1903,23
1902,12,12,1903,23
1902,12,13,1903,7
1902,12,14,1903,17
1902,12,15,1903,28
1902,12,16,1903,28
1902,12,17,1903,17
1902,12,18,1903,22
1902,12,19,1903,22
1902,12,20,1903,32
1902,12,21,1903,32
1902,12,22,1903,24
1902,12,23,1903,29
1902,12,24,1903,34
1902,12,25,1903,34
1902,12,26,1903,29
1902,12,27,1903,25
1902,12,28,1903,25
1902,12,29,1903,20
1902,12,30,1903,19
1902,12,31,1903,24
1903,1,1,1903,24
1903,1,2,1903,18
1903,1,3,1903,8
1903,1,4,1903,12
1903,1,5,1903,12
1903,1,6,1903,12
1903,1,7,1903,31
1903,1,8,1903,31
1903,1,9,1903,31
1903,1,10,1903,31
1903,1,11,1903,6
1903,1,12,1903,6
1903,1,13,1903,6
1903,1,14,1903,31
1903,1,15,1903,22
1903,1,16,1903,22
1903,1,17,1903,2
1903,1,18,1903,2
1903,1,19,1903,26
1903,1,20,1903,16
1903,1,21,1903,23
1903,1,22,1903,23
1903,1,23,1903,23
1903,1,24,1903,3
1903,1,25,1903,29
1903,1,26,1903,30
1903,1,27,1903,30
1903,1,28,1903,30
1903,1,29,1903,30
1903,1,30,1903,9
1903,1,31,1903,35
1903,2,1,1903,30
1903,2,2,1903,30
1903,2,3,1903,30
1903,2,4,1903,30
1903,2,5,1903,8
1903,2,6,1903,2
1903,2,7,1903,2
1903,2,8,1903,2
1903,2,9,1903,26
1903,2,10,1903,3
1903,2,11,1903,3
1903,2,12,1903,3
1903,2,13,1903,3
1903,2,14,1903,3
1903,2,15,1903,32
1903,2,16,1903,1
1903,2,17,1903,6
1903,2,18,1903,6
1903,2,19,1903,31
1903,2,20,1903,31
1903,2,21,1903,22
1903,2,22,1903,22
1903,2,23,1903,22
1903,2,24,1903,27
1903,2,25,1903,27
1903,2,26,1903,27
1903,2,27,1903,18
1903,2,28,1903,14
1903,12,1,1904,34
1903,12,2,1904,14
1903,12,3,1904,14
1903,12,4,1904,18
1903,12,5,1904,18
1903,12,6,1904,17
1903,12,7,1904,32
1903,12,8,1904,12
1903,12,9,1904,12
1903,12,10,1904,12
1903,12,11,1904,6
1903,12,12,1904,6
1903,12,13,1904,8
1903,12,14,1904,22
1903,12,15,1904,22
1903,12,16,1904,26
1903,12,17,1904,3
1903,12,18,1904,3
1903,12,19,1904,32
1903,12,20,1904,29
1903,12,21,1904,8
1903,12,22,1904,26
1903,12,23,1904,26
1903,12,24,1904,32
1903,12,25,1904,32
1903,12,26,1904,21
1903,12,27,1904,31
1903,12,28,1904,31
1903,12,29,1904,31
1903,12,30,1904,26
1903,12,31,1904,26
1904,1,1,1904,26
1904,1,2,1904,31
1904,1,3,1904,31
1904,1,4,1904,31
1904,1,5,1904,26
1904,1,6,1904,32
1904,1,7,1904,12
1904,1,8,1904,16
1904,1,9,1904,26
1904,1,10,1904,26
1904,1,11,1904,35
1904,1,12,1904,35
1904,1,13,1904,34
1904,1,14,1904,16
1904,1,15,1904,31
1904,1,16,1904,31
1904,1,17,1904,31
1904,1,18,1904,26
1904,1,19,1904,26
1904,1,20,1904,3
1904,1,21,1904,3
1904,1,22,1904,32
1904,1,23,1904,14
1904,1,24,1904,8
1904,1,25,1904,32
1904,1,26,1904,12
1904,1,27,1904,12
1904,1,28,1904,12
1904,1,29,1904,12
1904,1,30,1904,12
1904,1,31,1904,12
1904,2,1,1904,6
1904,2,2,1904,31
1904,2,3,1904,2
1904,2,4,1904,35
1904,2,5,1904,35
1904,2,6,1904,8
1904,2,7,1904,8
1904,2,8,1904,35
1904,2,9,1904,32
1904,2,10,1904,32
1904,2,11,1904,23
1904,2,12,1904,2
1904,2,13,1904,35
1904,2,14,1904,32
1904,2,15,1904,12
1904,2,16,1904,31
1904,2,17,1904,26
1904,2,18,1904,32
1904,2,19,1904,33
1904,2,20,1904,35
1904,2,21,1904,29
1904,2,22,1904,29
1904,2,23,1904,8
1904,2,24,1904,23
1904,2,25,1904,26
1904,2,26,1904,26
1904,2,27,1904,4
1904,2,28,1904,5
1904,2,29,1904,13
1904,12,1,1905,23
1904,12,2,1905,23
1904,12,3,1905,22
1904,12,4,1905,22
1904,12,5,1905,22
1904,12,6,1905,22
1904,12,7,1905,31
1904,12,8,1905,31
1904,12,9,1905,31
1904,12,10,1905,6
1904,12,11,1905,31
1904,12,12,1905,31
1904,12,13,1905,2
1904,12,14,1905,2
1904,12,15,1905,32
1904,12,16,1905,12
1904,12,17,1905,12
1904,12,18,1905,12
1904,12,19,1905,6
1904,12,20,1905,6
1904,12,21,1905,31
1904,12,22,1905,31
1904,12,23,1905,22
1904,12,24,1905,22
1904,12,25,1905,3
1904,12,26,1905,32
1904,12,27,1905,8
1904,12,28,1905,8
