Year,Month,Day,WinterYear,MapClass
1948,1,1,1948,30
1948,1,2,1948,34
1948,1,3,1948,29
1948,1,4,1948,34
1948,1,5,1948,34
1948,1,6,1948,34
1948,1,7,1948,34
1948,1,8,1948,29
1948,1,9,1948,23
1948,1,10,1948,26
1948,1,11,1948,26
1948,1,12,1948,8
1948,1,13,1948,12
1948,1,14,1948,11
1948,1,15,1948,11
1948,1,16,1948,12
1948,1,17,1948,12
1948,1,18,1948,12
1948,1,19,1948,12
1948,1,20,1948,12
1948,1,21,1948,12
1948,1,22,1948,11
1948,1,23,1948,11
1948,1,24,1948,12
1948,1,25,1948,12
1948,1,26,1948,12
1948,1,27,1948,32
1948,1,28,1948,22
1948,1,29,1948,32
1948,1,30,1948,32
1948,1,31,1948,32
1948,2,1,1948,30
1948,2,2,1948,2
1948,2,3,1948,2
1948,2,4,1948,2
1948,2,5,1948,4
1948,2,6,1948,4
1948,2,7,1948,2
1948,2,8,1948,2
1948,2,9,1948,2
1948,2,10,1948,2
1948,2,11,1948,18
1948,2,12,1948,18
1948,2,13,1948,18
1948,2,14,1948,7
1948,2,15,1948,22
1948,2,16,1948,29
1948,2,17,1948,23
1948,2,18,1948,23
1948,2,19,1948,23
1948,2,20,1948,7
1948,2,21,1948,23
1948,2,22,1948,23
1948,2,23,1948,30
1948,2,24,1948,25
1948,2,25,1948,18
1948,2,26,1948,23
1948,2,27,1948,3
1948,2,28,1948,3
1948,2,29,1948,3
1948,12,1,1949,15
1948,12,2,1949,15
1948,12,3,1949,10
1948,12,4,1949,10
1948,12,5,1949,20
1948,12,6,1949,9
1948,12,7,1949,9
1948,12,8,1949,8
1948,12,9,1949,8
1948,12,10,1949,8
1948,12,11,1949,9
1948,12,12,1949,9
1948,12,13,1949,29
1948,12,14,1949,3
1948,12,15,1949,10
1948,12,16,1949,10
1948,12,17,1949,5
1948,12,18,1949,8
1948,12,19,1949,8
1948,12,20,1949,2
1948,12,21,1949,2
1948,12,22,1949,4
1948,12,23,1949,3
1948,12,24,1949,3
1948,12,25,1949,3
1948,12,26,1949,26
1948,12,27,1949,3
1948,12,28,1949,3
1948,12,29,1949,15
1948,12,30,1949,15
1948,12,31,1949,34
1949,1,1,1949,35
1949,1,2,1949,30
1949,1,3,1949,30
1949,1,4,1949,20
1949,1,5,1949,14
1949,1,6,1949,14
1949,1,7,1949,23
1949,1,8,1949,4
1949,1,9,1949,10
1949,1,10,1949,10
1949,1,11,1949,18
1949,1,12,1949,18
1949,1,13,1949,22
1949,1,14,1949,3
1949,1,15,1949,18
1949,1,16,1949,14
1949,1,17,1949,18
1949,1,18,1949,5
1949,1,19,1949,5
1949,1,20,1949,5
1949,1,21,1949,5
1949,1,22,1949,10
1949,1,23,1949,10
1949,1,24,1949,5
1949,1,25,1949,18
1949,1,26,1949,18
1949,1,27,1949,18
1949,1,28,1949,13
1949,1,29,1949,12
1949,1,30,1949,1
1949,1,31,1949,1
1949,2,1,1949,1
1949,2,2,1949,2
1949,2,3,1949,4
1949,2,4,1949,4
1949,2,5,1949,1
1949,2,6,1949,1
1949,2,7,1949,9
1949,2,8,1949,4
1949,2,9,1949,1
1949,2,10,1949,4
1949,2,11,1949,4
1949,2,12,1949,4
1949,2,13,1949,5
1949,2,14,1949,5
1949,2,15,1949,5
1949,2,16,1949,7
1949,2,17,1949,23
1949,2,18,1949,29
1949,2,19,1949,5
1949,2,20,1949,10
1949,2,21,1949,10
1949,2,22,1949,24
1949,2,23,1949,24
1949,2,24,1949,24
1949,2,25,1949,18
1949,2,26,1949,25
1949,2,27,1949,32
1949,2,28,1949,33
1949,12,1,1950,16
1949,12,2,1950,34
1949,12,3,1950,24
1949,12,4,1950,15
1949,12,5,1950,34
1949,12,6,1950,26
1949,12,7,1950,8
1949,12,8,1950,32
1949,12,9,1950,3
1949,12,10,1950,30
1949,12,11,1950,20
1949,12,12,1950,5
1949,12,13,1950,13
1949,12,14,1950,17
1949,12,15,1950,23
1949,12,16,1950,4
1949,12,17,1950,10
1949,12,18,1950,10
1949,12,19,1950,10
1949,12,20,1950,5
1949,12,21,1950,5
1949,12,22,1950,13
1949,12,23,1950,7
1949,12,24,1950,9
1949,12,25,1950,5
1949,12,26,1950,5
1949,12,27,1950,15
1949,12,28,1950,15
1949,12,29,1950,29
1949,12,30,1950,29
1949,12,31,1950,10
1950,1,1,1950,10
1950,1,2,1950,10
1950,1,3,1950,5
1950,1,4,1950,5
1950,1,5,1950,5
1950,1,6,1950,5
1950,1,7,1950,4
1950,1,8,1950,3
1950,1,9,1950,4
1950,1,10,1950,4
1950,1,11,1950,4
1950,1,12,1950,5
1950,1,13,1950,5
1950,1,14,1950,9
1950,1,15,1950,5
1950,1,16,1950,9
1950,1,17,1950,4
1950,1,18,1950,7
1950,1,19,1950,7
1950,1,20,1950,23
1950,1,21,1950,23
1950,1,22,1950,23
1950,1,23,1950,4
1950,1,24,1950,5
1950,1,25,1950,5
1950,1,26,1950,5
1950,1,27,1950,7
1950,1,28,1950,4
1950,1,29,1950,9
1950,1,30,1950,4
1950,1,31,1950,5
1950,2,1,1950,5
1950,2,2,1950,7
1950,2,3,1950,23
1950,2,4,1950,23
1950,2,5,1950,3
1950,2,6,1950,3
1950,2,7,1950,3
1950,2,8,1950,29
1950,2,9,1950,15
1950,2,10,1950,15
1950,2,11,1950,15
1950,2,12,1950,18
1950,2,13,1950,19
1950,2,14,1950,19
1950,2,15,1950,19
1950,2,16,1950,34
1950,2,17,1950,34
1950,2,18,1950,28
1950,2,19,1950,27
1950,2,20,1950,26
1950,2,21,1950,26
1950,2,22,1950,32
1950,2,23,1950,6
1950,2,24,1950,6
1950,2,25,1950,22
1950,2,26,1950,26
1950,2,27,1950,26
1950,2,28,1950,26
1950,12,1,1951,29
1950,12,2,1951,9
1950,12,3,1951,15
1950,12,4,1951,15
1950,12,5,1951,14
1950,12,6,1951,19
1950,12,7,1951,20
1950,12,8,1951,20
1950,12,9,1951,15
1950,12,10,1951,28
1950,12,11,1951,34
1950,12,12,1951,34
1950,12,13,1951,16
1950,12,14,1951,16
1950,12,15,1951,34
1950,12,16,1951,16
1950,12,17,1951,28
1950,12,18,1951,34
1950,12,19,1951,33
1950,12,20,1951,16
1950,12,21,1951,27
1950,12,22,1951,27
1950,12,23,1951,28
1950,12,24,1951,21
1950,12,25,1951,16
1950,12,26,1951,22
1950,12,27,1951,22
1950,12,28,1951,23
1950,12,29,1951,8
1950,12,30,1951,15
1950,12,31,1951,8
1951,1,1,1951,18
1951,1,2,1951,5
1951,1,3,1951,9
1951,1,4,1951,9
1951,1,5,1951,7
1951,1,6,1951,17
1951,1,7,1951,17
1951,1,8,1951,16
1951,1,9,1951,2
1951,1,10,1951,3
1951,1,11,1951,30
1951,1,12,1951,30
1951,1,13,1951,25
1951,1,14,1951,15
1951,1,15,1951,8
1951,1,16,1951,2
1951,1,17,1951,4
1951,1,18,1951,4
1951,1,19,1951,9
1951,1,20,1951,5
1951,1,21,1951,15
1951,1,22,1951,23
1951,1,23,1951,8
1951,1,24,1951,15
1951,1,25,1951,16
1951,1,26,1951,16
1951,1,27,1951,2
1951,1,28,1951,1
1951,1,29,1951,7
1951,1,30,1951,1
1951,1,31,1951,1
1951,2,1,1951,8
1951,2,2,1951,8
1951,2,3,1951,23
1951,2,4,1951,15
1951,2,5,1951,8
1951,2,6,1951,8
1951,2,7,1951,16
1951,2,8,1951,16
1951,2,9,1951,22
1951,2,10,1951,23
1951,2,11,1951,23
1951,2,12,1951,13
1951,2,13,1951,13
1951,2,14,1951,19
1951,2,15,1951,19
1951,2,16,1951,25
1951,2,17,1951,20
1951,2,18,1951,20
1951,2,19,1951,20
1951,2,20,1951,20
1951,2,21,1951,20
1951,2,22,1951,25
1951,2,23,1951,25
1951,2,24,1951,25
1951,2,25,1951,25
1951,2,26,1951,30
1951,2,27,1951,30
1951,2,28,1951,30
1951,12,1,1952,10
1951,12,2,1952,10
1951,12,3,1952,20
1951,12,4,1952,20
1951,12,5,1952,20
1951,12,6,1952,20
1951,12,7,1952,20
1951,12,8,1952,20
1951,12,9,1952,18
1951,12,10,1952,17
1951,12,11,1952,11
1951,12,12,1952,11
1951,12,13,1952,31
1951,12,14,1952,6
1951,12,15,1952,6
1951,12,16,1952,6
1951,12,17,1952,6
1951,12,18,1952,1
1951,12,19,1952,1
1951,12,20,1952,1
1951,12,21,1952,9
1951,12,22,1952,7
1951,12,23,1952,7
1951,12,24,1952,4
1951,12,25,1952,4
1951,12,26,1952,23
1951,12,27,1952,22
1951,12,28,1952,2
1951,12,29,1952,4
1951,12,30,1952,9
1951,12,31,1952,5
1952,1,1,1952,5
1952,1,2,1952,18
1952,1,3,1952,18
1952,1,4,1952,3
1952,1,5,1952,3
1952,1,6,1952,3
1952,1,7,1952,29
1952,1,8,1952,30
1952,1,9,1952,29
1952,1,10,1952,29
1952,1,11,1952,29
1952,1,12,1952,10
1952,1,13,1952,4
1952,1,14,1952,10
1952,1,15,1952,10
1952,1,16,1952,10
1952,1,17,1952,10
1952,1,18,1952,4
1952,1,19,1952,4
1952,1,20,1952,9
1952,1,21,1952,4
1952,1,22,1952,9
1952,1,23,1952,9
1952,1,24,1952,7
1952,1,25,1952,4
1952,1,26,1952,5
1952,1,27,1952,13
1952,1,28,1952,17
1952,1,29,1952,16
1952,1,30,1952,16
1952,1,31,1952,29
1952,2,1,1952,24
1952,2,2,1952,15
1952,2,3,1952,8
1952,2,4,1952,15
1952,2,5,1952,12
1952,2,6,1952,16
1952,2,7,1952,16
1952,2,8,1952,31
1952,2,9,1952,22
1952,2,10,1952,22
1952,2,11,1952,26
1952,2,12,1952,35
1952,2,13,1952,32
1952,2,14,1952,32
1952,2,15,1952,32
1952,2,16,1952,30
1952,2,17,1952,30
1952,2,18,1952,30
1952,2,19,1952,30
1952,2,20,1952,30
1952,2,21,1952,30
1952,2,22,1952,30
1952,2,23,1952,30
1952,2,24,1952,32
1952,2,25,1952,32
1952,2,26,1952,34
1952,2,27,1952,35
1952,2,28,1952,2
1952,2,29,1952,2
1952,12,1,1953,29
1952,12,2,1953,30
1952,12,3,1953,20
1952,12,4,1953,20
1952,12,5,1953,20
1952,12,6,1953,29
1952,12,7,1953,29
1952,12,8,1953,20
1952,12,9,1953,20
1952,12,10,1953,15
1952,12,11,1953,15
1952,12,12,1953,34
1952,12,13,1953,33
1952,12,14,1953,33
1952,12,15,1953,27
1952,12,16,1953,27
1952,12,17,1953,3
1952,12,18,1953,3
1952,12,19,1953,3
1952,12,20,1953,30
1952,12,21,1953,25
1952,12,22,1953,20
1952,12,23,1953,14
1952,12,24,1953,14
1952,12,25,1953,14
1952,12,26,1953,32
1952,12,27,1953,35
1952,12,28,1953,35
1952,12,29,1953,35
1952,12,30,1953,3
1952,12,31,1953,3
1953,1,1,1953,8
1953,1,2,1953,28
1953,1,3,1953,16
1953,1,4,1953,16
1953,1,5,1953,16
1953,1,6,1953,2
1953,1,7,1953,4
1953,1,8,1953,29
1953,1,9,1953,15
1953,1,10,1953,19
1953,1,11,1953,34
1953,1,12,1953,23
1953,1,13,1953,23
1953,1,14,1953,10
1953,1,15,1953,20
1953,1,16,1953,13
1953,1,17,1953,18
1953,1,18,1953,15
1953,1,19,1953,23
1953,1,20,1953,23
1953,1,21,1953,23
1953,1,22,1953,24
1953,1,23,1953,28
1953,1,24,1953,28
1953,1,25,1953,34
1953,1,26,1953,29
1953,1,27,1953,29
1953,1,28,1953,8
1953,1,29,1953,16
1953,1,30,1953,23
1953,1,31,1953,17
1953,2,1,1953,23
1953,2,2,1953,23
1953,2,3,1953,23
1953,2,4,1953,34
1953,2,5,1953,8
1953,2,6,1953,15
1953,2,7,1953,15
1953,2,8,1953,15
1953,2,9,1953,32
1953,2,10,1953,25
1953,2,11,1953,32
1953,2,12,1953,32
1953,2,13,1953,12
1953,2,14,1953,8
1953,2,15,1953,8
1953,2,16,1953,8
1953,2,17,1953,2
1953,2,18,1953,2
1953,2,19,1953,32
1953,2,20,1953,18
1953,2,21,1953,14
1953,2,22,1953,17
1953,2,23,1953,18
1953,2,24,1953,18
1953,2,25,1953,32
1953,2,26,1953,12
1953,2,27,1953,6
1953,2,28,1953,2
1953,12,1,1954,19
1953,12,2,1954,20
1953,12,3,1954,20
1953,12,4,1954,20
1953,12,5,1954,5
1953,12,6,1954,15
1953,12,7,1954,9
1953,12,8,1954,5
1953,12,9,1954,13
1953,12,10,1954,15
1953,12,11,1954,13
1953,12,12,1954,13
1953,12,13,1954,13
1953,12,14,1954,28
1953,12,15,1954,16
1953,12,16,1954,11
1953,12,17,1954,21
1953,12,18,1954,21
1953,12,19,1954,26
1953,12,20,1954,23
1953,12,21,1954,8
1953,12,22,1954,14
1953,12,23,1954,17
1953,12,24,1954,22
1953,12,25,1954,17
1953,12,26,1954,17
1953,12,27,1954,12
1953,12,28,1954,7
1953,12,29,1954,7
1953,12,30,1954,7
1953,12,31,1954,22
1954,1,1,1954,2
1954,1,2,1954,4
1954,1,3,1954,29
1954,1,4,1954,15
1954,1,5,1954,15
1954,1,6,1954,34
1954,1,7,1954,34
1954,1,8,1954,26
1954,1,9,1954,32
1954,1,10,1954,17
1954,1,11,1954,12
1954,1,12,1954,32
1954,1,13,1954,32
1954,1,14,1954,4
1954,1,15,1954,4
1954,1,16,1954,4
1954,1,17,1954,2
1954,1,18,1954,4
1954,1,19,1954,4
1954,1,20,1954,5
1954,1,21,1954,5
1954,1,22,1954,23
1954,1,23,1954,4
1954,1,24,1954,10
1954,1,25,1954,10
1954,1,26,1954,10
1954,1,27,1954,10
1954,1,28,1954,29
1954,1,29,1954,26
1954,1,30,1954,21
1954,1,31,1954,21
1954,2,1,1954,21
1954,2,2,1954,21
1954,2,3,1954,21
1954,2,4,1954,21
1954,2,5,1954,21
1954,2,6,1954,21
1954,2,7,1954,21
1954,2,8,1954,21
1954,2,9,1954,21
1954,2,10,1954,26
1954,2,11,1954,2
1954,2,12,1954,2
1954,2,13,1954,29
1954,2,14,1954,29
1954,2,15,1954,10
1954,2,16,1954,10
1954,2,17,1954,10
1954,2,18,1954,20
1954,2,19,1954,20
1954,2,20,1954,20
1954,2,21,1954,15
1954,2,22,1954,15
1954,2,23,1954,28
1954,2,24,1954,28
1954,2,25,1954,34
1954,2,26,1954,8
1954,2,27,1954,8
1954,2,28,1954,14
1954,12,1,1955,3
1954,12,2,1955,26
1954,12,3,1955,26
1954,12,4,1955,26
1954,12,5,1955,27
1954,12,6,1955,34
1954,12,7,1955,34
1954,12,8,1955,34
1954,12,9,1955,34
1954,12,10,1955,34
1954,12,11,1955,25
1954,12,12,1955,24
1954,12,13,1955,24
1954,12,14,1955,15
1954,12,15,1955,34
1954,12,16,1955,32
1954,12,17,1955,14
1954,12,18,1955,28
1954,12,19,1955,21
1954,12,20,1955,21
1954,12,21,1955,21
1954,12,22,1955,27
1954,12,23,1955,26
1954,12,24,1955,29
1954,12,25,1955,29
1954,12,26,1955,10
1954,12,27,1955,18
1954,12,28,1955,13
1954,12,29,1955,15
1954,12,30,1955,15
1954,12,31,1955,9
1955,1,1,1955,9
1955,1,2,1955,10
1955,1,3,1955,10
1955,1,4,1955,25
1955,1,5,1955,25
1955,1,6,1955,25
1955,1,7,1955,32
1955,1,8,1955,32
1955,1,9,1955,32
1955,1,10,1955,30
1955,1,11,1955,32
1955,1,12,1955,32
1955,1,13,1955,26
1955,1,14,1955,35
1955,1,15,1955,35
1955,1,16,1955,2
1955,1,17,1955,35
1955,1,18,1955,30
1955,1,19,1955,30
1955,1,20,1955,35
1955,1,21,1955,32
1955,1,22,1955,12
1955,1,23,1955,12
1955,1,24,1955,12
1955,1,25,1955,12
1955,1,26,1955,11
1955,1,27,1955,11
1955,1,28,1955,31
1955,1,29,1955,31
1955,1,30,1955,31
1955,1,31,1955,26
1955,2,1,1955,2
1955,2,2,1955,32
1955,2,3,1955,32
1955,2,4,1955,25
1955,2,5,1955,30
1955,2,6,1955,14
1955,2,7,1955,8
1955,2,8,1955,8
1955,2,9,1955,8
1955,2,10,1955,8
1955,2,11,1955,12
1955,2,12,1955,16
1955,2,13,1955,26
1955,2,14,1955,27
1955,2,15,1955,16
1955,2,16,1955,34
1955,2,17,1955,15
1955,2,18,1955,20
1955,2,19,1955,20
1955,2,20,1955,20
1955,2,21,1955,14
1955,2,22,1955,14
1955,2,23,1955,5
1955,2,24,1955,9
1955,2,25,1955,4
1955,2,26,1955,4
1955,2,27,1955,4
1955,2,28,1955,4
1955,12,1,1956,29
1955,12,2,1956,5
1955,12,3,1956,5
1955,12,4,1956,18
1955,12,5,1956,8
1955,12,6,1956,8
1955,12,7,1956,8
1955,12,8,1956,8
1955,12,9,1956,34
1955,12,10,1956,33
1955,12,11,1956,27
1955,12,12,1956,34
1955,12,13,1956,8
1955,12,14,1956,14
1955,12,15,1956,28
1955,12,16,1956,2
1955,12,17,1956,1
1955,12,18,1956,1
1955,12,19,1956,23
1955,12,20,1956,26
1955,12,21,1956,26
1955,12,22,1956,26
1955,12,23,1956,29
1955,12,24,1956,29
1955,12,25,1956,29
1955,12,26,1956,29
1955,12,27,1956,35
1955,12,28,1956,25
1955,12,29,1956,25
1955,12,30,1956,27
1955,12,31,1956,27
1956,1,1,1956,26
1956,1,2,1956,24
1956,1,3,1956,15
1956,1,4,1956,34
1956,1,5,1956,29
1956,1,6,1956,34
1956,1,7,1956,25
1956,1,8,1956,25
1956,1,9,1956,25
1956,1,10,1956,25
1956,1,11,1956,25
1956,1,12,1956,25
1956,1,13,1956,25
1956,1,14,1956,25
1956,1,15,1956,33
1956,1,16,1956,35
1956,1,17,1956,35
1956,1,18,1956,25
1956,1,19,1956,14
1956,1,20,1956,14
1956,1,21,1956,30
1956,1,22,1956,30
1956,1,23,1956,35
1956,1,24,1956,35
1956,1,25,1956,35
1956,1,26,1956,35
1956,1,27,1956,35
1956,1,28,1956,30
1956,1,29,1956,5
1956,1,30,1956,4
1956,1,31,1956,8
1956,2,1,1956,18
1956,2,2,1956,18
1956,2,3,1956,17
1956,2,4,1956,18
1956,2,5,1956,18
1956,2,6,1956,18
1956,2,7,1956,18
1956,2,8,1956,18
1956,2,9,1956,18
