Year,Month,Day,Tmin,Tmax
1900,1,1,-5.9593263,1.0303894
1900,1,2,-7.7290406,1.3104187
1900,1,3,-6.7224793,3.5234618
1900,1,4,-4.0028443,6.5105224
1900,1,5,0.41362914,8.1993656
1900,1,6,2.7105041,10.2167
1900,1,7,4.6577392,11.708094
1900,1,8,4.274713,11.94787
1900,1,9,5.5494628,11.448816
1900,1,10,6.1681762,11.042841
1900,1,11,5.9557738,11.475428
1900,1,12,0.43255004,10.234919
1900,1,13,-0.29865113,9.3474369
1900,1,14,2.207788,11.761194
1900,1,15,5.6406798,14.036676
1900,1,16,7.1972899,14.303034
1900,1,17,7.6577697,13.795649
1900,1,18,7.3283019,13.242762
1900,1,19,5.4930663,11.522425
1900,1,20,3.7420287,11.538446
1900,1,21,2.3834167,11.204309
1900,1,22,3.4624267,12.354425
1900,1,23,5.6744933,13.741022
1900,1,24,6.6111083,15.34527
1900,1,25,1.8458191,15.059198
1900,1,26,-3.4511476,6.5302978
1900,1,27,-2.6608338,5.9824767
1900,1,28,-3.8309388,5.7238097
1900,1,29,-9.3505917,1.8133484
1900,1,30,-5.8605714,4.6941466
1900,1,31,-5.9435182,3.7167907
1900,2,1,-9.6655941,0.89302981
1900,2,2,-5.9429078,5.8392272
1900,2,3,-1.6793274,10.30575
1900,2,4,3.1950316,12.115442
1900,2,5,-0.11734619,9.3865299
1900,2,6,3.5218749,10.407038
1900,2,7,7.7201476,15.565699
1900,2,8,8.2108097,17.771051
1900,2,9,-3.5459962,11.146173
1900,2,10,-1.1181091,5.9015136
1900,2,11,0.7855469,8.2718143
1900,2,12,4.0815368,12.508326
1900,2,13,1.344812,12.424585
1900,2,14,-1.0677551,9.2959232
1900,2,15,-0.69428098,9.2025089
1900,2,16,-4.4984193,4.2896361
1900,2,17,-10.273535,0.12441406
1900,2,18,-11.424871,0.12035523
1900,2,19,-7.0237489,5.5978026
1900,2,20,-1.0555786,7.8754516
1900,2,21,2.4314208,9.9545536
1900,2,22,0.45644531,8.5678043
1900,2,23,-0.61423337,9.1545963
1900,2,24,-5.3610902,8.8681889
1900,2,25,-10.004217,1.6593567
1900,2,26,-5.5192933,5.2378478
1900,2,27,-3.6670899,6.9172301
1900,2,28,0.26482543,8.685358
1900,3,1,-3.3808045,7.1729369
1900,3,2,-4.1191773,7.0552306
1900,3,3,-3.8458924,7.6733031
1900,3,4,-0.079748534,10.584894
1900,3,5,4.1303039,12.900415
1900,3,6,6.1312804,15.114405
1900,3,7,1.6169678,12.770655
1900,3,8,1.7552429,11.771662
1900,3,9,2.2370849,13.509485
1900,3,10,2.3175902,13.87298
1900,3,11,2.5274901,15.147699
1900,3,12,2.2582946,15.185877
1900,3,13,4.7156005,14.567804
1900,3,14,1.8189636,12.841578
1900,3,15,-2.8942628,6.3720641
1900,3,16,-7.9684815,2.7906432
1900,3,17,-7.5520997,5.8417907
1900,3,18,-0.85797727,9.3308659
1900,3,19,5.4731994,13.956537
1900,3,20,2.7028441,13.835596
1900,3,21,-3.3323731,9.4782963
1900,3,22,-1.2160095,10.704767
1900,3,23,3.3752074,12.89007
1900,3,24,6.3479247,14.034113
1900,3,25,6.5808043,14.311762
1900,3,26,5.0969481,14.058008
1900,3,27,4.2210326,13.828455
1900,3,28,5.7262206,15.852411
1900,3,29,5.8657165,15.769983
1900,3,30,2.9886107,12.944696
1900,3,31,-1.3351501,10.705896
1900,4,1,-1.4535583,12.527765
1900,4,2,2.4280334,14.406519
1900,4,3,5.0492797,16.694727
1900,4,4,4.6228881,16.277308
1900,4,5,0.34975585,14.342279
1900,4,6,2.6985106,18.287897
1900,4,7,7.1478209,19.667231
1900,4,8,10.206781,20.994959
1900,4,9,10.250208,20.759638
1900,4,10,7.7688231,18.660028
1900,4,11,6.5039306,15.814692
1900,4,12,1.9389588,13.695154
1900,4,13,1.6883179,14.436914
1900,4,14,3.4157043,17.350183
1900,4,15,8.7148075,18.625452
1900,4,16,12.612787,19.760462
1900,4,17,14.642756,20.940973
1900,4,18,12.917505,21.571589
1900,4,19,11.509638,21.623499
1900,4,20,12.044855,21.703699
1900,4,21,11.837,22.483545
1900,4,22,13.633265,24.597956
1900,4,23,15.784418,25.272699
1900,4,24,15.41897,25.146021
1900,4,25,13.699884,24.372461
1900,4,26,12.696955,23.284235
1900,4,27,12.363459,23.774469
1900,4,28,12.278101,23.885859
1900,4,29,13.487757,24.571131
1900,4,30,13.547785,24.221033
1900,5,1,11.350245,22.850946
1900,5,2,10.623102,23.282465
1900,5,3,9.4396915,22.565546
1900,5,4,5.2676024,20.752832
1900,5,5,9.6305485,22.581293
1900,5,6,13.476007,24.389002
1900,5,7,16.059046,25.156366
1900,5,8,17.417017,25.800684
1900,5,9,14.276911,25.13299
1900,5,10,6.6384215,21.876062
1900,5,11,7.396112,22.645655
1900,5,12,11.455896,25.709314
1900,5,13,14.011286,27.148767
1900,5,14,15.147608,28.047327
1900,5,15,16.042475,28.297815
1900,5,16,16.787592,27.932947
1900,5,17,16.738703,27.121271
1900,5,18,16.30517,26.489313
1900,5,19,14.823145,25.115839
1900,5,20,11.357996,22.886988
1900,5,21,9.3771305,22.857355
1900,5,22,11.018244,24.165583
1900,5,23,13.393946,24.691919
1900,5,24,14.100367,25.705347
1900,5,25,13.700739,26.603235
1900,5,26,14.297907,27.040186
1900,5,27,14.085688,27.588037
1900,5,28,15.188257,27.766321
1900,5,29,16.500971,27.397699
1900,5,30,17.40066,26.698633
1900,5,31,17.708277,26.219507
1900,6,1,17.971857,26.809534
1900,6,2,18.230982,27.258234
1900,6,3,16.367334,27.255579
1900,6,4,15.967951,27.266687
1900,6,5,16.913874,27.793573
1900,6,6,18.485437,28.379572
1900,6,7,19.482813,29.273676
1900,6,8,19.445642,30.266535
1900,6,9,18.843622,30.771906
1900,6,10,18.586359,31.051233
1900,6,11,19.421167,30.497217
1900,6,12,18.563318,29.709986
1900,6,13,19.295557,29.264338
1900,6,14,19.316919,28.997919
1900,6,15,18.745691,28.602076
1900,6,16,18.662134,28.795099
1900,6,17,18.770197,29.536676
1900,6,18,18.063257,29.117731
1900,6,19,16.028345,27.672205
1900,6,20,14.880335,27.183466
1900,6,21,15.991327,27.014887
1900,6,22,17.623987,28.591822
1900,6,23,18.533869,28.871973
1900,6,24,19.302118,28.724024
1900,6,25,20.196039,29.539972
1900,6,26,20.672937,30.241846
1900,6,27,21.470087,30.887598
1900,6,28,22.019037,31.656702
1900,6,29,21.644342,32.245384
1900,6,30,20.994928,32.035759
1900,7,1,20.396173,31.776545
1900,7,2,21.172663,32.109825
1900,7,3,21.913721,31.930262
1900,7,4,21.79986,31.815821
1900,7,5,21.543848,32.185265
1900,7,6,21.792048,32.986778
1900,7,7,22.160181,33.465202
1900,7,8,21.703882,33.393333
1900,7,9,18.967676,31.675653
1900,7,10,18.942133,32.846397
1900,7,11,20.735956,33.27401
1900,7,12,20.748194,32.914879
1900,7,13,20.259058,32.000816
1900,7,14,20.0888,31.400385
1900,7,15,20.658869,30.741999
1900,7,16,20.98385,30.394251
1900,7,17,21.126673,30.757074
1900,7,18,20.363611,31.174677
1900,7,19,20.794031,31.356012
1900,7,20,20.944239,31.25979
1900,7,21,20.442377,31.552607
1900,7,22,20.472834,32.12307
1900,7,23,20.804926,32.218864
1900,7,24,20.819208,31.957697
1900,7,25,21.062372,31.371485
1900,7,26,20.178888,30.823511
1900,7,27,19.435663,31.056971
1900,7,28,19.500116,31.446955
1900,7,29,20.097101,31.322901
1900,7,30,19.829309,32.017479
1900,7,31,19.106684,33.112083
1900,8,1,19.520899,33.470543
1900,8,2,19.407099,33.96505
1900,8,3,20.278559,34.386375
1900,8,4,20.714869,34.068657
1900,8,5,20.560907,33.409874
1900,8,6,20.38769,32.603203
1900,8,7,20.369745,32.261925
1900,8,8,20.15127,33.028343
1900,8,9,20.497278,34.055962
1900,8,10,20.699579,34.740044
1900,8,11,21.03335,34.718864
1900,8,12,21.389856,34.770042
1900,8,13,22.119959,34.789177
1900,8,14,22.065699,35.107964
1900,8,15,22.116602,34.922173
1900,8,16,21.869898,34.554649
1900,8,17,21.750666,34.550652
1900,8,18,21.73562,34.871361
1900,8,19,21.713892,34.816856
1900,8,20,21.860682,35.101158
1900,8,21,22.241053,35.689903
1900,8,22,22.221338,36.084953
1900,8,23,22.325891,36.192223
1900,8,24,22.403894,35.929039
1900,8,25,22.553125,35.119438
1900,8,26,21.827631,34.266472
1900,8,27,21.173304,34.193901
1900,8,28,21.129633,34.289421
