Year,Month,Day,Tmin,Tmax
1900,1,1,0.095178224,5.9095702
1900,1,2,-3.8652711,2.5373778
1900,1,3,-4.1994996,2.2166076
1900,1,4,-2.8213258,6.4453368
1900,1,5,4.3967528,8.5696964
1900,1,6,2.6290221,8.0475407
1900,1,7,4.5492492,10.139612
1900,1,8,4.4665465,8.4116459
1900,1,9,5.1999145,10.3323
1900,1,10,6.8973937,9.2461185
1900,1,11,5.5345397,8.0432377
1900,1,12,0.9463135,6.3640685
1900,1,13,-1.2703003,6.556726
1900,1,14,1.3261963,9.768549
1900,1,15,2.9464965,8.0812321
1900,1,16,1.1119934,6.6494079
1900,1,17,0.19902954,11.184015
1900,1,18,6.9817138,10.412226
1900,1,19,4.2836242,7.7067809
1900,1,20,1.4205872,8.6493778
1900,1,21,0.054437257,7.3894591
1900,1,22,3.2759948,8.5180302
1900,1,23,4.0877013,9.714838
1900,1,24,6.0078673,13.1383
1900,1,25,5.8034606,10.810602
1900,1,26,-1.7858337,6.7733092
1900,1,27,1.1877381,5.2126098
1900,1,28,3.1293578,5.8621459
1900,1,29,-2.6796937,4.3611999
1900,1,30,-2.4417787,5.8837829
1900,1,31,-1.4697326,3.7310424
1900,2,1,-5.9506898,1.3252503
1900,2,2,-2.1755128,4.2410216
1900,2,3,-1.9099792,6.5680785
1900,2,4,3.2311645,5.2220397
1900,2,5,-1.9175476,3.3557982
1900,2,6,1.1098572,6.7962279
1900,2,7,0.89714968,9.5951481
1900,2,8,6.2201781,10.602808
1900,2,9,0.77395022,8.8591557
1900,2,10,-0.41834107,4.0346618
1900,2,11,-0.82117307,6.2105346
1900,2,12,0.17293701,9.481348
1900,2,13,3.1658263,6.9406066
1900,2,14,-1.6295227,3.956903
1900,2,15,-0.55560911,2.354425
1900,2,16,-5.036078,0.46080932
1900,2,17,-9.4437618,-2.0320802
1900,2,18,-12.099279,-4.4383302
1900,2,19,-6.8787904,1.7371155
1900,2,20,-2.2645631,6.3755126
1900,2,21,1.6644531,9.0561771
1900,2,22,-1.0929626,6.5454955
1900,2,23,-2.3359742,6.8536925
1900,2,24,-2.5036988,4.3360534
1900,2,25,-8.8645382,0.16735229
1900,2,26,-5.2854371,4.0192504
1900,2,27,-5.4890504,5.2791686
1900,2,28,-2.0076356,7.9046264
1900,3,1,1.6717469,7.3807006
1900,3,2,-1.9554199,8.5187626
1900,3,3,-1.7415222,7.7683043
1900,3,4,0.95272219,11.925318
1900,3,5,4.5494933,11.169611
1900,3,6,7.6967406,14.025232
1900,3,7,3.4321532,11.357416
1900,3,8,1.7987915,13.283625
1900,3,9,4.5355468,15.969324
1900,3,10,5.4781127,15.07284
1900,3,11,4.7775207,14.868219
1900,3,12,5.0320373,11.995722
1900,3,13,4.448297,15.653315
1900,3,14,4.8960814,12.445063
1900,3,15,3.3490233,8.851099
1900,3,16,-2.863379,4.4856811
1900,3,17,-3.2812257,5.7871642
1900,3,18,0.31649169,9.5304813
1900,3,19,5.5389647,13.375544
1900,3,20,5.0800719,11.484705
1900,3,21,0.24517211,8.8828068
1900,3,22,1.1856629,12.203882
1900,3,23,5.0382628,12.762537
1900,3,24,7.2249389,10.849939
1900,3,25,6.6960998,13.505976
1900,3,26,7.9034972,12.249048
1900,3,27,3.2690063,11.629084
1900,3,28,3.6223998,15.322504
1900,3,29,6.9937377,15.190119
1900,3,30,7.3114257,12.295679
1900,3,31,2.2571044,10.475275
1900,4,1,0.97783816,13.061884
1900,4,2,5.9331908,16.266291
1900,4,3,7.3859496,14.820063
1900,4,4,8.2923222,13.176966
1900,4,5,2.9319701,11.820581
1900,4,6,3.1160827,15.387018
1900,4,7,7.114862,17.742762
1900,4,8,10.610529,17.678522
1900,4,9,11.253626,17.06933
1900,4,10,9.4939518,17.434839
1900,4,11,11.600458,14.970575
1900,4,12,6.6882873,12.294153
1900,4,13,5.2577147,16.009058
1900,4,14,7.4335265,17.388025
1900,4,15,11.316492,17.852564
1900,4,16,14.211908,19.281977
1900,4,17,16.397058,20.879786
1900,4,18,14.742579,19.140406
1900,4,19,11.673365,18.645899
1900,4,20,10.891687,19.277063
1900,4,21,11.440821,21.25561
1900,4,22,14.721094,21.417383
1900,4,23,17.320337,21.583277
1900,4,24,16.692225,20.786554
1900,4,25,14.925226,21.312342
1900,4,26,14.38711,21.814325
1900,4,27,15.533991,22.007929
1900,4,28,16.114649,21.762506
1900,4,29,16.049189,22.961237
1900,4,30,17.443811,22.536005
1900,5,1,14.805262,20.954859
1900,5,2,12.985132,18.040705
1900,5,3,10.662622,16.549158
1900,5,4,7.7235045,17.515436
1900,5,5,10.237696,21.500238
1900,5,6,15.734186,20.601374
1900,5,7,16.665247,21.44375
1900,5,8,15.776117,19.914515
1900,5,9,12.558466,18.132227
1900,5,10,11.438166,18.057734
1900,5,11,10.968256,19.837091
1900,5,12,13.101587,21.636103
1900,5,13,14.755091,23.254023
1900,5,14,16.233332,23.62295
1900,5,15,16.760859,24.111994
1900,5,16,17.272089,23.956354
1900,5,17,17.627222,23.108271
1900,5,18,17.073725,22.241205
1900,5,19,15.949823,21.938654
1900,5,20,15.238367,21.117517
