Year,Month,Day,Tmin,Tmax
1940,1,1,-5.310089,-0.013522412
1940,1,2,-8.9261188,-3.1141941
1940,1,3,-8.6896114,-0.77462415
1940,1,4,-3.2378248,1.7699693
1940,1,5,-4.8520985,0.77784437
1940,1,6,-8.7138027,-2.3126984
1940,1,7,-2.5196005,1.9155478
1940,1,8,-2.368736,2.2571454
1940,1,9,-5.2392641,1.418594
1940,1,10,-1.4368681,5.7163191
1940,1,11,4.8747009,9.1050077
1940,1,12,5.1913445,8.1571433
1940,1,13,4.0904656,8.7115323
1940,1,14,5.9570233,9.5545126
1940,1,15,-3.453044,2.9925705
1940,1,16,-5.0894001,4.7527297
1940,1,17,-2.7883287,3.2158935
1940,1,18,-4.4178643,0.99404237
1940,1,19,-12.572219,-6.4079817
1940,1,20,-9.7851205,-2.958034
1940,1,21,-8.9213846,-2.6566386
1940,1,22,-7.8899008,-0.75677493
1940,1,23,-4.3512435,-1.3861157
1940,1,24,-8.0625069,-2.3492604
1940,1,25,-13.258775,-6.845944
1940,1,26,-14.4863,-6.8758643
1940,1,27,-15.086102,-6.4683467
1940,1,28,-12.118216,-0.59149126
1940,1,29,-4.8425287,2.9927397
1940,1,30,-3.3395471,2.352885
1940,1,31,-6.0501556,3.1176576
1940,2,1,-4.4419484,6.5518763
1940,2,2,-1.7707889,2.9979346
1940,2,3,-7.2523863,0.53759931
1940,2,4,-0.95840308,5.8450335
1940,2,5,3.4960669,7.3221999
1940,2,6,4.9650401,6.2942646
1940,2,7,-0.72378312,5.6628753
1940,2,8,1.3209767,10.096877
1940,2,9,4.4624121,7.9322898
1940,2,10,2.5676983,5.7211829
1940,2,11,-1.2022247,9.4102415
1940,2,12,4.0119429,10.145387
1940,2,13,3.830459,8.063383
1940,2,14,-2.7461634,4.6661491
1940,2,15,-0.97446479,6.2060552
1940,2,16,2.1664139,6.9187825
1940,2,17,3.3339522,6.1824874
1940,2,18,4.412727,6.1545754
1940,2,19,2.732037,5.6411603
1940,2,20,1.3949819,4.738362
1940,2,21,-1.1539397,2.7297163
1940,2,22,-1.8391633,3.7094568
1940,2,23,-1.1107183,4.0822612
1940,2,24,3.0026301,6.4622693
1940,2,25,-2.5517553,4.4659202
1940,2,26,-3.3513136,8.1460856
1940,2,27,6.6717322,11.638919
1940,2,28,4.8783774,12.497576
1940,2,29,3.7633041,12.378978
1940,3,1,7.6817716,16.63508
1940,3,2,11.903631,15.909624
1940,3,3,8.9520537,14.343736
1940,3,4,4.8131277,10.581519
1940,3,5,2.9308667,9.6065064
1940,3,6,2.1702403,11.773383
1940,3,7,3.3273065,9.982276
1940,3,8,1.7992967,7.8757592
1940,3,9,-0.24722566,9.5338102
1940,3,10,3.7052027,12.008863
1940,3,11,5.6031677,11.20509
1940,3,12,8.7973701,12.96024
1940,3,13,7.973838,12.495921
1940,3,14,2.1433569,8.2870322
1940,3,15,-1.1406128,8.8887807
1940,3,16,3.3502629,13.410435
1940,3,17,5.6893712,17.830195
1940,3,18,10.215745,16.670006
1940,3,19,6.1267447,14.510418
1940,3,20,5.9358705,13.394134
1940,3,21,4.141761,13.727636
1940,3,22,3.6956723,12.080078
1940,3,23,2.3288863,8.4556887
1940,3,24,2.0913543,7.2910536
1940,3,25,-1.9873824,5.2191752
1940,3,26,0.16696024,8.5184107
1940,3,27,6.9898982,14.481367
1940,3,28,12.137408,16.75027
1940,3,29,13.716489,18.94025
1940,3,30,12.729322,18.268304
1940,3,31,10.167889,22.019295
1940,4,1,11.696841,20.693155
1940,4,2,13.115928,22.651323
1940,4,3,16.240193,22.77201
1940,4,4,14.161834,20.07991
1940,4,5,10.109966,16.876183
1940,4,6,6.0355693,12.008201
1940,4,7,10.252607,14.334304
1940,4,8,9.5092009,14.623001
1940,4,9,5.85697,13.089966
1940,4,10,7.3344329,17.03368
1940,4,11,11.206527,15.036278
1940,4,12,2.3177657,10.291377
1940,4,13,-0.71205603,8.8111699
1940,4,14,3.4799206,15.326606
1940,4,15,10.710072,21.494049
1940,4,16,14.771595,19.36504
1940,4,17,15.29057,19.402741
1940,4,18,11.145384,17.128429
1940,4,19,9.0924034,12.856555
1940,4,20,6.801986,12.500832
1940,4,21,5.4027632,15.400477
1940,4,22,7.7077963,17.832085
1940,4,23,11.087647,16.907617
1940,4,24,9.3111533,15.345683
1940,4,25,9.6736057,18.240942
1940,4,26,10.469376,19.275947
1940,4,27,10.901843,18.599428
1940,4,28,11.518175,21.663701
1940,4,29,15.293789,20.267665
1940,4,30,14.916288,20.227245
1940,5,1,12.294261,18.454794
1940,5,2,8.0081574,14.128621
1940,5,3,8.0419072,15.465408
1940,5,4,7.6842583,16.044011
1940,5,5,10.911971,21.914527
1940,5,6,16.179551,25.07818
1940,5,7,15.963373,25.935691
1940,5,8,16.47211,25.998701
1940,5,9,14.993249,21.832442
1940,5,10,12.825997,19.811679
1940,5,11,12.131966,19.097009
1940,5,12,10.681727,21.224511
1940,5,13,14.310853,25.048714
1940,5,14,16.349309,24.973921
1940,5,15,15.263922,21.445088
1940,5,16,12.724907,20.790933
1940,5,17,14.212125,23.190878
1940,5,18,16.437238,25.338217
1940,5,19,16.882793,23.736967
1940,5,20,15.619554,25.554872
1940,5,21,17.165964,27.036674
1940,5,22,17.772647,26.079457
1940,5,23,17.001628,22.657942
1940,5,24,15.173216,20.811946
1940,5,25,13.795843,21.403492
1940,5,26,14.488173,21.190745
1940,5,27,14.534352,22.730045
1940,5,28,15.671951,22.760709
1940,5,29,16.08049,22.283339
1940,5,30,15.454656,23.483855
1940,5,31,15.523363,23.968963
1940,6,1,16.124696,24.725051
1940,6,2,16.589852,26.547703
1940,6,3,17.451386,27.557391
1940,6,4,18.470569,27.962636
1940,6,5,19.847143,28.710778
1940,6,6,20.965298,28.988758
1940,6,7,21.531799,28.088623
1940,6,8,21.339608,27.395962
1940,6,9,21.517738,28.498064
1940,6,10,21.586049,27.578695
1940,6,11,20.670826,25.694444
1940,6,12,20.137021,26.074033
1940,6,13,19.700134,25.784785
1940,6,14,19.941854,25.61155
1940,6,15,20.580299,25.626511
1940,6,16,20.896664,25.356066
1940,6,17,21.229864,25.424004
1940,6,18,21.459358,26.285666
1940,6,19,21.615432,27.867084
1940,6,20,20.006892,25.808626
1940,6,21,17.892745,25.25157
1940,6,22,19.098061,28.060124
1940,6,23,21.780901,29.867223
1940,6,24,21.690102,27.161468
1940,6,25,18.08351,24.553583
1940,6,26,17.847312,27.751732
1940,6,27,20.699643,28.801469
1940,6,28,23.707578,29.167283
1940,6,29,20.516511,26.634883
1940,6,30,17.76531,25.459776
1940,7,1,19.806849,26.565397
1940,7,2,20.182323,25.333162
1940,7,3,19.318471,23.900938
1940,7,4,17.551726,23.681929
1940,7,5,17.735312,24.606031
1940,7,6,18.47915,24.478751
1940,7,7,18.538999,23.613481
1940,7,8,18.797705,25.039285
1940,7,9,19.733462,25.705024
1940,7,10,20.402729,27.569854
1940,7,11,21.441824,28.021586
1940,7,12,20.774773,25.717668
1940,7,13,18.447675,22.978764
1940,7,14,18.361766,25.34949
1940,7,15,20.212836,27.178763
1940,7,16,20.753792,27.7944
1940,7,17,20.251429,27.487046
1940,7,18,20.28544,28.63321
1940,7,19,21.240465,28.592738
1940,7,20,21.551737,28.799315
1940,7,21,22.22912,29.732
1940,7,22,22.766819,30.366915
1940,7,23,23.240794,30.91188
1940,7,24,23.656344,31.304654
