Year,Month,Day,Tmin,Tmax
1958,1,1,-2.2230287,5.7657409
1958,1,2,-6.1442933,1.7020813
1958,1,3,-5.6983094,3.0213561
1958,1,4,-4.5744081,3.5692687
1958,1,5,-2.7751222,4.6536193
1958,1,6,1.0098206,5.5561156
1958,1,7,-2.6728272,3.8676696
1958,1,8,-7.4995484,-2.1331239
1958,1,9,-6.0043397,5.535089
1958,1,10,0.52797854,10.606836
1958,1,11,0.8034302,10.908411
1958,1,12,2.2453246,9.7366276
1958,1,13,5.6640258,9.0895023
1958,1,14,4.0982604,8.7164555
1958,1,15,3.8524413,7.8387084
1958,1,16,0.74602664,5.2403502
1958,1,17,0.38359985,5.7430663
1958,1,18,-0.15790406,4.7097716
1958,1,19,-1.2441467,5.337152
1958,1,20,3.9362426,8.1380863
1958,1,21,5.8100829,7.4320006
1958,1,22,-0.99362791,4.8557067
1958,1,23,-0.56204832,4.1441894
1958,1,24,1.31698,4.0783324
1958,1,25,0.13005981,6.358911
1958,1,26,3.4366393,8.0520267
1958,1,27,0.60720217,7.2219176
1958,1,28,-0.47043458,4.6534362
1958,1,29,0.5423218,4.9381347
1958,1,30,1.0953308,8.0247135
1958,1,31,5.4746947,10.951746
1958,2,1,-0.48187867,8.5468998
1958,2,2,-3.1795106,2.2218566
1958,2,3,-6.829535,0.28115234
1958,2,4,-5.0392823,4.9219298
1958,2,5,5.4289794,11.365717
1958,2,6,7.6081786,10.975946
1958,2,7,0.24120483,7.4545531
1958,2,8,-6.3023744,0.40038452
1958,2,9,-6.827704,-1.041449
1958,2,10,-6.531714,-2.400641
1958,2,11,-6.3608155,-1.0986999
1958,2,12,-7.4850221,-0.87140501
1958,2,13,-8.5185299,-0.83078611
1958,2,14,-2.9698853,3.2446227
1958,2,15,-0.84897459,3.3164306
1958,2,16,-10.61112,-2.068274
1958,2,17,-12.285589,-6.2912965
1958,2,18,-10.680761,-3.2790284
1958,2,19,-8.1803341,-0.90765989
1958,2,20,-5.1389527,3.6849303
1958,2,21,-1.2037109,9.3758183
1958,2,22,4.2499022,10.426538
1958,2,23,2.0661559,12.551722
1958,2,24,6.0946288,16.656946
1958,2,25,5.7528625,16.360407
1958,2,26,10.656031,15.855127
1958,2,27,10.827631,14.797968
1958,2,28,6.3561339,12.230402
1958,3,1,3.2056212,10.445368
1958,3,2,3.9175048,10.617792
1958,3,3,2.4811339,10.575739
1958,3,4,2.156671,10.981043
1958,3,5,5.942224,13.097315
1958,3,6,9.4703922,12.422083
1958,3,7,9.4536991,12.416346
1958,3,8,8.2300053,12.211359
1958,3,9,6.2740417,11.296625
1958,3,10,3.1832213,8.3072758
1958,3,11,4.5026793,9.8060856
1958,3,12,3.3870177,9.8108158
1958,3,13,5.6169677,8.7086735
1958,3,14,1.9360291,7.2290893
1958,3,15,0.53573,7.9116454
1958,3,16,1.3430115,9.5445499
1958,3,17,4.6202025,8.8923283
1958,3,18,3.0966735,6.9417357
1958,3,19,1.9229981,8.1035404
1958,3,20,0.74108279,8.12356
1958,3,21,0.8782593,8.5042667
1958,3,22,2.7827392,11.055719
1958,3,23,6.7613463,12.423853
1958,3,24,8.3331852,11.732508
1958,3,25,7.194818,9.9452763
1958,3,26,6.1433349,9.647028
1958,3,27,5.8971496,10.928095
1958,3,28,4.3003173,12.919855
1958,3,29,6.3203979,14.110254
1958,3,30,9.0943241,13.248804
1958,3,31,7.1640868,15.063105
1958,4,1,6.4255309,16.850306
1958,4,2,8.6039982,20.26684
