Year,Month,Day,Tmin,Tmax
1915,1,1,-4.6180545,9.3867447
1915,1,2,-3.7600214,10.040358
1915,1,3,-2.3596468,9.5291493
1915,1,4,-1.0819507,9.9401893
1915,1,5,-0.22789568,11.296366
1915,1,6,3.5456009,12.376859
1915,1,7,0.33254445,11.585831
1915,1,8,-2.0088405,9.523412
1915,1,9,-2.6821348,11.098684
1915,1,10,-0.97212817,10.428086
1915,1,11,1.7637794,8.1230742
1915,1,12,-0.60059287,7.8417928
1915,1,13,-2.3054131,10.301796
1915,1,14,0.54556947,13.563475
1915,1,15,1.3914701,15.325337
1915,1,16,4.0372071,16.056483
1915,1,17,1.8902816,12.389545
1915,1,18,0.44513146,7.8049567
1915,1,19,-3.0463172,7.0757509
1915,1,20,-3.0943137,5.3385085
1915,1,21,-5.2975869,4.9549506
1915,1,22,-3.456009,7.5515178
1915,1,23,-6.0333018,5.972287
1915,1,24,-7.5203112,1.3614366
1915,1,25,-6.5083895,3.1857877
1915,1,26,-6.2689365,4.1575636
1915,1,27,-4.528721,5.1060519
1915,1,28,-6.5270779,3.9782474
1915,1,29,-6.7854979,6.429597
1915,1,30,-0.9112757,10.80729
1915,1,31,5.0026851,14.682748
1915,2,1,5.9199369,14.44114
1915,2,2,1.599344,10.205201
1915,2,3,-0.9757346,8.8411534
1915,2,4,0.91816856,12.017706
1915,2,5,2.3917119,12.457182
1915,2,6,-0.34456606,9.4521508
1915,2,7,-2.3168621,9.0000266
1915,2,8,-3.333252,8.6402065
1915,2,9,-3.8455381,9.9093691
1915,2,10,-1.793531,14.171666
1915,2,11,2.9378727,16.756018
1915,2,12,6.6452275,18.30749
1915,2,13,7.7125656,18.454945
1915,2,14,6.5185414,16.846697
1915,2,15,4.0889718,14.395858
1915,2,16,0.53937785,12.698356
1915,2,17,-0.85954025,13.096243
1915,2,18,0.19772934,14.101906
1915,2,19,2.3758393,13.980622
1915,2,20,3.476386,13.978048
1915,2,21,4.461628,14.555168
1915,2,22,7.2590147,16.25638
1915,2,23,6.6020035,15.367999
1915,2,24,3.4441142,11.791979
1915,2,25,0.65844628,10.296596
1915,2,26,0.1004839,10.758157
1915,2,27,0.76022248,9.354941
1915,2,28,1.0352154,7.5106375
1915,3,1,-1.7889217,9.0909856
1915,3,2,-1.8367984,10.361986
1915,3,3,0.24185619,11.334551
1915,3,4,2.0078139,10.269506
1915,3,5,2.671314,10.114544
1915,3,6,0.082982462,9.8621007
1915,3,7,-0.22928638,7.5000571
1915,3,8,-0.22834244,6.6177215
1915,3,9,-1.9599076,9.1285643
1915,3,10,-0.078116341,11.721537
1915,3,11,-0.13613457,12.073505
1915,3,12,-0.16762098,13.058501
1915,3,13,1.1268986,14.904982
1915,3,14,0.99183385,16.162528
1915,3,15,1.7060141,14.658589
1915,3,16,1.0913143,10.454601
1915,3,17,-1.237272,9.8992755
1915,3,18,-0.30543273,12.077287
1915,3,19,1.3549313,11.501597
1915,3,20,-0.15233133,9.0064443
1915,3,21,-2.481209,7.1966016
1915,3,22,-3.3730314,7.3565228
1915,3,23,-1.3100371,8.7220249
1915,3,24,-1.254886,13.415019
1915,3,25,2.1282477,16.499647
1915,3,26,3.3917258,15.721633
1915,3,27,2.4029061,13.540867
