Year,Month,Day,TminIn,TmaxIn,TminOut,TmaxOut,TavgIn,TavgOut
1900,1,1,-6.2897758,0.69609481,-6.103466,1.2430571,-2.7968405,-2.4302045
1900,1,2,-8.002265,1.0857265,-5.8696389,1.5542123,-3.4582692,-2.1577133
1900,1,3,-6.979166,3.3555846,-4.4288244,2.8582594,-1.8117907,-0.78528249
1900,1,4,-4.2703834,6.3396997,-3.4740398,3.9726899,1.0346582,0.24932504
1900,1,5,0.16884208,7.9966998,-2.6128938,4.7612348,4.0827709,1.0741705
1900,1,6,2.4490168,10.026579,-0.94415838,6.1467881,6.2377979,2.6013149
1900,1,7,4.4082918,11.532944,-0.65632623,6.7448759,7.9706178,3.0442748
1900,1,8,4.017849,11.770632,-1.823948,6.3625226,7.8942404,2.2692873
1900,1,9,5.2920384,11.25463,-3.8124194,4.7964807,8.2733343,0.49203062
1900,1,10,5.8882432,10.818998,-4.4229689,4.2983036,8.3536208,-0.06233263
1900,1,11,5.6214499,11.213465,-3.9132037,4.1500793,8.4174573,0.11843777
1900,1,12,0.15089563,9.9773273,-2.7655118,5.3454504,5.0641115,1.2899693
1900,1,13,-0.53258407,9.2084284,-1.6988367,6.254848,4.3379222,2.2780057
1900,1,14,1.9888117,11.627198,-1.3683466,6.7595682,6.808005,2.6956108
1900,1,15,5.4288778,13.927764,-1.8987858,6.1775303,9.6783209,2.1393722
1900,1,16,7.0080271,14.191534,-1.8452176,6.0084662,10.599781,2.0816243
1900,1,17,7.4382014,13.646283,-1.8175617,5.7665138,10.542242,1.974476
1900,1,18,7.0614462,13.062549,-1.7840596,6.1011314,10.061997,2.1585359
1900,1,19,5.2776532,11.321146,-0.3239978,7.1908212,8.2993996,3.4334117
1900,1,20,3.576303,11.42039,-1.3222739,7.2779012,7.4983466,2.9778137
1900,1,21,2.1614797,11.058662,-3.1791301,6.2744861,6.6100711,1.547678
1900,1,22,3.2218432,12.22146,-1.7266035,6.6242623,7.7216518,2.4488294
1900,1,23,5.4666328,13.624947,-1.7180862,7.1122217,9.5457897,2.6970677
1900,1,24,6.4065766,15.260628,-3.8580267,6.4776111,10.833602,1.3097922
1900,1,25,1.4763253,14.945287,-7.5287366,4.5839615,8.210806,-1.4723876
1900,1,26,-3.7214077,6.1559162,-7.605545,1.8507333,1.2172543,-2.8774059
1900,1,27,-2.944171,5.7932277,-7.7802558,1.4535068,1.4245284,-3.1633745
1900,1,28,-4.1718626,5.5136356,-9.8048353,0.54271048,0.67088652,-4.6310624
1900,1,29,-9.7033958,1.5108415,-9.1532125,1.3194844,-4.0962772,-3.9168641
1900,1,30,-6.1351013,4.4009962,-8.7477207,1.420514,-0.86705256,-3.6636034
1900,1,31,-6.2907486,3.3670135,-9.0472231,0.19545685,-1.4618676,-4.4258831
1900,2,1,-9.9807405,0.66632545,-9.4468575,0.39921883,-4.6572075,-4.5238193
1900,2,2,-6.2199111,5.6773715,-7.7687702,1.7260679,-0.2712698,-3.0213512
1900,2,3,-1.98382,10.143664,-5.527524,3.1201522,4.0799222,-1.2036859
1900,2,4,2.8677213,11.89305,-5.933692,3.3418245,7.3803858,-1.2959337
1900,2,5,-0.48003909,9.0932026,-6.1263838,2.9190314,4.3065818,-1.6036762
1900,2,6,3.212765,10.158531,-6.0001488,4.1705213,6.6856481,-0.91481376
1900,2,7,7.4252453,15.427023,-6.1725836,4.9314542,11.426134,-0.6205647
1900,2,8,7.8791595,17.691198,-8.8955736,1.8603325,12.785179,-3.5176206
1900,2,9,-3.9850116,10.852262,-10.057508,0.3917321,3.4336255,-4.8328877
1900,2,10,-1.5157875,5.5257759,-8.7148762,1.1223631,2.0049942,-3.7962565
1900,2,11,0.3438971,7.9377398,-5.3422647,4.0270786,4.1408185,-0.65759301
1900,2,12,3.6795022,12.253839,-5.9033151,4.5457554,7.9666704,-0.67877984
1900,2,13,0.91600311,12.175508,-8.0389957,3.1065142,6.5457553,-2.4662408
1900,2,14,-1.4099489,9.0503702,-9.5177555,0.63972932,3.8202106,-4.4390131
1900,2,15,-1.1223361,8.9226627,-11.463188,-1.1815203,3.9001633,-6.3223543
1900,2,16,-5.0795984,3.8153679,-13.625221,-3.219974,-0.63211524,-8.4225976
1900,2,17,-10.605124,-0.38126221,-13.347136,-2.8781774,-5.4931929,-8.1126565
1900,2,18,-11.674318,-0.053101368,-10.355963,0.30396527,-5.8637098,-5.0259987
1900,2,19,-7.2865262,5.4437881,-7.6291423,1.6257207,-0.92136908,-3.0017108
1900,2,20,-1.3029482,7.6602168,-6.1697774,2.3468113,3.1786343,-1.911483
1900,2,21,2.1113281,9.6906242,-4.3697004,4.458374,5.9009762,0.044336796
1900,2,22,0.23022775,8.3398476,-2.8901055,5.7605262,4.2850377,1.4352103
1900,2,23,-0.86702281,8.967308,-5.2850223,5.1050825,4.0501426,-0.089969873
1900,2,24,-5.8251157,8.5707779,-8.9069262,2.8679929,1.3728311,-3.0194666
1900,2,25,-10.367196,1.3356717,-7.8321347,3.3252697,-4.5157622,-2.2534325
1900,2,26,-5.8953524,4.8537116,-7.4195938,2.7903147,-0.52082038,-2.3146396
1900,2,27,-4.1537628,6.5795989,-7.5911779,2.907516,1.212918,-2.341831
1900,2,28,-0.18492489,8.3647947,-6.8117452,4.1361804,4.0899349,-1.3377824
1900,3,1,-3.6717169,6.8483963,-3.8629024,5.9877124,1.5883397,1.062405
1900,3,2,-4.4162302,6.8230906,-3.8201785,6.3192878,1.2034302,1.2495546
1900,3,3,-4.2328978,7.4242959,-3.2958879,5.7289567,1.5956991,1.2165344
1900,3,4,-0.40384701,10.390357,-5.2163529,5.2999492,4.993255,0.041798115
1900,3,5,3.8297865,12.71816,-6.1008401,3.4644287,8.2739731,-1.3182057
1900,3,6,5.8239737,14.963657,-6.3391895,4.8809714,10.393816,-0.72910905
1900,3,7,1.122995,12.528704,-3.8951457,6.3286381,6.8258494,1.2167462
1900,3,8,1.2778769,11.505944,-1.5270572,7.4641652,6.3919106,2.968554
1900,3,9,1.9311897,13.32746,-0.66039008,9.2185974,7.629325,4.2791037
1900,3,10,2.0090599,13.733319,-0.11304282,10.304698,7.8711896,5.0958276
1900,3,11,2.2793915,15.023521,0.53251725,10.628293,8.6514565,5.5804051
1900,3,12,1.9097073,15.034871,-0.57985771,10.134172,8.4722892,4.7771574
1900,3,13,4.3885412,14.366758,-1.5783778,10.362592,9.3776498,4.392107
1900,3,14,1.3411769,12.561856,-4.2285595,7.2554307,6.9515166,1.5134356
1900,3,15,-3.3976011,5.8935399,-6.9502077,3.6711025,1.2479694,-1.6395526
1900,3,16,-8.307394,2.410455,-7.4002957,3.3500516,-2.9484695,-2.025122
1900,3,17,-7.9413209,5.6361208,-5.3151803,5.6143904,-1.1526,0.14960504
1900,3,18,-1.1620723,9.1062269,-2.541275,8.2178078,3.9720773,2.8382664
1900,3,19,5.1859632,13.753468,-0.65181535,9.0758362,9.4697154,4.2120104
1900,3,20,2.2390592,13.590697,-2.4024789,8.1186161,7.9148782,2.8580686
1900,3,21,-3.6664479,9.1565771,-3.2617376,7.8457527,2.7450646,2.2920076
1900,3,22,-1.5504119,10.525009,-1.493204,8.7466497,4.4872986,3.6267229
1900,3,23,3.0271618,12.70307,-0.72642857,9.4246769,7.8651158,4.3491242
1900,3,24,6.0033364,13.813565,-0.32567266,9.2810688,9.9084508,4.4776981
1900,3,25,6.2194772,14.039498,0.40914357,9.5174274,10.129488,4.9632855
1900,3,26,4.7644868,13.790488,0.18071017,9.662775,9.2774875,4.9217426
1900,3,27,3.8861077,13.644603,-0.71105093,8.8459311,8.7653552,4.0674401
1900,3,28,5.4487052,15.707287,-1.2094644,8.3807745,10.577996,3.585655
1900,3,29,5.5526876,15.58873,-0.84435517,8.6025963,10.570709,3.8791206
1900,3,30,2.6579487,12.677611,-0.88791001,8.9925518,7.66778,4.0523209
1900,3,31,-1.5997556,10.463046,-0.81527174,10.18449,4.4316452,4.6846092
1900,4,1,-1.719541,12.439513,1.0789905,12.433483,5.3599861,6.7562368
1900,4,2,2.1854894,14.263622,1.9780774,13.406925,8.2245559,7.6925013
1900,4,3,4.7466245,16.538586,2.535037,12.337818,10.642605,7.4364276
1900,4,4,4.2494755,16.080193,0.71745783,10.696448,10.164834,5.7069531
1900,4,5,0.031843729,14.099502,0.48883152,10.807753,7.0656727,5.6482921
1900,4,6,2.4250989,18.235943,3.2401268,12.896674,10.330521,8.0684005
1900,4,7,6.9004898,19.583908,3.9706929,13.769048,13.242199,8.8698703
1900,4,8,9.9704266,20.919643,2.8378024,12.587521,15.445035,7.7126615
1900,4,9,9.9717436,20.644724,1.1030936,10.786156,15.308234,5.9446247
1900,4,10,7.3946981,18.464899,0.17111722,10.216384,12.929799,5.1937506
