Year,Month,TminIn,TmaxIn,TminOut,TmaxOut,TavgIn,TavgOut
1850,1,2.2187428,1.7946594,1.7257653,1.2271113,2.9683468,0.39219397
1850,2,-0.31664833,0.65315801,-0.27158353,0.71578938,0.24298708,-0.71267319
1850,3,-1.1374096,-0.71949708,-1.1642106,-0.67047977,-0.55056614,-1.7245088
1850,4,-2.125478,-2.2382779,-2.0756645,-2.0121214,-2.6868963,-1.9043121
1850,5,-1.7001264,-0.95829248,-1.6447433,-1.1549916,-2.2029819,-1.427705
1850,6,-1.0856404,-0.2386886,-0.74214536,-0.081425495,-0.86568594,-0.40444288
1850,7,0.053758167,0.50903225,0.062856898,-0.1720728,0.26386869,-0.11627644
1850,8,-0.39818296,-0.034856062,-0.52532542,-0.4521673,0.44274753,0.85036361
1850,9,-2.0515487,-1.103876,-1.9272497,-1.2355874,-0.65570366,-0.11160706
1850,10,-1.7216411,-1.2430048,-2.2129235,-1.9527698,-1.2949948,-0.60587311
1850,11,-0.80732417,0.18087496,-1.1668204,0.017387921,-0.33280244,-0.61798698
1850,12,-0.55901206,-0.57795817,-1.1390264,-1.0573381,-1.8170633,-3.2895894
1851,1,0.4345006,0.90357673,0.63798702,1.0350881,1.4965159,1.2095466
1851,2,2.3343253,2.0716121,1.6959989,1.2737401,2.22543,-0.070640042
1851,3,0.2604782,0.73417521,0.21021238,0.55471122,0.93487376,0.94127393
1851,4,-0.86050707,-0.95648229,-0.59912562,-0.91870224,-1.785129,-0.33097625
1851,5,-0.72986907,-0.96721846,-0.80263966,-1.4048872,0.22379568,-0.46404016
1851,6,-0.751697,-1.5944275,-0.91231185,-1.7994736,-1.1714867,-0.41344935
1851,7,-0.54776567,-1.4471692,-0.63527429,-2.1004853,-0.69986546,-0.14506206
1851,8,-1.0780263,-2.1821749,-1.5817189,-2.8003697,-1.2157893,-0.75121558
1851,9,0.056949016,-1.2278136,1.0241579,-0.27495566,-0.667822,0.55962354
1851,10,-0.090821795,-1.0888578,-0.4428333,-1.4068449,-1.3688072,-0.7223168
1851,11,-1.4685135,-2.3221135,-1.4424895,-2.4357159,-2.6706834,-1.8272617
1851,12,-1.4593061,-2.5831237,-1.6487106,-2.2232785,-2.776444,-2.304394
1852,1,-1.7190425,-2.4469025,-1.16966,-2.0202837,-3.2778804,-0.66474831
1852,2,1.7738143,0.90920025,0.8390407,0.36169675,1.6274836,0.66575813
1852,3,-0.74794805,0.0052544344,-1.2113079,-0.11055731,1.3704959,-1.3696225
1852,4,-3.1668215,-3.3204482,-3.3204422,-3.6002913,-2.5810444,-1.7323289
1852,5,-0.64245546,0.49579039,-1.1603416,0.020464625,0.17264952,-0.04860932
1852,6,-1.3413517,-1.055258,-0.95502454,-0.51640368,-1.6180078,-0.3720215
1852,7,-1.0775818,-0.5621357,-1.0920736,-0.8517645,-0.86028033,-0.55440706
1852,8,-1.2283274,-1.6003873,-1.1189718,-1.6226279,-1.8839713,-1.0978477
1852,9,-1.8611139,-1.6858236,-1.4444301,-1.3191082,-1.8768071,-1.6924257
1852,10,0.80672222,-0.30494645,-0.047715086,-1.0623652,0.90485466,-0.8681702
1852,11,-2.0882392,-2.3991225,-2.2221794,-2.6944571,-2.3287373,-2.3284724
1852,12,0.47527102,-0.35077408,-0.27454206,-0.6933828,1.0481882,-1.4625469
1853,1,-0.43120581,0.39122295,0.099522144,0.48288113,0.021622201,0.43780792
1853,2,-0.139726,0.21561526,-0.48820579,-0.19041125,-0.16018999,-2.0891466
1853,3,-1.1592859,-0.41548085,-1.2675843,-0.34378344,-0.7747007,-0.56074709
1853,4,-1.0465727,-0.56221569,-1.1490808,-0.87311548,-0.48969364,0.37745845
1853,5,-1.2444712,-0.83233035,-1.0546317,-1.3864553,-1.3230584,-0.48081991
1853,6,-1.0304739,-0.27322203,-0.51937824,0.095220067,0.11248458,0.29110301
1853,7,-0.78127861,-0.61549652,-0.79477525,-0.70966458,-1.7052983,-0.74143612
1853,8,-0.94125575,-0.28322238,-1.00213,-0.046866436,-0.90423214,-0.82657361
1853,9,-1.1840905,-0.7180348,-0.76918787,-0.14733551,-1.2077005,-0.59704286
1853,10,-1.9972163,-1.5717175,-2.6921146,-1.6862278,-2.6978934,-1.844124
1853,11,0.091076918,0.12980984,-0.32215992,0.10287953,1.0005424,-0.23727717
1853,12,-2.3831992,-1.8706306,-2.1292574,-1.3088356,-1.7832295,-0.14652091
1854,1,0.0048806188,0.23338664,-0.464423,0.21311118,-0.48945919,-1.7607371
1854,2,-0.967803,0.15519617,-2.1159043,-0.32440338,1.4646646,-0.72803134
1854,3,0.71212637,0.8719914,-0.10389391,0.39139289,1.8390722,0.79186666
1854,4,-2.5646412,-1.4094223,-2.450002,-1.4484191,-1.4887972,0.36337319
1854,5,-1.5040876,-0.78555703,-1.813508,-0.61961627,-0.34459323,-0.92724961
1854,6,-1.2506851,-0.53384304,-1.2880316,0.0018551043,-0.48151296,-0.70770007
1854,7,-0.71018332,0.77354562,-0.57279021,1.2452096,0.63378459,0.68157691
1854,8,-0.39050591,0.54048038,-0.84567249,0.82779908,0.78875089,-0.33880946
1854,9,-0.70563674,0.092744589,-0.73694068,0.48485869,1.3468208,-0.19628811
1854,10,-0.15337209,-0.020842865,-0.44403085,-0.16552898,0.54523343,0.35185593
1854,11,-2.2137561,-0.8828882,-2.3022213,-0.93141472,-1.8084964,0.056453172
1854,12,-2.8191426,-1.1271591,-2.5936732,-1.1472582,-1.3290446,-0.17708912
1855,1,0.3913182,1.0801816,0.43875656,1.2631932,1.0612938,0.61425251
1855,2,-3.626143,-2.1360362,-4.2253051,-2.5207458,-3.5525098,-1.9425682
1855,3,-2.1663711,-0.2866751,-2.0537651,-0.17567828,-2.4541354,-0.76743215
1855,4,-1.2668371,-0.12464105,-1.4830171,0.14057261,1.3980501,0.97739983
1855,5,-1.2726271,0.48075634,-1.2699772,0.44866136,0.37930652,0.031287726
1855,6,-1.4520584,-1.5625467,-1.3443128,-1.4714873,-1.8044014,-0.15742166
1855,7,-0.34530967,-0.96526289,-0.18594229,-0.82767957,-0.54143459,-0.92963791
1855,8,-0.96056479,-1.1417413,-1.4385372,-1.0029501,-1.0485469,-0.72683764
1855,9,-0.48643681,-0.51086217,-0.51947951,-0.22651036,0.79561448,-0.071033932
1855,10,-2.0198815,-1.2414598,-2.5906863,-1.7887278,-2.9769325,-1.0425825
1855,11,-0.13088644,0.38289163,-0.99165237,0.24510133,1.1679707,-0.73698187
1855,12,-0.91379881,-0.77190679,-1.4019091,-0.73002362,-1.8409981,-3.2310815
1856,1,-3.545367,-1.4124665,-3.2990382,-1.696893,-6.8188205,-3.7131443
1856,2,-2.646621,-1.2999892,-3.6477196,-1.8024808,-3.6510837,-1.9770923
1856,3,-3.5516136,-1.1902105,-3.9669096,-1.6335498,-3.7631466,-1.1185595
1856,4,-1.2037529,-0.31081292,-1.2369056,-0.25145754,0.33662379,0.95301116
1856,5,-0.99257576,-0.8285141,-1.3268243,-1.3015752,-0.47379479,0.43303275
1856,6,-0.29524493,-0.58867389,-0.34179613,-0.50686079,0.733486,1.7922634
1856,7,-0.55680722,-0.038989153,-0.56943512,-0.040133942,0.38195518,0.8029477
1856,8,-1.4651548,-1.0680296,-1.9588238,-1.3483177,-1.113161,-1.0196698
1856,9,-2.5827818,-0.21301487,-2.1250973,-0.16513522,-2.554749,-1.2615277
1856,10,-1.7850645,-0.61090416,-2.3466303,-1.2231218,-0.69286799,-1.6281713
1856,11,-1.872308,-0.49792698,-2.4212644,-0.90140426,-1.7540809,-1.9346387
1856,12,-3.2744939,-1.7570831,-3.0455184,-1.8520331,-3.3893132,-3.7650144
1857,1,-4.978251,-2.9304862,-4.9302006,-3.1804886,-5.771935,-3.3379562
1857,2,2.9982331,1.8565389,2.2195294,2.0100105,3.8789942,0.30784404
1857,3,-2.6480398,-0.73976475,-2.2647548,-0.68488526,-2.52701,-0.11563969
1857,4,-3.6882799,-3.4624903,-3.2779529,-2.9520686,-6.171051,-2.4796014
1857,5,-2.2217178,-1.9247907,-2.116703,-2.1530669,-2.7841315,-1.1662431
1857,6,-1.6891363,-1.4070668,-1.8498495,-2.0128837,-1.54612,-0.3092944
1857,7,-1.796918,-1.7753061,-1.1971633,-1.4439021,-1.7853985,-0.53323358
1857,8,-0.78335339,-1.0062613,-1.2517023,-0.90151519,-1.6485037,-0.83309072
1857,9,-0.91640615,-0.97909701,-0.63310784,-0.56437099,-1.0809964,-0.73947585
1857,10,-1.2352152,-1.6062887,-1.3782958,-1.9252677,-2.3549335,-1.431584
1857,11,-3.0861628,-1.4400734,-3.4999022,-1.4662699,-2.2848468,-1.878244
1857,12,1.7829912,1.1027304,1.4510546,1.125919,1.4995912,0.47264615
1858,1,3.3825805,1.9598856,3.2702181,2.4277537,3.6145682,1.7532405
1858,2,-2.1182814,-1.5828929,-2.7079921,-1.4084998,-2.7872663,-2.4311144
1858,3,0.038967218,-0.23678097,0.31296316,0.35782164,0.20040797,0.55846989
1858,4,-0.6576876,-1.168875,-0.9755584,-0.63940269,-0.71490204,-0.3860186
1858,5,-0.99033439,-0.94105923,-1.5972049,-1.2419158,-1.0470515,-1.1715056
1858,6,-0.15991583,-0.59302676,-0.28160614,-0.21150401,-0.46241853,0.49014154
1858,7,-0.48902759,-1.124989,-0.60881281,-0.92800641,-0.2461208,-0.53934932
1858,8,-0.36479414,-0.59507751,-0.69055486,-0.71652108,-0.78213209,-0.93499607
1858,9,-1.5814364,-1.4357342,-1.0099007,-0.63092095,-1.5373168,-0.45406976
1858,10,1.4840038,0.12295711,0.49118933,-0.038102482,0.318746,-1.4774516
1858,11,-2.9856138,-3.0371099,-2.4532309,-2.4453678,-4.486496,-2.3056989
1858,12,1.3695073,-0.57172638,0.20753671,-0.68149763,1.6237662,-1.6756066
1859,1,0.90167964,0.83390832,0.81063408,0.43891892,0.12686989,-0.47445616
1859,2,2.8964765,1.7568455,2.388088,1.292879,1.9364591,-0.22349353
1859,3,1.4037166,1.272849,1.5072726,1.4926909,1.6788514,-0.28473017
1859,4,-1.2444513,-1.2449014,-1.2584091,-1.2439662,-2.017055,-2.1951995
1859,5,-0.10329311,-0.066015221,0.29101476,0.044718508,0.51274157,0.061269846
1859,6,-0.73077077,-1.8605232,-0.91770816,-1.8165238,-0.9295131,0.70963794
1859,7,-1.0195143,-0.88931948,-0.87992024,-1.2750825,-0.53073704,-0.15184827
1859,8,-0.43796387,-0.74428058,-0.25599051,-0.7590903,-1.4436195,-0.74019498
1859,9,-0.37553805,-1.4640493,-0.16819653,-1.4891584,-1.6103812,-1.8707316
1859,10,-1.6818601,-1.8242158,-1.7187182,-2.3941438,-2.4499807,-1.4194233
1859,11,0.98255885,-0.30739021,0.25853884,-0.13767338,1.0327466,-0.50680929
1859,12,-1.4808301,-2.2368853,-2.1673043,-2.3252902,-3.9960454,-4.3938866
1860,1,0.46127084,0.64144498,0.26292482,0.80767047,0.61811024,0.58494073
1860,2,0.32616022,-0.11982429,-0.79529524,-0.33649543,0.527363,-0.78694582
1860,3,0.16667543,0.5340057,0.47449648,1.1631299,0.76137698,1.3725221
1860,4,0.12603098,-1.4777013,-0.26828772,-1.4231553,0.8028909,-0.294361
1860,5,-0.096693344,-0.38838589,-0.25479352,-0.19167227,1.031756,0.077449292
1860,6,0.073991083,-0.018198531,0.28710505,0.047657628,0.070654109,-0.16807657
1860,7,-0.71710527,-1.3737283,-0.97806007,-1.7316415,0.70326126,-0.23975188
1860,8,-1.1712729,-1.105176,-1.2609986,-1.1020101,-0.48799098,-0.48406264
1860,9,-1.6638106,-1.4833053,-1.2553223,-1.3877052,-1.0748105,-1.1154537
1860,10,-0.91549003,-1.495209,-1.2686608,-1.7807332,-0.94949645,-0.79049784
1860,11,-1.8587227,-0.63996494,-1.2841122,-0.5275206,-1.9255866,-1.0042645
1860,12,-3.3656349,-2.0688953,-2.2873778,-1.8208439,-2.3807781,-1.1514678
1861,1,-0.15787348,-0.52829146,-0.16733475,-0.68965083,0.1145305,-1.1966848
1861,2,0.71633917,0.70162672,-0.13297153,0.15343858,1.6491106,0.44261011
1861,3,-2.0934396,-1.2968562,-1.9149226,-1.0742488,-0.24139786,-0.044367127
1861,4,-1.1609846,-0.51049197,-0.62925285,-0.66514885,-0.74744767,0.080103174
1861,5,-1.5136074,-1.7309136,-1.6651905,-2.0658271,-1.6690222,-0.96356004
1861,6,-0.50224191,0.093810663,-0.10860875,0.37116882,0.18050039,0.60394555
1861,7,-2.0342271,-0.80932397,-1.1798686,-0.94533408,-1.7310162,0.05728516
1861,8,-1.4323972,-0.53912091,-0.93727303,-0.43255049,-1.3711132,-0.6812287
1861,9,-1.532637,-0.50986534,-0.66273558,-0.22487575,-1.4794796,-1.0040421
1861,10,-0.51303488,0.12873189,-0.96057457,-0.4556843,-1.0798607,-1.6187315
1861,11,-0.42929402,-0.94290227,-0.33388823,-0.70521033,0.88941157,0.064225778
1861,12,-0.51663196,1.1080301,-0.30013838,1.0370467,1.8250688,1.7998035
1862,1,0.27143908,-0.073365375,-1.2385021,-0.75470036,2.0269988,-0.73422593
1862,2,-1.9403129,-0.67841947,-3.8456552,-2.0567296,-0.6454398,-3.62328
1862,3,-1.8842207,-0.63007325,-1.2104676,-0.57554841,-0.64340752,-1.0896816
1862,4,-2.8533208,-2.0862648,-2.2245221,-1.956434,-1.0929779,-1.5560408
1862,5,-1.7297144,0.028901964,-1.1027631,0.17114593,-0.22230677,0.10623392
1862,6,-2.6488354,-1.4607518,-1.9484403,-1.2431617,-1.2192914,-0.1612176
1862,7,-1.3593178,-0.39733541,-0.58837831,-0.56379902,-0.087240599,-0.077501871
1862,8,-1.0545241,-0.60766929,-0.68077302,-0.55960953,0.040416144,0.073834017
1862,9,-0.90592194,-0.26000297,-0.5083558,0.1564742,-0.016256854,-0.078163743
1862,10,-1.617108,0.23226303,-1.5917823,-0.56737447,-1.0434532,-0.47281405
1862,11,-2.1996894,-1.0192223,-1.6841359,-0.56485534,-1.3043952,-0.94923967
1862,12,-0.41928062,0.55883741,0.17676601,0.57312346,0.8842302,0.33788368
1863,1,0.60650915,1.4538859,1.671186,1.584892,2.1398029,1.2791164
1863,2,0.52139276,0.34397772,0.25867981,-0.062388897,0.82298839,-1.0038188
1863,3,-1.179667,-1.3472098,-0.61404973,-1.0244476,-0.47985855,0.47911507
1863,4,-0.99417126,-0.65349263,-0.82423186,0.099974155,-1.0212909,0.70983022
1863,5,-0.0033973581,-0.13052046,0.4395417,0.2101272,-0.49079084,0.94138998
1863,6,-0.75226498,-0.93252099,-0.46673954,-0.68940955,-1.9007834,0.12250052
1863,7,-0.67417741,-1.1853563,-0.80272508,-1.6412977,-1.3347255,-0.36351329
