Year,Month,Day,TminIn,TmaxIn,TminOut,TmaxOut,TavgIn,TavgOut
1880,1,1,-268.23492,-268.24164,-271.48663,-269.95547,-267.73526,-270.00006
1880,1,2,-264.54297,-264.87897,-269.31641,-268.82739,-264.42572,-268.89923
1880,1,3,-263.0018,-262.22144,-268.30319,-267.61435,-262.17642,-267.85303
1880,1,4,-260.82867,-262.67792,-269.42346,-268.29025,-261.84583,-268.42358
1880,1,5,-261.51895,-263.23434,-269.33725,-268.18259,-261.9415,-268.57779
1880,1,6,-259.87808,-262.77762,-269.39749,-269.21497,-261.39236,-268.98608
1880,1,7,-261.2424,-263.95035,-267.79825,-267.69315,-262.23346,-267.7377
1880,1,8,-260.67877,-263.96344,-268.61365,-267.0195,-262.46869,-267.69727
1880,1,9,-262.61639,-263.62219,-270.76031,-269.15726,-263.1055,-269.97
1880,1,10,-265.2601,-264.6806,-271.61234,-268.2854,-264.74588,-269.85236
1880,1,11,-263.34067,-262.24438,-273.7334,-273.05414,-262.77698,-273.27124
1880,1,12,-268.12036,-268.08231,-275.32947,-273.89816,-267.82401,-274.28586
1880,1,13,-272.19171,-272.43652,-273.9155,-270.29544,-272.21799,-271.87732
1880,1,14,-271.76047,-270.17862,-272.6272,-269.94116,-271.28821,-271.25394
1880,1,15,-269.18857,-269.28894,-270.49139,-267.97684,-269.59824,-269.00589
1880,1,16,-267.55164,-265.50272,-267.96442,-267.26065,-266.70816,-267.66403
1880,1,17,-265.66577,-265.98694,-267.34793,-265.53156,-266.17804,-266.46799
1880,1,18,-266.75354,-264.39368,-268.02994,-265.64249,-265.61636,-266.72009
1880,1,19,-265.75961,-263.64142,-268.1568,-267.84799,-264.61688,-268.11121
1880,1,20,-264.76617,-265.15411,-268.80185,-267.90314,-265.27301,-268.37158
1880,1,21,-265.89215,-266.12085,-270.04309,-270.19312,-265.84735,-270.01035
1880,1,22,-268.65448,-269.67157,-270.85706,-271.21753,-269.58264,-270.89996
1880,1,23,-271.58771,-272.85217,-271.49783,-271.28003,-272.78741,-271.33627
1880,1,24,-271.55295,-271.44611,-271.0455,-270.32147,-272.17938,-270.83392
1880,1,25,-271.13269,-270.82285,-271.99588,-269.51758,-271.4129,-270.55539
1880,1,26,-269.85739,-268.70636,-272.8501,-272.26648,-269.66653,-272.64526
1880,1,27,-268.0578,-266.69318,-274.84174,-275.58435,-267.76178,-275.29614
1880,1,28,-269.19312,-268.90454,-276.69351,-277.95132,-268.97635,-277.54813
1880,1,29,-269.03046,-267.80325,-277.82391,-277.67865,-268.03299,-277.39175
1880,1,30,-267.12762,-266.61896,-278.34229,-276.87238,-266.98746,-277.34073
1880,1,31,-270.96487,-271.37027,-277.07571,-275.29779,-271.09604,-275.96176
1880,2,1,-273.41214,-276.0723,-277.62021,-276.21347,-275.10944,-276.96704
1880,2,2,-275.34848,-277.4812,-277.52945,-277.38867,-276.72052,-277.30731
1880,2,3,-276.2298,-277.45773,-277.87686,-278.40634,-277.38528,-278.22437
1880,2,4,-277.68552,-278.14987,-278.70139,-278.08115,-278.51947,-278.228
1880,2,5,-276.19672,-276.46909,-278.46442,-276.86432,-276.82098,-277.55591
1880,2,6,-275.68936,-274.06433,-277.75751,-275.88666,-275.41003,-276.61411
1880,2,7,-274.74902,-273.91608,-277.94705,-274.26163,-274.79672,-275.99149
1880,2,8,-273.69049,-270.93512,-276.9552,-274.14236,-272.72845,-275.59946
1880,2,9,-272.85367,-271.65967,-276.90671,-273.25668,-272.36069,-274.89972
1880,2,10,-270.07364,-267.54199,-273.9816,-271.58627,-269.0827,-272.65259
1880,2,11,-267.61426,-266.23358,-272.55014,-271.93039,-266.60919,-272.25293
1880,2,12,-264.9967,-266.44919,-275.04965,-274.57083,-265.7374,-274.80679
1880,2,13,-270.71979,-270.94244,-275.90991,-275.37949,-270.66,-275.44308
1880,2,14,-273.74744,-275.3205,-275.59894,-274.65149,-274.35226,-275.10495
1880,2,15,-273.86469,-272.77713,-274.28281,-272.74335,-273.71866,-273.51669
1880,2,16,-271.62259,-269.45111,-275.10486,-272.60864,-270.59256,-273.98389
1880,2,17,-267.64163,-267.29828,-276.76688,-275.65518,-267.56525,-276.24155
1880,2,18,-270.91782,-270.11673,-278.41,-276.70056,-271.10461,-277.41373
1880,2,19,-275.04443,-277.38983,-277.95059,-276.02856,-276.15204,-276.83282
