Year,Month,TminIn,TmaxIn,TminOut,TmaxOut,TavgIn,TavgOut
1850,1,2.9792967,1.5971361,1.8067229,0.72847247,3.6663992,1.0359533
1850,2,-0.10010375,-0.2106307,-0.53891557,-0.13076995,0.8327741,-0.1479166
1850,3,-0.49259326,-1.3266677,-1.1490823,-1.3047932,0.019097017,-1.3260888
1850,4,-1.1023796,-2.4094985,-1.8832427,-2.4418955,-1.8650715,-1.3572171
1850,5,-0.93382967,-0.89679557,-1.6644571,-1.4970862,-1.4063982,-1.0054528
1850,6,-0.87534833,-0.5767827,-1.0873071,-0.60529029,-0.4367103,-0.053152855
1850,7,0.37363055,0.15689225,-0.13236777,-0.63207853,0.4705036,0.31084406
1850,8,0.19819072,-0.14635427,-0.53244376,-0.78166288,0.89249623,1.4030457
1850,9,-1.5624747,-1.1679344,-2.0459931,-1.6449468,-0.029826974,0.52730441
1850,10,-1.5580428,-1.6584601,-2.4860723,-2.5782795,-0.80389977,0.017442806
1850,11,-0.32531261,-0.36691412,-1.2122576,-0.68024164,0.16423908,-0.22803828
1850,12,0.34026688,-0.74771088,-0.97465312,-1.5138112,-1.2445666,-2.8138499
1851,1,1.0254039,0.48578474,0.6236971,0.43175387,2.1123033,1.9191679
1851,2,2.7351608,1.4395248,1.5579364,0.5379498,3.0199208,0.516945
1851,3,0.9374702,0.1742367,0.25513753,-0.073856279,1.4531491,1.5831646
1851,4,0.19495229,-1.0606797,-0.33788967,-1.2777543,-1.2037269,0.40205798
1851,5,-0.22526695,-0.63655353,-0.88490379,-1.5712574,0.65790153,0.12994544
1851,6,-0.29795498,-1.33521,-1.0939504,-2.0141556,-0.81318337,0.0019704814
1851,7,-0.025074016,-1.1305314,-0.72462016,-2.2288892,-0.4163458,0.3907612
1851,8,-0.32935339,-2.0297973,-1.3237602,-2.9810295,-0.67550355,-0.23696341
1851,9,0.75271994,-0.77595848,1.3728615,-0.21378727,-0.18369626,1.2993921
1851,10,0.38939801,-0.76076448,-0.30578128,-1.5640187,-0.64605594,-0.14247361
1851,11,-0.95209306,-2.2389824,-1.2624049,-2.7497854,-2.1376033,-1.4595437
1851,12,-1.2917182,-2.4808943,-1.8464174,-2.495086,-2.0377405,-1.8814472
1852,1,-1.8671013,-2.6232812,-1.6018023,-2.6307721,-2.523773,-0.08584255
1852,2,2.3249953,1.2447401,1.1796995,0.23483382,2.0124886,1.3088443
1852,3,-0.068283133,0.36820954,-0.90871304,-0.11711251,2.0710342,-0.90053552
1852,4,-2.2476909,-2.9801369,-2.9777699,-3.6386976,-1.855032,-1.1545807
1852,5,1.1915432,-0.16834339,-0.41129765,-0.2741445,0.75994921,0.77491724
1852,6,-0.51300925,-0.62204623,-0.51268059,-0.34095559,-1.3001988,0.3495158
1852,7,0.65857178,-1.0385606,-0.30005935,-1.0141199,-0.69162172,0.059364088
1852,8,-0.39564806,-1.4018092,-0.91980743,-1.6041735,-1.4071695,-0.32599875
1852,9,-1.0087707,-2.2941017,-1.0992135,-1.5788598,-0.8924042,-0.68094331
1852,10,1.8173535,-0.21897161,0.401288,-1.1226704,1.504337,-0.20032766
1852,11,-0.37659049,-3.274956,-1.540638,-3.5840988,-1.7107499,-1.9986372
1852,12,2.2129471,0.18117058,0.40295699,-0.92823732,1.8677244,-1.0875583
1853,1,-0.22263283,0.2178818,-0.011121294,0.020259554,0.79104435,1.2043492
1853,2,0.18568784,0.21172936,-0.59480089,-0.50896436,0.78949666,-1.7190757
1853,3,-0.5697692,-0.26097438,-1.126019,-0.61535197,-0.15029913,0.096474878
1853,4,-0.28724679,-0.29030466,-0.89992052,-0.95261937,0.28231621,1.0417151
1853,5,-0.69707584,-0.67618805,-1.045766,-1.5833713,-0.5732559,0.035120122
1853,6,-0.59965521,-0.21309386,-0.63316327,-0.13871378,0.58762521,0.81706619
1853,7,0.3805109,-0.53290927,0.19941354,-0.95871317,-1.2545187,-0.055753853
1853,8,-0.36618367,-0.17834856,-0.91036165,-0.20147224,-0.10954881,-0.089401864
1853,9,-0.77089041,-0.56232387,-0.78833294,-0.27318564,-0.41954669,0.25727668
1853,10,-1.6803972,-1.404868,-2.791445,-1.8025972,-2.0271304,-1.2079874
1853,11,0.57430691,0.40535957,-0.22760923,0.097692579,1.7673095,0.17567632
1853,12,-2.0098362,-1.6843425,-2.0814183,-1.3423597,-0.89322716,0.29897487
1854,1,0.31660354,0.57128096,-0.50926876,0.20895937,0.58875746,-1.4289732
1854,2,-0.58393568,0.51082528,-2.1903362,-0.35626489,2.2627087,-0.053792022
1854,3,1.4406277,1.3209525,0.087942459,0.38895875,2.6619496,1.5323399
1854,4,-1.8653827,-1.0283712,-2.2493865,-1.467539,-0.69542331,1.2170454
1854,5,-0.87419796,-0.50992203,-1.7483197,-0.70324367,0.2593694,-0.15529971
1854,6,-0.70361155,-0.35956764,-1.3369118,-0.16339536,0.091546081,-0.14039683
1854,7,-0.15147415,0.91346633,-0.60493821,1.1122918,1.1281407,1.3583347
1854,8,0.1976278,0.75271666,-0.79099679,0.74283051,1.2822089,0.47245175
1854,9,-0.25739193,0.34157604,-0.78520244,0.35625383,1.8817914,0.74729967
1854,10,0.065983102,0.20201495,-0.66996789,-0.31769997,1.1934166,1.149983
1854,11,-1.7671778,-0.62762427,-2.2288458,-1.0777047,-1.1065332,0.53008527
1854,12,-2.4681497,-1.3892039,-2.5771079,-1.5661,-0.54481316,0.26873088
1855,1,0.62283909,0.67599005,0.33625144,0.76361257,1.848158,1.1605847
1855,2,-3.346992,-2.6172874,-4.366713,-3.0784867,-2.5869577,-1.0276585
1855,3,-1.6199639,-0.74445522,-1.9862695,-0.67485356,-1.5047563,0.053518277
1855,4,-0.53650129,-0.62511361,-1.2862244,-0.33820787,2.1510983,1.7074088
1855,5,-0.74521834,0.1081811,-1.2996076,0.087663442,0.97340393,0.76148105
1855,6,-1.0118662,-1.9745389,-1.5121639,-1.9204247,-1.355857,0.45806322
1855,7,0.19060977,-0.89228821,-0.23332922,-1.0205009,-0.020191139,-0.22423233
1855,8,-0.61829787,-1.1873375,-1.6033432,-1.3307196,-0.45234263,0.071820579
1855,9,-0.27313104,-0.86132729,-0.75988293,-0.78004897,1.4266844,0.7283783
1855,10,-1.9897773,-1.7098631,-2.9626789,-2.4261594,-2.3813868,-0.29271546
1855,11,0.25292954,0.14575359,-1.0255187,-0.18310663,1.8370001,-0.12755629
1855,12,-0.53031379,-0.91961807,-1.4042041,-1.0805099,-1.0876545,-2.7232089
1856,1,-3.4883578,-1.8638606,-3.5104268,-2.2884383,-6.0087118,-2.7204304
1856,2,-2.4266291,-1.8066198,-3.8457847,-2.4566948,-2.9113169,-0.94531667
1856,3,-3.045027,-1.4448378,-3.9326177,-2.219135,-3.0881183,-0.097525433
1856,4,-0.55189639,-0.11752427,-1.0947136,-0.46802592,0.99743444,1.8937517
1856,5,-0.46613917,-0.56134981,-1.3752867,-1.56409,0.14962736,1.1807352
1856,6,0.12567092,-0.39014551,-0.54518634,-0.8136667,1.2020687,2.6400743
1856,7,-0.081892274,-0.059567384,-0.69837326,-0.51220471,0.89557934,1.8489903
1856,8,-1.057055,-1.0880102,-2.1022477,-1.7501042,-0.63995677,0.049069155
1856,9,-2.3963141,-0.50361633,-2.3763816,-0.68815857,-1.9401706,-0.24638377
1856,10,-1.6945808,-1.0491757,-2.6595299,-1.849584,-0.15840007,-0.66350704
1856,11,-1.5312138,-0.78380251,-2.4804006,-1.4394928,-1.1573143,-1.0728446
1856,12,-3.0898931,-2.2841516,-3.1862829,-2.6187921,-2.6220262,-2.8002782
