Year,Month,Tin,Tout
1850,1,3.6515,3.02025
1850,2,1.1115,0.95105952
1850,3,-1.8535,-0.16727381
1850,4,-3.69,-1.185244
1850,5,-2.582,-2.0655306
1850,6,-0.085,0.089312925
1850,7,0.4915,0.84527976
1850,8,0.9515,0.48831973
1850,9,-0.2285,0.29511565
1850,10,-0.837,0.026928571
1850,11,0.5735,-0.1670068
1850,12,-1.7415,-2.2050417
1851,1,3.4515,1.8710556
1851,2,3.0615,1.5097407
1851,3,1.3465,1.1607738
1851,4,-1.84,-0.082984127
1851,5,1.168,0.35778836
1851,6,-0.985,0.084851852
1851,7,-1.7585,0.019830688
1851,8,-0.8985,-0.41554464
1851,9,1.2215,0.046418367
1851,10,-0.637,-0.38779932
1851,11,-3.3265,-2.6970714
1851,12,-1.9915,-2.2745442
1852,1,-0.6485,-1.9495723
1852,2,2.3615,1.8454558
1852,3,1.0965,-0.19716837
1852,4,-1.44,-2.1169252
1852,5,1.668,0.36084694
1852,6,-0.685,-0.57069048
1852,7,-0.1085,-0.50086054
1852,8,-0.4485,-0.75248639
1852,9,-0.4285,-0.91517857
1852,10,1.813,0.5247381
1852,11,-3.1265,-2.0709494
1852,12,1.3085,1.1789405
1853,1,3.5515,1.3196875
1853,2,0.3115,-0.091119792
1853,3,-1.2535,-0.37774479
1853,4,0.32,0.11543155
1853,5,0.063,-0.50509896
1853,6,2.463,0.41517187
1853,7,-0.677,-0.95474479
1853,8,-0.08,-0.28744271
1853,9,-0.997,-0.14438542
1853,10,-3.267,-1.9570885
1853,11,1.78,0.31166964
1853,12,-0.39,-0.30765774
1854,1,2.5086667,0.20167708
1854,2,3.44,0.87705208
1854,3,2.0415,1.2007361
1854,4,-0.355,-0.15573611
1854,5,0.16,0.012961806
1854,6,-0.46,0.33428472
1854,7,1.8265,1.2209375
1854,8,2.30925,0.74614583
1854,9,2.1866667,1.3128264
1854,10,1.404125,1.4413458
1854,11,-1.555875,-0.94575972
1854,12,0.2725,-0.66648056
1855,1,2.464375,1.8705278
1855,2,-3.1979583,-1.7870625
1855,3,-2.867125,-1.620566
1855,4,2.7375,1.3434965
1855,5,1.044,1.0519792
1855,6,-1.9255,-0.44796354
1855,7,-0.1585,0.35660417
1855,8,-0.4607,-0.55578646
1855,9,1.5495,1.0729688
1855,10,-2.355875,-1.0983281
1855,11,1.442875,-0.51340625
1855,12,-1.120125,-0.79575521
1856,1,-5.2216,-4.4104236
1856,2,-2.7584,-2.8999375
1856,3,-4.673875,-2.8503073
1856,4,1.28,1.1226302
1856,5,-0.808875,-0.32304861
1856,6,0.933,1.9704604
1856,7,0.516125,1.2553854
1856,8,-1.384625,-0.13858854
1856,9,-2.1954,-0.123625
1856,10,0.4413,-0.19036979
1856,11,-1.7616,-1.6270833
1856,12,-2.4484,-3.1434097
1857,1,-4.541,-4.1582889
1857,2,4.9063333,2.9436611
1857,3,-2.438,-0.96560556
1857,4,-5.2930833,-2.8577438
1857,5,-2.1608,-0.55436667
1857,6,-1.3917,0.35983889
1857,7,-1.7305,0.74261667
1857,8,-1.0537,0.31158025
1857,9,-0.2753,0.19762963
1857,10,-1.8887,-0.7518963
1857,11,-2.381,-1.5836222
1857,12,2.945,1.9684136
1858,1,5.1291667,4.3183104
1858,2,-2.0754667,-2.0451444
1858,3,-0.084133333,0.055922222
1858,4,0.38296667,-0.36671852
1858,5,-0.24933333,-1.1861852
1858,6,0.74943333,0.4957
1858,7,0.66123333,-0.14204012
1858,8,-0.0588,-0.30777604
1858,9,-0.7589,0.28054514
1858,10,1.2907667,0.12604167
1858,11,-4.1818,-2.9404056
1858,12,3.2424,-0.62803889
1859,1,1.5501333,0.83776736
