Year,Month,Day,TminIn,TmaxIn,TminOut,TmaxOut,TavgIn,TavgOut
1900,1,1,-1.486091,4.691988,-6.9151363,-2.0496552,0.6108374,-4.0390682
1900,1,2,-5.1414309,1.2889818,-7.73699,-3.2170856,-1.114657,-5.1697364
1900,1,3,-5.4647107,1.5012304,-7.4857569,-2.5303001,-2.1160846,-5.1590233
1900,1,4,-4.1984344,5.5249181,-5.9571662,-2.791954,-0.94123352,-4.3868456
1900,1,5,3.1137817,7.480854,-8.3873243,-4.5989809,4.4704313,-6.6595969
1900,1,6,1.0897919,6.9722342,-8.397562,-2.7932167,4.1868663,-5.9927897
1900,1,7,3.2605269,9.3725014,-6.6386399,-2.0324557,5.7494268,-4.0389047
1900,1,8,3.3093951,7.5365272,-5.5442901,-1.2609642,5.9732089,-3.1741054
1900,1,9,4.0818853,9.6074038,-5.0045733,-1.0921131,5.7807522,-2.8657866
1900,1,10,5.8817453,8.4636345,-5.7349367,-1.5886668,7.1825647,-3.4615109
1900,1,11,4.3595276,7.18927,-6.5552869,-1.8601079,5.6020546,-4.015655
1900,1,12,-0.18615294,5.406507,-6.4941564,-2.317239,2.9262142,-4.5029583
1900,1,13,-2.5533617,5.8966789,-6.4506264,-0.51445049,0.44794989,-4.1024103
1900,1,14,0.27145362,9.1618147,-5.6213193,-0.86501598,3.2866101,-3.1215456
1900,1,15,1.7264398,7.4180422,-7.9027433,-1.3699845,4.118825,-4.5157948
1900,1,16,-0.19255368,5.593359,-7.7292924,-1.2754817,2.9774513,-4.4985304
1900,1,17,-1.3170966,10.521959,-6.2061787,-0.43119523,3.3916278,-2.7182624
1900,1,18,6.0893669,9.632452,-5.968924,-0.42742583,8.0946407,-2.9837008
1900,1,19,3.0708477,6.9925547,-5.4491863,-0.2442047,5.1147251,-2.6175041
1900,1,20,0.39702436,8.1688023,-5.6940055,0.61449295,3.2099047,-2.2194538
1900,1,21,-1.1722349,6.5664043,-5.1899748,0.23591572,2.6846106,-2.2426205
1900,1,22,2.2064986,7.647079,-6.0430789,-0.92432404,4.2995777,-3.2707767
1900,1,23,2.97984,9.0694342,-6.0374665,-0.42140406,5.3928471,-2.8719716
1900,1,24,5.0501657,12.735358,-5.9251075,-0.42580733,7.5426483,-2.7896874
1900,1,25,4.8363667,10.203821,-7.3154349,-1.3528026,7.7752934,-4.1370382
1900,1,26,-3.0455244,5.7096734,-7.8301649,-2.4779649,1.941595,-5.2107735
1900,1,27,-0.052934952,4.1084552,-8.8779478,-5.0328021,1.2916412,-6.8757133
1900,1,28,1.8794414,4.7249179,-11.24298,-5.3277006,3.4691653,-8.1506071
1900,1,29,-3.9804361,3.1775599,-9.4731874,-4.6367292,0.33463132,-7.3130131
1900,1,30,-3.6959243,5.00911,-9.6369514,-3.6996694,-0.69642687,-6.1251001
1900,1,31,-2.8695784,2.5773509,-11.848676,-3.4291384,0.55406451,-7.2646489
1900,2,1,-7.2049732,0.5242511,-11.562672,-4.3576694,-3.0435901,-7.7055216
1900,2,2,-3.4751532,3.4114411,-11.215124,-5.5957236,-1.0481155,-8.1816177
1900,2,3,-3.3811388,5.8581634,-9.4880829,-4.7465672,-0.19449186,-7.2256184
1900,2,4,1.8577467,4.1299372,-9.3878403,-4.5036073,2.961113,-6.8404331
1900,2,5,-3.4081376,2.2070034,-8.7572727,-3.3109128,-0.65950125,-5.6978827
1900,2,6,-0.22396666,5.8508778,-8.6652937,-2.8181169,1.7528787,-5.4992747
1900,2,7,-0.39916894,8.7179003,-6.6263671,-2.2154455,3.4983573,-4.241127
1900,2,8,5.1000829,9.7380018,-7.9785972,-2.3553815,7.2502956,-5.2797799
1900,2,9,-0.66898054,7.8658295,-9.8504639,-3.9280913,3.4302843,-6.9119396
1900,2,10,-1.6907656,3.1321003,-11.954695,-4.8871284,0.16382498,-8.0507393
1900,2,11,-2.2115469,5.4906435,-9.9643459,-3.0637255,0.67145431,-6.7939014
1900,2,12,-1.0945054,8.7283478,-8.1619797,-1.2114316,2.7279105,-4.4659443
1900,2,13,1.9350108,5.9026785,-8.119957,-1.1580167,3.5354166,-4.5316653
1900,2,14,-3.0846572,2.9689403,-8.8289928,-1.1482933,-0.33355892,-4.9584069
1900,2,15,-1.9319563,1.245777,-10.722858,-2.8638902,-0.095920712,-6.7031174
1900,2,16,-6.3482261,-0.62169522,-13.244291,-5.1117077,-3.1156585,-9.3122435
1900,2,17,-10.8179,-3.2806184,-16.592077,-9.0235939,-6.8188038,-12.338535
1900,2,18,-13.339337,-5.2222362,-15.379738,-8.136342,-9.6502523,-11.291584
1900,2,19,-8.4232435,0.65837479,-13.814617,-7.345789,-5.1505985,-10.334932
1900,2,20,-4.0095153,5.1962757,-11.758307,-5.953167,-0.4459511,-8.8159065
1900,2,21,0.097671889,8.0285454,-10.02753,-2.706136,3.6857481,-6.6956506
1900,2,22,-2.378433,5.3498383,-7.2412252,-0.56927788,1.6240777,-3.8997381
1900,2,23,-3.8365598,5.8578925,-7.5384812,-0.019834256,-0.25980294,-3.7677906
1900,2,24,-4.1172462,3.0090139,-10.395731,-2.5972288,-0.93113685,-6.1206775
1900,2,25,-10.231981,-0.52627248,-8.1944113,-1.5277359,-5.8245006,-4.5301619
1900,2,26,-6.8370123,3.0497682,-8.0250168,0.044105887,-2.6191123,-3.7865231
1900,2,27,-7.29459,4.2707481,-6.3652062,1.4767578,-2.1515346,-1.8091762
1900,2,28,-3.5566192,6.9619546,-5.6649785,3.6095932,1.1765183,-0.73594385
1900,3,1,0.77228886,7.0176845,-2.48015,5.1902819,3.9486327,1.7970803
1900,3,2,-3.0323,8.2093344,-2.8041134,5.5455441,2.8037,1.4113995
1900,3,3,-3.0603526,7.1187992,-3.9355133,3.5625362,2.1720557,0.21456653
1900,3,4,-0.31291845,11.440475,-4.6862636,2.9734178,4.0949273,-0.78561062
1900,3,5,3.4572153,10.399387,-5.8445444,0.32031673,6.9551888,-2.5467839
1900,3,6,6.7480803,13.585108,-5.4226327,0.59334135,9.6914158,-2.5584722
1900,3,7,2.0968671,10.719438,-4.2910342,3.2326009,6.9488292,-0.48987108
1900,3,8,0.46125576,12.840734,-3.1076579,4.8955936,5.3411107,1.1237981
1900,3,9,3.5265827,15.842128,-2.0477281,5.0484772,8.9616575,2.0592115
1900,3,10,4.5051503,14.783263,-2.2605863,4.8521938,10.181121,1.8506695
1900,3,11,3.7086284,14.547039,-1.910833,6.0511999,9.0686579,2.3148978
1900,3,12,4.0690293,11.485642,-1.836102,6.5842195,8.3126001,2.9954209
1900,3,13,3.4569902,15.550135,-1.7967796,6.9085879,7.790596,3.0786128
1900,3,14,3.938951,12.048378,-4.3043442,5.8934898,8.5325413,0.76448166
1900,3,15,2.2159169,8.0553808,-7.1562004,1.5836861,5.1308069,-2.5903411
1900,3,16,-3.8995264,3.4966345,-6.788868,0.55899036,0.7052927,-2.660064
1900,3,17,-4.5577664,5.1371388,-6.4087906,1.5799295,-0.099149823,-1.7581799
1900,3,18,-0.8734836,8.9534168,-4.56108,3.9384625,2.8865557,-0.11495036
1900,3,19,4.4607711,12.895573,-2.624357,5.0473509,7.3807292,1.5281131
1900,3,20,3.851367,10.898607,-2.5216856,5.0584817,7.7659359,1.7338002
1900,3,21,-0.89561665,8.3415966,-3.28968,4.9015036,4.2764254,1.2921014
1900,3,22,-0.039846089,11.818541,-2.2206116,4.7528081,5.0804796,1.4761951
1900,3,23,3.9283366,12.372316,-0.6927762,7.2961631,7.6245708,3.0447052
1900,3,24,6.5040894,10.344912,-0.33144644,7.3953185,8.8441067,3.8689849
1900,3,25,5.852962,12.934135,0.011147582,6.8209257,8.760931,3.8202212
1900,3,26,7.03651,11.61131,0.63742065,9.0615244,9.707592,4.7451754
1900,3,27,2.1621947,11.116547,1.2525464,9.8729868,6.7869964,6.1758652
1900,3,28,2.5077,15.066661,1.4362667,9.9386692,7.5795102,6.0804672
1900,3,29,6.0840912,14.89894,0.90323168,8.5351868,10.204192,5.3276992
1900,3,30,6.4973779,11.77318,0.13243534,9.3824873,9.4852715,5.4773397
1900,3,31,1.2312732,10.135511,-0.30384058,10.134113,6.4720049,5.4238605
1900,4,1,-0.15548401,12.878663,0.4955309,9.9355745,5.7586942,5.7249184
1900,4,2,5.1189594,16.220177,2.2461998,9.9948549,9.5569811,6.5849504
1900,4,3,6.5264883,14.479254,1.893537,9.682229,10.851551,6.1213455
1900,4,4,7.4381995,12.670479,1.0411096,9.2214727,10.456861,5.3769979
1900,4,5,1.7358116,11.148388,1.5086486,8.0267916,7.3619976,5.1770773
1900,4,6,1.95848,15.226632,2.7437904,9.6730595,7.5263233,6.0557756
1900,4,7,6.178061,17.610191,3.6324997,10.522221,11.220997,7.1468935
1900,4,8,9.8721457,17.375154,3.6580651,10.709289,13.508329,7.7244177
1900,4,9,10.565417,16.740992,3.391633,10.645014,13.890207,7.1502399
1900,4,10,8.6627645,17.155191,2.8478687,9.4299927,12.962801,6.6862535
1900,4,11,10.849467,14.462342,1.99281,9.5033941,12.401068,6.3069649
1900,4,12,5.893764,11.95808,1.8308456,9.872304,9.4905415,6.4174008
1900,4,13,4.3979254,15.990716,2.2746217,10.546554,9.3236637,7.0258007
1900,4,14,6.6203523,17.278776,3.2117844,10.757526,11.571114,7.4502687
1900,4,15,10.593256,17.546047,3.5552711,10.799632,13.645415,7.5764856
1900,4,16,13.639428,18.989449,3.7168376,10.886981,15.813113,7.7617559
1900,4,17,16.036699,20.748684,4.0410547,11.227022,17.886339,8.1441154
1900,4,18,14.178323,18.928308,4.1107588,13.762728,16.715046,9.1931171
1900,4,19,10.882338,18.481871,5.7615323,14.84591,14.516935,10.864476
1900,4,20,10.111104,19.203451,6.1323419,14.937422,14.515272,11.083479
1900,4,21,10.637262,21.250528,6.2542391,13.637561,15.024248,10.215112
1900,4,22,14.217381,21.31148,5.635767,14.953999,17.308367,10.252607
1900,4,23,16.906248,21.422323,6.4839168,15.620131,18.568542,11.720494
1900,4,24,16.228298,20.491631,6.4320936,16.222174,18.413475,11.970462
1900,4,25,14.29482,21.150492,6.5457978,15.658812,17.406527,11.568287
1900,4,26,13.6766,21.749502,6.7877226,14.550424,17.016499,10.842189
1900,4,27,14.940802,21.907934,6.1611061,13.60645,18.412649,10.220967
1900,4,28,15.551179,21.55792,6.0992808,13.649401,18.779598,10.323608
1900,4,29,15.443682,22.883024,5.8112273,13.334872,18.683735,9.826581
1900,4,30,16.947062,22.393293,5.3655181,12.981942,19.539026,9.5520096
1900,5,1,13.991618,20.74687,4.7623262,13.275531,17.449663,9.751791
1900,5,2,12.220478,17.729372,4.4225368,13.16531,15.173016,9.4436007
1900,5,3,9.737874,15.911975,4.3213615,14.440738,13.131725,9.8123007
1900,5,4,6.8960695,17.442268,6.1275086,16.337425,11.482953,11.497046
1900,5,5,9.4175367,21.476408,8.2102242,16.804007,14.322557,12.784393
1900,5,6,15.171004,20.296864,9.2916441,16.205494,17.508411,13.066944
1900,5,7,16.018402,21.17964,8.3890686,15.943388,18.313387,12.566701
1900,5,8,15.226164,19.60762,8.7435875,17.327723,17.759739,13.197208
1900,5,9,11.789208,17.760307,8.8867474,18.649944,14.9898,14.221601
1900,5,10,10.913579,17.960146,8.9536524,19.244923,14.138916,14.308529
1900,5,11,10.34748,19.849026,9.444232,17.72304,14.606228,13.957294
1900,5,12,12.446029,21.595573,9.4697866,17.804161,16.349518,13.952404
1900,5,13,14.109178,23.267708,9.4678297,18.00548,17.898705,14.141321
1900,5,14,15.696192,23.667089,9.8544073,19.175192,19.12118,14.864964
1900,5,15,16.226213,24.09502,10.61316,19.249458,19.549217,15.453332
1900,5,16,16.756075,23.880325,10.4488,19.370647,19.836136,15.536512
1900,5,17,17.093685,22.974955,10.216647,19.454706,19.753847,15.368425
1900,5,18,16.533749,21.93651,10.313148,19.760117,19.009739,15.687351
1900,5,19,15.133503,21.498442,10.771396,20.296665,18.125767,16.149378
1900,5,20,14.46121,20.748905,10.83695,20.971315,17.670742,16.419531
1900,5,21,12.489697,21.182314,11.079309,20.524208,16.728331,16.382584
1900,5,22,13.259887,22.767321,11.661344,20.791569,17.277998,16.737488
1900,5,23,14.110529,25.178406,11.593156,20.70912,18.875332,16.744665
1900,5,24,18.023073,26.744036,12.292559,21.295616,21.558666,17.277657
1900,5,25,18.531326,27.333462,12.214546,21.240881,22.384155,17.277781
1900,5,26,18.654188,26.734119,12.328676,21.273464,22.31427,17.197464
1900,5,27,18.829939,25.955299,12.77003,21.65032,22.118538,17.689451
1900,5,28,19.150671,25.875452,13.098411,21.869549,22.263174,18.038048
1900,5,29,19.025883,24.931063,12.984058,22.509214,21.883375,18.220108
1900,5,30,19.344589,24.198519,13.32753,22.367807,21.643721,18.344128
1900,5,31,19.35499,25.292524,14.178291,22.714125,21.760218,18.80982
1900,6,1,20.104513,26.594975,14.192758,23.051149,22.897778,18.940475
1900,6,2,20.914633,26.395218,14.37284,23.749104,23.696438,19.552498
1900,6,3,19.220861,26.06645,14.802569,23.411633,22.673157,19.496504
1900,6,4,18.900846,25.841785,14.223386,23.229164,22.272152,19.105301
1900,6,5,18.928827,25.901619,14.475262,22.801439,22.088261,19.070333
