Year,Month,Day,TminIn,TmaxIn,TminOut,TmaxOut,TavgIn,TavgOut
1940,1,1,-5.6064617,-0.24144709,-6.893144,-2.0394419,-2.5894912,-4.4291348
1940,1,2,-9.1259074,-3.3519842,-7.4050712,-3.3325583,-5.953358,-5.0216775
1940,1,3,-8.8837364,-0.88094683,-6.5753535,-2.5841413,-5.7932262,-4.5688232
1940,1,4,-3.4346212,1.5730584,-6.8788188,-2.5641299,-1.8293634,-4.5656458
1940,1,5,-5.0806518,0.55493562,-8.3429543,-4.1380796,-2.4038765,-6.0961714
1940,1,6,-8.9425773,-2.4841283,-9.3998421,-5.3224727,-6.0976117,-7.1387879
1940,1,7,-2.7926935,1.7132533,-10.436426,-5.3900024,-1.1770753,-7.5952756
1940,1,8,-2.5287033,2.0578898,-9.1781072,-4.1773888,-0.22404275,-6.8789206
1940,1,9,-5.38417,1.3433833,-6.6964708,-2.3981192,-2.4326424,-4.7234195
1940,1,10,-1.5952785,5.6280886,-4.7498625,-0.015068195,0.85639041,-3.0584829
1940,1,11,4.7395943,8.9880281,-3.861847,-0.070245279,6.0011052,-1.6827614
1940,1,12,5.0225247,8.0283122,-5.7368501,-0.77364385,6.6641731,-3.0354511
1940,1,13,3.9200341,8.6027497,-6.5881762,-2.4853236,5.4280691,-4.5851621
1940,1,14,5.8488897,9.4473497,-8.3269132,-3.8687072,7.4510401,-5.8849888
1940,1,15,-3.594433,2.8374063,-11.330439,-3.9054704,-0.14750943,-7.6772639
1940,1,16,-5.2453096,4.7123594,-9.903346,-4.9225597,-1.50651,-7.5493292
1940,1,17,-2.9713516,3.1107952,-10.771928,-4.6102772,-0.056150051,-7.7881189
1940,1,18,-4.6625424,0.83136363,-14.881967,-6.9793987,-2.3483156,-11.289784
1940,1,19,-12.806495,-6.6970841,-14.948811,-9.8452767,-9.4698446,-12.626488
1940,1,20,-9.9358654,-3.0440147,-12.427222,-7.0991703,-7.2995935,-9.8115461
1940,1,21,-9.0931491,-2.7630038,-12.144739,-6.8023177,-5.8081559,-9.2198892
1940,1,22,-8.0801305,-0.87076533,-12.426708,-6.7986654,-4.8549111,-9.2449244
1940,1,23,-4.5544659,-1.4830278,-11.988904,-6.6244888,-3.0927178,-9.0155315
1940,1,24,-8.2194992,-2.4609786,-12.921784,-7.2353235,-5.3296188,-9.9603141
1940,1,25,-13.454439,-7.025406,-13.837976,-8.6840893,-10.150352,-11.045371
1940,1,26,-14.68657,-6.9828756,-12.119817,-6.5854915,-10.952369,-9.2867823
1940,1,27,-15.279608,-6.5660656,-9.813405,-3.5425276,-10.669838,-7.0709857
1940,1,28,-12.312764,-0.6505591,-7.7372205,-1.0568179,-7.6463831,-4.3139939
1940,1,29,-5.0140891,2.903723,-7.2707969,-0.35390043,-2.4319053,-3.3765276
1940,1,30,-3.5212183,2.233293,-6.6475086,0.52078882,-0.53549517,-2.683924
1940,1,31,-6.188151,3.0733747,-5.2944959,0.70337335,-1.8435133,-1.9592107
1940,2,1,-4.6381571,6.4848175,-4.7603164,0.41325951,-0.041329295,-2.1097744
1940,2,2,-1.9169664,2.8682279,-6.2478626,-1.2187842,0.3802671,-3.6452502
1940,2,3,-7.4125378,0.46092892,-6.5043887,-1.7045719,-3.7756481,-4.2837486
1940,2,4,-1.122196,5.727175,-4.0911764,0.79126849,1.1519599,-1.7960546
1940,2,5,3.3190752,7.1783906,-3.1310067,0.96796938,4.5083244,-0.89328967
1940,2,6,4.8238379,6.1353693,-4.1591101,1.3083611,5.4567007,-1.2185744
1940,2,7,-0.87401452,5.6037826,-3.5620862,1.312111,2.5035871,-0.97069916
1940,2,8,1.1448868,10.017606,-5.7716856,0.092865058,4.0554625,-2.7660673
1940,2,9,4.2971527,7.823431,-8.3470755,-2.1067145,6.2375975,-4.8323986
1940,2,10,2.4249503,5.6476663,-5.4572537,1.4743864,4.2961457,-2.4900024
1940,2,11,-1.3538561,9.3801513,-3.9077219,1.6797786,3.1363909,-0.83548246
1940,2,12,3.870439,10.076527,-5.8144817,0.77806772,6.3480334,-2.4560951
1940,2,13,3.655766,7.9630448,-7.9802572,-0.97965255,5.7443033,-4.152977
1940,2,14,-2.8874415,4.5059671,-6.3174782,-0.48393871,1.462789,-3.1603361
1940,2,15,-1.1306556,6.1570864,-5.3782577,-0.44687166,1.8638003,-2.7113953
1940,2,16,2.0188015,6.8398847,-6.3186153,-0.60762278,4.0028672,-3.1573935
1940,2,17,3.1623189,6.0740703,-6.4592922,-0.55591558,4.8853496,-3.2588728
1940,2,18,4.2927553,6.0783614,-4.9571018,-0.12965463,5.1507734,-2.2085997
1940,2,19,2.634023,5.5724486,-5.2606037,0.42846199,4.2615072,-2.329305
1940,2,20,1.2679001,4.6237356,-7.8227606,-0.74624932,2.9838518,-4.0721071
1940,2,21,-1.2702425,2.6318395,-8.5738304,-1.1937527,0.99015026,-4.7803553
1940,2,22,-1.9614253,3.6412852,-8.4565253,-1.9191463,0.88888886,-5.0064113
1940,2,23,-1.2364072,4.023531,-5.3841674,-0.82079914,1.1316846,-3.2206503
1940,2,24,2.8802555,6.3454365,-6.490786,-0.62085695,4.0541678,-3.3625898
1940,2,25,-2.7714324,4.3210558,-7.365936,-1.2124618,1.0315748,-3.8844583
1940,2,26,-3.5100905,8.106471,-4.0024829,1.5986177,0.7569722,-1.2598473
1940,2,27,6.5631887,11.561745,-1.6974015,3.500842,8.0472972,0.8321271
1940,2,28,4.7177611,12.443878,-0.59904374,4.5994392,8.4814883,2.2000648
1940,2,29,3.5882424,12.317754,-0.64287689,5.5691744,8.083641,2.629883
1940,3,1,7.5494505,16.621751,-0.81663191,5.3503403,11.068052,2.4702706
1940,3,2,11.832697,15.886639,-1.9766983,4.0904008,13.432042,1.4095451
1940,3,3,8.8364863,14.297669,-1.6125427,4.3137464,11.626347,1.594896
1940,3,4,4.6939773,10.519399,-2.0753097,4.3860729,8.0907913,1.4314926
1940,3,5,2.7913595,9.546562,-2.1251766,4.6454098,6.5519058,1.6169069
1940,3,6,2.0226611,11.731309,-2.2815797,5.0962038,6.5445222,1.5120052
1940,3,7,3.1515155,9.8755164,-3.6610931,3.7407576,6.8651295,0.468599
1940,3,8,1.6687208,7.7414714,-2.8431193,4.086105,5.1265834,0.9956176
1940,3,9,-0.38794751,9.5024225,-3.4464015,4.0052304,3.9845987,0.57175809
1940,3,10,3.5616261,11.959849,-4.1918563,3.3160943,6.9120491,-0.27505788
1940,3,11,5.4394851,11.118217,-4.5689963,1.6778551,8.1479672,-1.2838975
1940,3,12,8.666958,12.88624,-5.9583073,0.75519728,10.05067,-2.394839
1940,3,13,7.8363509,12.417295,-7.1796368,0.051975238,10.052505,-3.1460221
