Year,Month,Tin,Tout
1880,1,7.6122855,3.136948
1880,2,2.7422857,-1.140974
1880,3,1.3154285,-1.7904605
1880,4,1.1528571,-0.62999999
1880,5,2.186,1.1138562
1880,6,0.43257142,0.54098038
1880,7,-0.38514285,-0.59294116
1880,8,-0.086857141,-0.61281044
1880,9,-1.6928571,-0.81718952
1880,10,-1.082,-1.8753594
1880,11,-4.4285713,-5.4797384
1880,12,-2.3765714,-2.6788235
1881,1,-2.2391428,-2.5908496
1881,2,-0.69971427,-0.86371793
1881,3,-1.594,-0.16153846
1881,4,-1.3308571,0.3576282
1881,5,2.1348571,1.5260256
1881,6,1.4991428,0.35775509
1881,7,1.6008571,0.20205128
1881,8,2.204,0.26846153
1881,9,2.0942857,-0.32730768
1881,10,2.9037142,-1.1234615
1881,11,0.16085714,-1.7577564
1881,12,3.1179999,2.2890384
1882,1,3.0882856,-0.090064101
1882,2,4.8614285,0.45544871
1882,3,3.0988571,0.099038459
1882,4,1.3037143,-0.70465407
1882,5,-1.3985714,-1.4683333
1882,6,0.65142856,-0.22056603
1882,7,-1.2448571,-0.75591193
1882,8,-0.7062857,0.16326923
1882,9,-0.60942856,-0.37653845
1882,10,2.4908571,-0.67730768
1882,11,0.23257142,-1.3915384
1882,12,-1.0565714,-0.44243589
1883,1,-0.38514285,-3.1358598
1883,2,1.4282857,-3.4991082
1883,3,-1.0294285,-0.12025477
1883,4,0.69457141,-1.0011321
1883,5,-0.80057141,-1.2211949
1883,6,0.41599999,0.5607547
1883,7,0.25171428,-0.48866241
1883,8,-0.72285713,-0.52825805
1883,9,-0.92285712,-0.60025156
1883,10,1.6802857,-2.4836477
1883,11,1.182,-0.35270967
1883,12,1.8471428,-0.092516127
1884,1,-3.3285714,-2.0680254
1884,2,2.0454285,-2.6026751
1884,3,0.81942855,-0.86318469
1884,4,-1.1194285,-1.0811875
1884,5,0.22685714,-0.031624999
1884,6,-0.72457141,0.16725
1884,7,0.14885714,-1.1055625
1884,8,-0.92571427,-0.66849999
1884,9,1.6614285,-0.55424999
1884,10,2.2228571,0.12
1884,11,-0.48514285,-0.11443038
1884,12,-0.67171427,-2.7213923
1885,1,-1.6805714,-1.9239375
1885,2,-3.2859999,-2.111656
1885,3,-2.2014285,-0.216
1885,4,0.27057142,0.5187261
1885,5,-0.79057141,-0.23535031
1885,6,0.34399999,-0.65745221
1885,7,0.41599999,-0.1234375
1885,8,-0.34999999,-0.90287498
1885,9,-0.44885713,-0.34611464
1885,10,-2.1805714,-0.98949042
1885,11,0.0097142855,1.0003846
1885,12,-0.18057142,1.4110256
1886,1,-3.7925713,-2.8086708
1886,2,-1.3788571,0.73955973
1886,3,-0.69142856,-0.98301885
1886,4,0.28799999,0.42056603
1886,5,0.91485712,1.708805
1886,6,-0.4322857,0.32672955
1886,7,-0.35142856,0.85632909
1886,8,0.27685714,0.66670885
1886,9,0.74485713,-0.45215189
1886,10,0.18228571,-0.22082278
1886,11,-0.8062857,-2.1596835
1886,12,-2.5897142,-0.73367087
1887,1,-0.82771427,-0.7463291
1887,2,3.6622856,-2.8459493
1887,3,0.61685713,1.160443
1887,4,0.43085713,0.17360759
1887,5,1.69,1.8074375
1887,6,0.27914285,0.60212499
1887,7,0.76085713,0.42012499
1887,8,0.12,-0.79762498
1887,9,0.080285712,-0.15207547
1887,10,-1.4234285,-1.3993125
1887,11,-0.29457142,-0.076645568
1887,12,-1.1231428,-1.3336709
1888,1,-0.41914285,-4.022848
1888,2,1.1834285,0.50968353
