Year,Month,Day,TminIn,TmaxIn,TminOut,TmaxOut,TavgIn,TavgOut
1958,1,1,-1.5187175,6.5776043,-7.2309484,-1.4949176,2.0809989,-4.3156304
1958,1,2,-5.7723455,2.4839563,-7.9904232,-1.3464354,-1.8471992,-4.7336268
1958,1,3,-4.9079442,4.1509409,-8.2180233,-1.9602848,-0.28596497,-4.9230509
1958,1,4,-3.9275527,4.3301158,-7.3324776,-1.7394423,0.34612501,-4.379559
1958,1,5,-2.6108882,4.9634104,-5.3502851,-0.031137247,1.1102989,-2.6885281
1958,1,6,0.78426021,5.7148476,-4.296524,1.2899588,2.9630816,-1.440107
1958,1,7,-2.0799284,4.3230162,-6.5010338,0.28836364,0.90365309,-3.2509067
1958,1,8,-7.2761955,-1.5568762,-5.5880332,0.3179701,-4.1160445,-2.2777989
1958,1,9,-6.1157255,5.7126851,-4.52317,2.7793345,-1.6236478,-0.77412593
1958,1,10,0.3841567,10.896067,-2.8490944,3.4159379,4.5543003,0.56574571
1958,1,11,1.0590508,11.665177,-2.1774633,4.139081,6.3149376,1.0881195
1958,1,12,2.6925685,10.336959,-2.798394,3.1831212,6.5244818,0.3566829
1958,1,13,6.1523952,9.1634665,-2.5543613,2.2753983,7.8041267,0.032223701
1958,1,14,4.4390731,9.2846432,-2.8741624,2.321408,7.2595534,-0.43226823
1958,1,15,4.2420225,8.4576941,-2.4267273,2.1553249,6.3446293,-0.081771433
1958,1,16,0.7763406,5.6724586,-1.7109941,3.7797873,3.6749368,1.2512686
1958,1,17,0.32010004,6.3238254,-2.2785892,4.4481559,3.5955119,0.85161752
1958,1,18,-0.11003128,5.2045631,-2.5736749,3.5502527,2.8429418,-0.033612389
1958,1,19,-1.1207836,5.5996275,-4.5094748,0.74081993,1.9806354,-2.0632935
1958,1,20,4.2087975,8.7170706,-6.1493392,-1.1541526,5.7481232,-3.6989481
1958,1,21,6.2111082,7.9531336,-5.2715826,-1.3833913,7.0116806,-3.1811438
1958,1,22,-0.81837714,5.1749978,-5.3773437,0.74815702,2.2624316,-2.3310914
1958,1,23,-0.35574472,4.4854369,-5.4392514,-0.29577363,2.1400361,-2.7848966
1958,1,24,1.5711254,4.5700822,-1.8843095,2.0629311,3.1870551,-0.25581253
1958,1,25,0.20197754,6.8707633,-0.72107631,3.1848266,3.1838722,1.3681827
1958,1,26,3.6534786,8.6940613,-1.3219249,3.5512497,6.2873192,1.0448735
1958,1,27,0.69757944,7.7510743,-2.0384979,2.7955327,4.4862089,0.28510025
1958,1,28,-0.38788208,5.1956401,-1.8882238,2.3135352,2.7875533,0.22647962
1958,1,29,0.83034015,5.4548368,-1.8669672,2.3783505,2.9675162,0.53809607
1958,1,30,1.402863,8.9625559,-2.0515304,3.5761743,4.6167221,0.85223037
1958,1,31,6.1926279,12.321968,-2.9421771,2.8742919,8.5981417,0.051177621
1958,2,1,0.19691126,9.8483562,-4.1311178,2.2258055,4.2351828,-0.95380533
1958,2,2,-2.9287808,2.8738089,-5.6460609,1.9178431,0.24875888,-1.9895704
1958,2,3,-6.5123677,0.92358899,-4.9223356,1.1663496,-2.4496541,-1.858255
1958,2,4,-4.740118,5.2803283,-2.9742842,1.9702544,-0.82186353,-0.30502081
1958,2,5,5.9201226,12.341845,-1.9168153,3.241977,8.0304928,0.48959035
1958,2,6,8.5397558,12.058409,-3.7624445,2.1278789,10.279917,-1.0202789
