Year,Month,Day,TminIn,TmaxIn,TminOut,TmaxOut,TavgIn,TavgOut
1915,1,1,-4.65188,9.3470436,-9.3731982,4.403838,2.3475818,-2.4846801
1915,1,2,-3.7831362,10.004199,-9.518668,4.0319242,3.1105315,-2.7433719
1915,1,3,-2.398533,9.4957521,-8.8802528,4.1354497,3.5486095,-2.3724015
1915,1,4,-1.1159686,9.9030241,-6.9650238,5.1258431,4.3935277,-0.91959031
1915,1,5,-0.28076972,11.257705,-6.7827867,4.8494968,5.4884676,-0.96664498
1915,1,6,3.5249208,12.348109,-7.2464123,4.0587192,7.9365151,-1.5938465
1915,1,7,0.32254919,11.561,-7.5876364,4.2495828,5.9417747,-1.6690268
1915,1,8,-2.0450694,9.4904496,-8.3937819,3.9854919,3.7226901,-2.204145
1915,1,9,-2.7144103,11.063604,-7.8482903,4.2639202,4.174597,-1.792185
1915,1,10,-1.0187283,10.40522,-7.4996674,4.4052373,4.6932457,-1.5472151
1915,1,11,1.7404444,8.0959571,-7.8089906,5.2131219,4.9182007,-1.2979343
1915,1,12,-0.60566738,7.7972729,-6.3562818,6.2098593,3.5958028,-0.073211287
1915,1,13,-2.334512,10.259027,-5.6161813,6.1011152,3.9622577,0.24246696
1915,1,14,0.51925221,13.526028,-6.2072151,6.1900853,7.0226401,-0.0085648608
1915,1,15,1.3574283,15.287663,-6.4282018,4.5067214,8.3225458,-0.96074022
1915,1,16,4.0210713,16.041896,-8.9926249,2.3381463,10.031484,-3.3272393
1915,1,17,1.895587,12.401917,-10.386869,2.1528423,7.1487521,-4.1170135
1915,1,18,0.44972525,7.7946022,-9.0037517,3.4697485,4.1221637,-2.7670016
1915,1,19,-3.0691395,7.0309037,-7.5531489,4.8717061,1.9808821,-1.3407214
1915,1,20,-3.1159726,5.2836384,-9.128309,3.3176768,1.0838329,-2.9053161
1915,1,21,-5.3406494,4.8936223,-11.822285,0.95641938,-0.22351356,-5.4329327
1915,1,22,-3.4918715,7.5093689,-14.745998,-2.1133457,2.0087487,-8.4296717
1915,1,23,-6.0497633,5.9562863,-16.100126,-1.7710904,-0.046738501,-8.935608
1915,1,24,-7.5632495,1.3244243,-14.817691,-1.6044514,-3.1194126,-8.211071
1915,1,25,-6.5344715,3.1462531,-14.218601,-1.2208058,-1.6941092,-7.7197035
1915,1,26,-6.3099168,4.1134496,-12.496826,-0.026235235,-1.0982336,-6.2615306
1915,1,27,-4.571103,5.0676497,-14.08671,-1.3210736,0.24827338,-7.703892
1915,1,28,-6.5639108,3.943664,-12.985067,-0.25089363,-1.3101234,-6.6179803
1915,1,29,-6.8461218,6.3844724,-10.825923,1.1058693,-0.2308247,-4.8600269
1915,1,30,-0.97231678,10.756897,-8.4272459,2.7772034,4.8922901,-2.8250212
1915,1,31,4.9688876,14.655943,-5.9180471,3.6192851,9.8124153,-1.149381
1915,2,1,5.9334097,14.446223,-5.9029852,4.2661315,10.189816,-0.81842687
1915,2,2,1.5985653,10.197399,-5.9456663,4.762406,5.8979823,-0.59163016
1915,2,3,-0.99237984,8.7858346,-5.1054853,4.8287044,3.8967274,-0.13839043
1915,2,4,0.87422967,11.975586,-5.5792596,4.3460228,6.4249079,-0.61661837
1915,2,5,2.3846796,12.443063,-7.2869861,4.0816409,7.4138713,-1.6026726
1915,2,6,-0.35454097,9.4275751,-7.6572073,5.7502551,4.5365171,-0.95347607
1915,2,7,-2.3363716,8.9480679,-7.2716836,6.3412544,3.3058482,-0.46521461
1915,2,8,-3.3610274,8.5833214,-7.6906547,6.371601,2.611147,-0.65952683
1915,2,9,-3.8880646,9.851926,-7.0913813,6.981571,2.9819307,-0.054905131
1915,2,10,-1.8431681,14.123552,-5.6190915,8.3778302,6.1401921,1.3793693
1915,2,11,2.8924225,16.725157,-3.4737611,8.1065765,9.8087898,2.3164077
1915,2,12,6.6173923,18.291142,-2.885611,7.3483077,12.454267,2.2313484
1915,2,13,7.694838,18.44511,-4.4227212,7.6505832,13.069974,1.613931
1915,2,14,6.5130524,16.842058,-5.3590395,7.2618929,11.677555,0.95142669
1915,2,15,4.0745888,14.375604,-6.2852702,7.4589689,9.2250963,0.58684934
1915,2,16,0.51165976,12.655005,-5.0314292,8.2269021,6.5833323,1.5977365
1915,2,17,-0.90237557,13.064809,-2.7663341,8.9797557,6.0812169,3.1067108
1915,2,18,0.15988364,14.091064,-2.7969042,8.30403,7.1254738,2.7535629
1915,2,19,2.3363317,13.965722,-3.6572362,7.6692136,8.151027,2.0059887
1915,2,20,3.4327091,13.962681,-2.79116,7.1850593,8.6976951,2.1969497
1915,2,21,4.4210728,14.526502,-3.1161977,6.8253429,9.4737874,1.8545726
1915,2,22,7.2418876,16.25044,-3.2546008,6.8907661,11.746164,1.8180826
1915,2,23,6.6089208,15.376236,-3.3531027,7.5778952,10.992578,2.1123963
1915,2,24,3.4354164,11.767724,-3.1830228,7.4205315,7.6015701,2.1187543
1915,2,25,0.63877155,10.248739,-3.5340534,7.0486391,5.4437553,1.7572928
1915,2,26,0.058074323,10.714988,-4.370942,5.5748043,5.3865314,0.60193116
1915,2,27,0.72152269,9.3237514,-5.5703268,5.1739199,5.0226371,-0.19820346
1915,2,28,1.0068964,7.4784615,-6.0792381,5.2598171,4.242679,-0.40971054
1915,3,1,-1.8197265,9.0685379,-5.9925508,4.9304369,3.6244057,-0.53105695
1915,3,2,-1.8745117,10.346267,-5.8812068,4.4394949,4.2358776,-0.72085593
1915,3,3,0.19875084,11.323354,-6.0722618,4.398824,5.7610524,-0.83671889
1915,3,4,1.9678313,10.243439,-6.463094,4.2516582,6.1056351,-1.1057179
1915,3,5,2.6612878,10.095475,-5.930564,4.4721159,6.3783812,-0.72922406
1915,3,6,0.069412428,9.8344764,-5.493651,4.8214358,4.9519444,-0.33610761
1915,3,7,-0.23957783,7.4763475,-6.5317935,5.2445426,3.6183849,-0.64362546
1915,3,8,-0.23605818,6.6040707,-7.8796859,5.1939194,3.1840062,-1.3428832
1915,3,9,-1.9892364,9.1373795,-7.8841262,5.5733406,3.5740716,-1.1553928
1915,3,10,-0.10096832,11.731902,-6.5282759,6.7689987,5.8154668,0.12036137
1915,3,11,-0.16434603,12.0585,-5.5458608,7.3733236,5.9470771,0.91373141
1915,3,12,-0.21186415,13.039868,-4.8169545,7.8584349,6.414002,1.5207402
1915,3,13,1.0932769,14.881029,-3.8921277,9.6939648,7.9871528,2.9009185
1915,3,14,0.96403442,16.141357,-2.3694499,10.590657,8.5526957,4.1106036
1915,3,15,1.6869123,14.63935,-2.0243336,10.756228,8.1631311,4.3659474
1915,3,16,1.0796001,10.433513,-3.0659201,10.136421,5.7565564,3.5352506
1915,3,17,-1.2538699,9.8696945,-3.6324508,10.331733,4.3079123,3.349641
1915,3,18,-0.32604112,12.048796,-3.1301288,10.121719,5.8613772,3.4957952
1915,3,19,1.3351959,11.466657,-4.3435322,8.498966,6.4009266,2.0777169
1915,3,20,-0.16151782,8.9826823,-5.0985572,8.3768137,4.4105822,1.6391283
1915,3,21,-2.4888035,7.1711121,-4.603778,9.9206082,2.3411543,2.6584151
1915,3,22,-3.3891858,7.321912,-3.0000719,11.858575,1.9663631,4.4292513
1915,3,23,-1.3241026,8.6846327,-2.2606041,13.398029,3.680265,5.5687123
1915,3,24,-1.2759613,13.380537,-1.3808375,13.152474,6.0522878,5.8858183
