Year,Month,Day,TminIn,TmaxIn,TminOut,TmaxOut,TavgIn,TavgOut
1948,1,1,6.2638011,7.3258686,-5.7903953,0.36717886,6.7905235,-3.217417
1948,1,2,-1.8775821,5.5258722,-3.952014,0.76414883,1.2956954,-1.4780242
1948,1,3,-0.18102567,5.7224174,-1.7045399,2.895458,2.1336272,0.55606604
1948,1,4,4.8293185,7.7155223,-1.4520137,3.7782865,6.4551797,1.2896512
1948,1,5,0.24310657,6.3948321,0.49748147,4.8550563,3.7732823,2.5873804
1948,1,6,3.3258677,7.429316,-0.95403451,5.5257635,5.5715575,2.0742481
1948,1,7,1.1982845,7.2637973,0.98939812,5.0318232,4.2051802,3.2558131
1948,1,8,7.0706944,12.084492,1.6914175,6.950006,8.793972,4.1659145
1948,1,9,10.418968,13.236214,-0.76716644,6.5550566,11.858625,2.3810661
1948,1,10,2.5810421,10.215527,-3.3297918,4.2863703,5.9939723,-0.031559136
1948,1,11,-0.18447205,4.80863,-1.6742361,2.5298045,2.4896626,0.36490512
1948,1,12,5.9120736,10.453457,-4.0257516,2.7308152,7.3724213,-1.2924181
1948,1,13,1.4637959,10.115523,-6.9035287,-0.37019572,4.8551784,-4.1232271
1948,1,14,-7.3603392,0.08448869,-8.3358507,-1.4398909,-4.206028,-4.9679227
1948,1,15,-6.6534443,1.277591,-5.2651453,0.84394604,-3.9189603,-2.6280253
1948,1,16,-1.3465413,3.112071,-9.1328211,-1.434842,0.68535221,-6.0621142
1948,1,17,-6.8051653,-0.022405904,-10.104538,-3.5893874,-3.9086137,-6.8916588
1948,1,18,-10.59827,-5.029304,-8.4318104,-2.0742366,-7.3637848,-5.6744881
1948,1,19,-6.215508,-0.32585487,-10.782315,-3.7267616,-4.0396476,-7.3941846
1948,1,20,-0.99137479,4.2603507,-5.0378728,-1.4883777,0.9491421,-3.0111065
1948,1,21,2.3051813,5.4569054,-4.0772667,1.560105,4.0474215,-1.5116113
1948,1,22,-0.8568911,4.6913853,-3.8398931,1.9530365,1.9241424,-1.4153979
1948,1,23,-5.8189592,3.0086324,-7.3631239,-0.48130774,-2.4853382,-4.4393873
1948,1,24,-9.5741348,-5.187923,-7.0701942,-2.3146403,-7.0896502,-4.8782768
1948,1,25,-7.3155117,-3.13275,-8.8661537,-2.0439324,-5.4543028,-5.9605975
1948,1,26,-5.0706849,-0.091371343,-12.26817,-4.6520171,-2.4922342,-9.1611032
1948,1,27,-2.2672358,1.1189704,-14.487364,-7.7166615,-0.7594775,-11.626255
1948,1,28,-9.546545,-2.029305,-13.454033,-8.2126179,-6.2974091,-10.617669
1948,1,29,-6.2603369,-1.1396502,-9.4479723,-3.8116119,-4.3801665,-6.6403975
1948,1,30,-2.1465483,1.2327673,-8.8499928,-1.5530223,-0.40085679,-5.3898926
1948,1,31,-2.6430974,2.1258662,-7.7429223,-1.7570641,-0.66120249,-4.986105
1948,2,1,-5.7120595,-0.18792489,-7.4580755,-0.88736743,-2.6508565,-4.3113585
1948,2,2,-3.5155079,1.7948349,-7.9843364,-0.6792866,-0.62930351,-4.8954477
1948,2,3,-0.70171773,3.4258721,-9.4580746,-3.6318126,1.6163859,-6.5782762
1948,2,4,4.6293187,9.0017271,-7.5964603,-2.7015097,6.1034546,-5.1383781
1948,2,5,3.8879375,9.5500097,-7.6994886,-1.7762563,6.4129391,-5.2267609
1948,2,6,2.0913889,7.0913882,-8.5055485,-3.5267606,4.6681099,-6.0419121
1948,2,7,4.5706935,9.8672476,-8.105545,-2.2621148,6.8017292,-5.4055486
