Year,Month,TminIn,TmaxIn,TminOut,TmaxOut,TavgIn,TavgOut
1900,1,-0.75262735,10.341314,-7.137301,3.5655841,4.7976493,-1.7797964
1900,2,-2.6152963,9.3792478,-10.104193,1.1328022,3.3858661,-4.4793733
1900,3,2.8324477,14.870308,-4.3223493,8.153619,8.854355,1.9205043
1900,4,9.2073438,22.10199,2.3386907,15.297253,15.657014,8.8203434
1900,5,13.705747,27.063197,6.5246899,21.263312,20.387057,13.898501
1900,6,18.657201,29.342863,11.427139,26.957141,24.002597,19.194692
1900,7,20.106561,31.599526,12.595531,28.383433,25.855576,20.489548
1900,8,20.442833,33.343862,12.482553,27.134872,26.89583,19.804882
1900,9,18.033171,30.253772,8.0798825,21.658034,24.145976,14.871612
1900,10,12.737304,24.831829,3.9531914,16.758718,18.78696,10.375054
1900,11,4.1647211,16.565586,-3.4411061,7.2108336,10.36487,1.9246402
1900,12,0.16621698,11.293299,-5.8489023,3.823713,5.7327039,-1.006778
1901,1,-0.4388737,11.170018,-9.4108385,1.3228795,5.368765,-4.1524925
1901,2,-2.3755113,8.6039389,-10.322611,0.52285823,3.1179391,-4.8935971
1901,3,3.3684999,16.014771,-3.8435379,7.744085,9.6941921,1.9634266
1901,4,6.6189178,19.36892,1.2145608,13.903079,12.99634,7.5614613
1901,5,12.599603,26.446366,7.1429964,21.205334,19.525362,14.124333
1901,6,18.475546,31.907586,9.7168733,23.176325,25.193962,16.449097
1901,7,20.920634,34.951792,13.970362,29.626721,27.938711,21.782745
1901,8,19.266624,31.746624,12.936851,28.34071,25.509145,20.637692
1901,9,14.956674,27.939085,7.3351271,20.6797,21.450493,14.009872
1901,10,8.5801966,23.677655,3.5820328,17.93032,16.131548,10.762501
1901,11,1.2400084,14.99925,-2.7717675,8.7894073,8.1221351,3.0127698
1901,12,-2.7673235,8.7464558,-7.4188207,2.4615756,2.9935541,-2.4721399
1902,1,-2.5892399,9.2540446,-9.6747405,1.1663172,3.3362079,-4.2474883
1902,2,-3.8421024,6.618237,-7.5419243,2.5609758,1.3928935,-2.5003959
1902,3,4.920281,16.555734,-2.5099694,8.1118971,10.740743,2.8047361
1902,4,8.1418847,21.348645,1.1568425,13.857196,14.748042,7.5050356
1902,5,15.912843,28.833506,6.9127385,20.031423,22.375902,13.474349
1902,6,17.969065,31.00001,9.2961605,23.381711,24.487253,16.341634
1902,7,19.922836,32.693941,12.045405,26.833775,26.310926,19.442219
1902,8,19.335823,32.004882,11.467322,26.84388,25.672957,19.158046
1902,9,14.406857,26.764138,6.8814613,22.402106,20.588091,14.63961
1902,10,9.6689558,23.16839,2.7769002,17.011697,16.421483,9.8989812
1902,11,7.3527773,18.454099,-1.8904789,8.3947081,12.905852,3.2593984
1902,12,-0.44231775,9.5475578,-9.0473651,0.8532736,4.5561921,-4.0904799
1903,1,-1.4443868,8.8297834,-8.5097922,1.5421044,3.6963731,-3.4809049
1903,2,-0.32399984,10.702323,-11.488417,0.2646098,5.1929041,-5.5913844
1903,3,7.3250237,17.724993,-3.5677767,7.7054133,12.527582,2.0739357
1903,4,8.1154899,21.372946,0.6987685,13.909671,14.746701,7.3068812
1903,5,14.016384,26.009691,5.4986669,19.749833,20.015775,12.626889
1903,6,15.370117,27.502281,10.237097,24.132681,21.438724,17.188433
1903,7,19.634702,31.941095,12.035618,26.578507,25.790578,19.308481
1903,8,19.253293,31.326239,11.381576,25.903806,25.292176,18.646502
1903,9,13.985194,28.482657,6.9116597,21.280678,21.236234,14.098596
1903,10,8.4878252,22.777978,2.9759996,17.202465,15.635428,10.091508
1903,11,1.8568044,14.572808,-3.6868701,7.2260878,8.2175176,1.7744932
1903,12,-3.8884102,8.9847438,-8.4543093,2.2242625,2.5519691,-3.1072233
1904,1,-3.9389809,8.1687229,-10.739381,0.2110099,2.1189467,-5.2576385
1904,2,-0.63666597,11.06555,-10.763446,0.91857502,5.2182928,-4.9159157
1904,3,5.1601566,17.763252,-4.7092219,6.4086154,11.464186,0.85479946
1904,4,6.6576521,19.351579,0.94338367,14.108666,13.007138,7.4033234
1904,5,12.612097,26.08821,6.4659785,20.534579,19.352783,13.494292
1904,6,17.39854,29.871272,9.8385371,24.20386,23.637501,17.023614
1904,7,18.538606,30.895656,12.504209,27.295451,24.719785,19.90244
1904,8,18.273288,30.661451,11.361941,27.324923,24.469602,19.263625
1904,9,16.308652,29.532354,7.7079439,23.062714,22.923314,15.387846
1904,10,8.556652,23.907851,3.2822813,16.907885,16.234827,10.097246
1904,11,2.4069037,16.615242,-2.1573652,11.048779,9.5134689,4.4486503
1904,12,-0.90770765,10.657144,-8.3246611,2.5438063,4.8780347,-2.8843229
1905,1,-4.8984173,6.1657052,-10.708903,-0.53849634,0.63858182,-5.6155998
1905,2,-5.1253997,5.6355591,-11.60305,0.8641245,0.26001791,-5.3644689
1905,3,6.4077628,19.19493,-1.8359231,10.354825,12.803697,4.2629972
1905,4,9.1532451,21.596914,1.061093,14.838264,15.377651,7.9521129
1905,5,15.433972,26.951743,5.6070783,18.549836,21.195585,12.080821
