Year,Month,TminIn,TmaxIn,TminOut,TmaxOut,TavgIn,TavgOut
1900,1,-0.32873825,10.696705,-6.567812,4.5392757,5.1868909,-1.0245152
1900,2,-2.2133645,9.634939,-9.6998347,2.001751,3.714813,-3.8435041
1900,3,3.133095,15.099867,-3.8543066,9.0372339,9.1192047,2.5955213
1900,4,9.4735009,22.296836,2.8021869,16.111706,15.886162,9.4654936
1900,5,13.957593,27.194085,7.0776286,22.081121,20.578332,14.607243
1900,6,18.925559,29.454778,11.880019,27.638689,24.192476,19.761724
1900,7,20.323449,31.688398,12.955647,29.077804,26.008744,21.019309
1900,8,20.739646,33.537054,12.943569,27.946277,27.137766,20.447098
1900,9,18.342249,30.470783,8.5204135,22.473285,24.408901,15.499512
1900,10,13.067029,25.106728,4.3432636,17.818195,19.089185,11.083163
1900,11,4.5814701,16.851925,-3.1054416,8.1133735,10.719063,2.5080705
1900,12,0.58371348,11.566732,-5.4480127,4.8775116,6.0789252,-0.27979779
1901,1,-0.12363371,11.530484,-8.4456658,2.6167488,5.7061612,-2.9088738
1901,2,-2.1153764,8.941654,-9.6016608,1.6843707,3.4169609,-3.953533
1901,3,3.5463735,16.376163,-3.2327026,8.9523173,9.9688624,2.8629188
1901,4,6.9039731,19.723459,1.8901874,14.913347,13.309566,8.4046735
1901,5,12.90795,26.67099,7.7211826,22.060562,19.792834,14.893785
1901,6,18.833256,32.053162,10.225271,23.867305,25.44434,17.048123
1901,7,21.28173,35.158583,14.48726,30.367574,28.222654,22.425498
1901,8,19.624331,32.026822,13.660282,29.194353,25.826624,21.427133
1901,9,15.338325,28.278802,7.9172387,21.713004,21.808979,14.817727
1901,10,9.0131781,24.019665,4.345119,18.875966,16.518732,11.614338
1901,11,1.7175736,15.411188,-2.0042121,10.011253,8.5670934,4.0070241
1901,12,-2.4609098,9.0799909,-6.8340504,3.6610813,3.3134696,-1.5831033
1902,1,-2.3062739,9.6151575,-9.1639325,2.3800424,3.6580253,-3.3852401
1902,2,-3.656888,6.9622768,-6.7610322,3.7606634,1.6585226,-1.496894
1902,3,5.1882986,16.940706,-2.0604643,9.1323877,11.066846,3.5372606
1902,4,8.3554673,21.733218,1.6140147,14.870563,15.043953,8.2445953
1902,5,16.195584,29.136858,7.2839544,20.957503,22.668551,14.122996
1902,6,18.278392,31.313418,9.6537616,24.279461,24.798187,16.969157
1902,7,20.145236,33.041757,12.347902,27.716706,26.597497,20.034106
1902,8,19.589533,32.394683,11.897641,27.711908,25.985427,19.807035
1902,9,14.791294,27.207344,7.2098587,23.313004,20.996091,15.265218
1902,10,10.113159,23.657839,3.2761846,17.913666,16.887718,10.597696
1902,11,7.7795509,18.945539,-1.3205028,9.5308803,13.361209,4.1086493
1902,12,-0.18769093,9.9951665,-8.5691677,1.864696,4.9002445,-3.3298086
1903,1,-1.1385453,9.2746702,-7.8073213,2.8023888,4.0786704,-2.4919785
1903,2,-0.16711878,11.158301,-11.031735,1.2024035,5.4900304,-4.9080625
1903,3,7.5694318,18.256683,-3.064345,8.6422036,12.912671,2.8251025
1903,4,8.3530121,21.843223,1.0228914,14.903098,15.079073,7.9655934
1903,5,14.244038,26.359885,5.7810909,20.618889,20.300599,13.202274
1903,6,15.640589,27.819884,10.467922,24.823759,21.73265,17.651585
1903,7,19.89399,32.285942,12.292631,27.222902,26.092422,19.760565
1903,8,19.60174,31.734561,11.858535,26.699057,25.669609,19.281148
1903,9,14.362483,28.935813,7.2594419,22.160653,21.652483,14.664181
1903,10,8.808359,23.182862,3.3285931,18.15328,15.997088,10.743969
1903,11,2.2721556,15.052474,-3.2903348,8.3223057,8.6525947,2.5198212
1903,12,-3.6043672,9.4385704,-7.967559,3.2850318,2.9229368,-2.3357208
1904,1,-3.5894818,8.6393758,-10.561052,0.72403149,2.5301275,-4.9111773
1904,2,-0.40357314,11.483616,-10.681682,1.2658115,5.5432657,-4.7048681
1904,3,5.398238,18.309266,-4.7688871,6.8010089,11.853424,1.020571
1904,4,6.9041548,19.885065,1.2602462,14.608225,13.396118,7.9365051
1904,5,12.929608,26.498139,6.5397485,21.124969,19.716277,13.835438
1904,6,17.733865,30.236035,9.8016796,24.580725,23.987533,17.193523
1904,7,18.817866,31.27091,12.387731,27.673549,25.046675,20.04119
1904,8,18.606755,31.087871,11.635505,27.803653,24.849883,19.721311
1904,9,16.689759,30.004604,7.7864978,23.602466,23.351076,15.69214
1904,10,9.0236425,24.451588,3.4603545,17.402223,16.736625,10.433971
1904,11,2.9277093,17.145693,-1.8830783,11.687066,10.036829,4.9049334
1904,12,-0.54014359,11.127428,-8.0465018,3.1689839,5.2967282,-2.4325706
1905,1,-4.5634674,6.6291986,-10.371344,0.16780729,1.0364877,-5.0797212
1905,2,-4.8441056,6.1598882,-11.297164,1.6428573,0.66244967,-4.8276041
1905,3,6.7981696,19.7567,-1.6067212,11.204806,13.279406,4.8038971
1905,4,9.4456085,22.138671,1.222635,15.607882,15.793358,8.4173344
1905,5,15.777983,27.346151,5.6514967,19.217412,21.56475,12.436741
1905,6,19.063322,31.306436,10.07134,24.015612,25.189505,17.045688
1905,7,19.577099,30.907718,13.086875,28.509841,25.244898,20.80062
1905,8,19.744477,31.71518,12.452058,28.741177,25.732547,20.550568
1905,9,16.92646,29.722531,8.8519451,24.475178,23.326705,16.666217
1905,10,9.9808301,22.423831,1.4689863,15.358339,16.205034,8.4163129
1905,11,4.5042315,17.751323,-2.7044858,10.036493,11.130216,3.6625428
1905,12,-0.78896819,9.5851305,-7.3915973,3.4250249,4.4013134,-1.9904097
1906,1,0.29330263,11.857363,-7.4356398,3.757298,6.0779143,-1.8355395
1906,2,-1.7661308,11.502159,-7.6027341,4.4079997,4.8711286,-1.5916413
1906,3,1.9628363,12.556399,-6.4628943,5.2601259,7.26568,-0.58100241
1906,4,9.6950103,23.941523,2.3255737,16.838268,16.82829,9.5846476
1906,5,13.612524,27.127591,6.1810087,19.746361,20.372412,12.966354
1906,6,18.340404,30.953734,9.922273,23.906605,24.649578,16.916788
1906,7,19.162777,31.078844,13.389108,29.310118,25.12327,21.352103
1906,8,20.064164,32.072872,12.830438,28.160283,26.077499,20.497784
1906,9,18.490956,30.034507,8.9869813,24.574479,24.265297,16.78324
1906,10,8.7649819,21.65182,3.0205989,17.175423,15.205259,10.100363
1906,11,3.7779282,17.062011,-2.5449564,7.8510128,10.424579,2.6568423
1906,12,2.0163317,12.585481,-6.8933229,3.2161038,7.3036141,-1.8327985
1907,1,3.1975379,14.505096,-12.683066,-1.6050058,8.8543009,-7.1502993
1907,2,-0.036930028,12.521382,-7.9674051,3.9542044,6.2451377,-2.0214284
1907,3,9.0825726,22.139016,-2.9130038,9.113916,15.614547,3.1130399
1907,4,6.1897248,18.524471,-0.3918997,12.800464,12.359375,6.2071043
1907,5,12.06529,24.310437,3.9419888,18.17338,18.190569,11.060153
1907,6,16.85119,29.488733,9.3111807,23.382926,23.172228,16.348938
1907,7,20.280972,32.706091,12.59201,27.929233,26.496177,20.263034
1907,8,19.650296,32.189248,11.095819,27.019818,25.922121,19.060313
1907,9,16.115594,29.16747,7.7357265,22.644827,22.644889,15.189762
