Year,Month,Day,UWnd
1900,1,1,10.780285
1900,1,2,13.292874
1900,1,3,15.369098
1900,1,4,18.964869
1900,1,5,21.725996
1900,1,6,25.647114
1900,1,7,27.512606
1900,1,8,27.223303
1900,1,9,23.758488
1900,1,10,21.021152
1900,1,11,21.211235
1900,1,12,24.374601
1900,1,13,27.1271
1900,1,14,29.353949
1900,1,15,30.387213
1900,1,16,31.158962
1900,1,17,30.455502
1900,1,18,28.252216
1900,1,19,29.306133
1900,1,20,30.207172
1900,1,21,30.227957
1900,1,22,29.301849
1900,1,23,28.387737
1900,1,24,29.09511
1900,1,25,28.101913
1900,1,26,25.498384
1900,1,27,19.501127
1900,1,28,18.04496
1900,1,29,18.916754
1900,1,30,15.152577
1900,1,31,13.108182
1900,2,1,13.086644
1900,2,2,12.3636
1900,2,3,14.678346
1900,2,4,15.00176
1900,2,5,16.285789
1900,2,6,17.462843
1900,2,7,15.670634
1900,2,8,15.868779
1900,2,9,15.372196
1900,2,10,18.16778
1900,2,11,20.656437
1900,2,12,18.996845
1900,2,13,19.064035
1900,2,14,19.169228
1900,2,15,17.842119
1900,2,16,17.774927
1900,2,17,18.922188
1900,2,18,21.965235
1900,2,19,23.311903
1900,2,20,24.390678
1900,2,21,25.306446
1900,2,22,24.676489
1900,2,23,21.937742
1900,2,24,20.191383
1900,2,25,18.896091
1900,2,26,14.4346
1900,2,27,14.15285
1900,2,28,14.696216
1900,3,1,14.490377
1900,3,2,12.990255
1900,3,3,11.914336
1900,3,4,12.552565
1900,3,5,13.12721
1900,3,6,16.71232
1900,3,7,20.333735
1900,3,8,22.959362
1900,3,9,22.771297
1900,3,10,23.364902
1900,3,11,21.615322
1900,3,12,15.205037
1900,3,13,13.262382
1900,3,14,10.436198
1900,3,15,5.5109878
1900,3,16,6.6168947
1900,3,17,7.535542
1900,3,18,10.268585
1900,3,19,10.518179
1900,3,20,11.620209
1900,3,21,11.740774
1900,3,22,10.183516
1900,3,23,10.107903
1900,3,24,9.4989262
1900,3,25,7.3772135
