Year,Month,Day,UWnd
1900,1,1,18.921938
1900,1,2,21.287666
1900,1,3,20.122236
1900,1,4,18.603119
1900,1,5,20.703424
1900,1,6,23.259653
1900,1,7,24.859514
1900,1,8,26.286848
1900,1,9,25.762884
1900,1,10,23.595333
1900,1,11,24.055012
1900,1,12,24.322746
1900,1,13,25.529343
1900,1,14,26.551863
1900,1,15,25.207905
1900,1,16,25.746284
1900,1,17,26.279972
1900,1,18,26.430595
1900,1,19,28.042828
1900,1,20,29.27426
1900,1,21,27.506392
1900,1,22,23.883434
1900,1,23,22.409327
1900,1,24,24.641041
1900,1,25,26.844368
1900,1,26,24.738363
1900,1,27,19.028597
1900,1,28,18.130581
1900,1,29,21.718533
1900,1,30,22.6411
1900,1,31,20.578306
1900,2,1,18.652534
1900,2,2,15.717873
1900,2,3,15.805977
1900,2,4,17.920435
1900,2,5,18.645378
1900,2,6,14.224013
1900,2,7,11.597242
1900,2,8,12.41844
1900,2,9,11.404611
1900,2,10,12.809294
1900,2,11,12.310861
1900,2,12,10.299673
1900,2,13,11.710624
1900,2,14,13.555166
1900,2,15,14.889103
1900,2,16,17.431168
1900,2,17,17.684637
1900,2,18,16.119778
1900,2,19,12.633548
1900,2,20,13.340014
1900,2,21,16.817451
1900,2,22,18.384022
1900,2,23,16.431728
1900,2,24,15.797506
1900,2,25,14.529215
1900,2,26,13.040545
1900,2,27,13.125299
1900,2,28,15.619151
1900,3,1,17.110912
1900,3,2,15.058418
1900,3,3,13.110143
1900,3,4,11.294875
1900,3,5,11.163298
1900,3,6,12.480503
1900,3,7,15.178005
1900,3,8,17.372267
1900,3,9,18.812424
1900,3,10,19.78867
1900,3,11,21.978907
1900,3,12,20.780239
1900,3,13,16.052876
1900,3,14,10.468102
1900,3,15,6.5311151
1900,3,16,6.8353624
1900,3,17,6.6670818
1900,3,18,4.5813122
1900,3,19,7.1355925
1900,3,20,10.929029
1900,3,21,11.681363
1900,3,22,10.832714
1900,3,23,10.061804
1900,3,24,10.970861
1900,3,25,13.000868
1900,3,26,13.451984
1900,3,27,12.871814
1900,3,28,13.29133
1900,3,29,13.964462
1900,3,30,14.554874
1900,3,31,14.681067
1900,4,1,14.051695
1900,4,2,13.589367
1900,4,3,15.027559
