Year,Month,Day,UWnd
1940,1,1,4.9842003
1940,1,2,5.5052697
1940,1,3,8.417059
1940,1,4,8.2507604
1940,1,5,10.103543
1940,1,6,12.61151
1940,1,7,14.839446
1940,1,8,16.44563
1940,1,9,17.116731
1940,1,10,18.896062
1940,1,11,17.34319
1940,1,12,13.277932
1940,1,13,11.420681
1940,1,14,13.418125
1940,1,15,15.541601
1940,1,16,13.696966
1940,1,17,10.521636
1940,1,18,11.014773
1940,1,19,12.421852
1940,1,20,12.214008
1940,1,21,14.250939
1940,1,22,13.122112
1940,1,23,15.058829
1940,1,24,16.826189
1940,1,25,16.264489
1940,1,26,16.065643
1940,1,27,15.949229
1940,1,28,15.012067
1940,1,29,12.312755
1940,1,30,11.520248
1940,1,31,9.9787439
1940,2,1,8.4089707
1940,2,2,9.2082468
1940,2,3,11.565462
1940,2,4,14.78729
1940,2,5,17.723798
1940,2,6,18.786536
1940,2,7,19.834377
1940,2,8,21.56922
1940,2,9,21.382818
1940,2,10,18.438124
1940,2,11,17.153862
1940,2,12,13.466229
1940,2,13,9.4032706
1940,2,14,6.4590504
1940,2,15,8.0392991
1940,2,16,10.115724
1940,2,17,12.559734
1940,2,18,14.59892
1940,2,19,15.046577
1940,2,20,14.90816
1940,2,21,16.850867
1940,2,22,18.831284
1940,2,23,20.108341
1940,2,24,20.33495
1940,2,25,20.50325
1940,2,26,22.364445
1940,2,27,21.096406
1940,2,28,16.938025
1940,2,29,16.672555
1940,3,1,16.728201
1940,3,2,16.190789
1940,3,3,12.743728
1940,3,4,9.5744001
1940,3,5,11.361511
1940,3,6,11.031835
1940,3,7,10.866649
1940,3,8,10.554204
1940,3,9,9.654531
1940,3,10,11.216036
1940,3,11,10.108951
1940,3,12,10.947869
1940,3,13,13.315478
1940,3,14,17.214336
1940,3,15,18.379966
1940,3,16,16.513551
1940,3,17,16.052416
1940,3,18,16.858667
1940,3,19,15.742288
1940,3,20,17.103348
1940,3,21,17.61732
1940,3,22,19.072318
1940,3,23,18.988044
1940,3,24,15.675556
1940,3,25,14.961671
1940,3,26,17.253126
1940,3,27,17.634303
1940,3,28,18.571183
1940,3,29,20.042971
1940,3,30,20.534703
1940,3,31,20.233567
1940,4,1,18.729559
1940,4,2,17.208388
1940,4,3,17.260349
1940,4,4,17.58532
1940,4,5,16.870531
1940,4,6,17.571866
1940,4,7,17.788643
1940,4,8,16.997198
1940,4,9,15.990986
1940,4,10,18.272247
1940,4,11,18.127465
1940,4,12,17.824649
1940,4,13,14.397609
1940,4,14,9.8163219
1940,4,15,11.454483
1940,4,16,14.506062
1940,4,17,15.647496
1940,4,18,13.83381
1940,4,19,13.690156
1940,4,20,14.571346
1940,4,21,12.771891
1940,4,22,10.156693
1940,4,23,10.146359
1940,4,24,10.667525
1940,4,25,12.879654
1940,4,26,14.235221
1940,4,27,14.23127
1940,4,28,15.676408
1940,4,29,18.761565
1940,4,30,20.952122
1940,5,1,20.381907
1940,5,2,18.058691
1940,5,3,15.02758
1940,5,4,13.182441
1940,5,5,14.751604
1940,5,6,14.798537
1940,5,7,15.020369
1940,5,8,15.762308
1940,5,9,13.871171
1940,5,10,12.282542
1940,5,11,12.966062
1940,5,12,16.099484
1940,5,13,17.448512
1940,5,14,15.535356
1940,5,15,15.205552
1940,5,16,14.509197
1940,5,17,13.815247
1940,5,18,13.461871
1940,5,19,13.513918
1940,5,20,12.013032
1940,5,21,11.172491
1940,5,22,10.836764
1940,5,23,8.1388643
1940,5,24,6.4596733
1940,5,25,6.8974645
1940,5,26,7.8025395
1940,5,27,8.818595
1940,5,28,10.558887
1940,5,29,12.300823
1940,5,30,14.246147
1940,5,31,13.221693
1940,6,1,14.212344
1940,6,2,15.517635
1940,6,3,16.65231
1940,6,4,17.101122
1940,6,5,16.284238
1940,6,6,15.736109
1940,6,7,14.857057
1940,6,8,15.240539
1940,6,9,15.471588
1940,6,10,16.289572
1940,6,11,16.578712
1940,6,12,16.089215
1940,6,13,18.551373
1940,6,14,19.931652
1940,6,15,18.922635
1940,6,16,18.859076
1940,6,17,17.39772
1940,6,18,15.482968
1940,6,19,14.654459
1940,6,20,12.489964
1940,6,21,11.331592
1940,6,22,10.814464
1940,6,23,11.109541
1940,6,24,13.152313
1940,6,25,15.217235
1940,6,26,15.771713
1940,6,27,15.831165
1940,6,28,16.210133
1940,6,29,16.878044
1940,6,30,15.80225
1940,7,1,13.298169
1940,7,2,13.229418
1940,7,3,14.630684
1940,7,4,16.123298
1940,7,5,17.598825
1940,7,6,17.7042
1940,7,7,17.446346
1940,7,8,16.519323
1940,7,9,15.399506
1940,7,10,14.82341
1940,7,11,13.194574
1940,7,12,12.049882
1940,7,13,12.202851
1940,7,14,11.890221
1940,7,15,13.435411
1940,7,16,15.420807
1940,7,17,16.557395
1940,7,18,16.091031
1940,7,19,15.453299
1940,7,20,14.670369
1940,7,21,15.183987
1940,7,22,16.879572
1940,7,23,18.746153
1940,7,24,20.234892
1940,7,25,19.771768
1940,7,26,19.032435
1940,7,27,18.680083
1940,7,28,18.162209
1940,7,29,17.591302
1940,7,30,16.89636
1940,7,31,15.768986
1940,8,1,15.757564
1940,8,2,16.326565
1940,8,3,15.856924
1940,8,4,15.089628
1940,8,5,15.898715
1940,8,6,16.738304
1940,8,7,15.069388
1940,8,8,13.796456
1940,8,9,12.78711
1940,8,10,13.279526
1940,8,11,14.297741
1940,8,12,14.166685
1940,8,13,13.445098
1940,8,14,12.93722
1940,8,15,13.136641
1940,8,16,12.89406
1940,8,17,12.640576
1940,8,18,12.550635
1940,8,19,11.224591
1940,8,20,9.3626288
1940,8,21,9.3950167
1940,8,22,10.632042
1940,8,23,12.779883
1940,8,24,14.270598
1940,8,25,14.813638
1940,8,26,14.922593
1940,8,27,14.455937
1940,8,28,13.490046
1940,8,29,12.943404
1940,8,30,13.60814
1940,8,31,13.482732
1940,9,1,13.403528
1940,9,2,13.082438
1940,9,3,12.961818
1940,9,4,12.513601
1940,9,5,11.766867
1940,9,6,12.078113
1940,9,7,11.995082
1940,9,8,10.421994
1940,9,9,8.4869532
1940,9,10,8.1276622
1940,9,11,9.5064958
1940,9,12,10.780426
1940,9,13,12.27155
1940,9,14,12.861318
1940,9,15,14.035756
1940,9,16,13.269555
1940,9,17,13.601996
1940,9,18,15.079043
1940,9,19,16.268779
1940,9,20,15.915155
1940,9,21,14.346129
1940,9,22,14.907821
1940,9,23,14.158791
1940,9,24,13.316646
1940,9,25,13.1259
1940,9,26,11.086294
1940,9,27,8.0083324
1940,9,28,8.2675745
1940,9,29,10.272422
1940,9,30,11.685056
1940,10,1,12.417603
1940,10,2,13.308986
1940,10,3,14.077026
1940,10,4,15.686018
1940,10,5,19.695785
1940,10,6,21.780017
1940,10,7,22.412005
1940,10,8,21.200244
1940,10,9,20.74027
1940,10,10,21.642563
1940,10,11,23.339045
1940,10,12,23.362224
1940,10,13,22.842743
1940,10,14,21.486889
1940,10,15,22.772923
1940,10,16,23.454149
1940,10,17,23.194677
1940,10,18,22.524923
1940,10,19,18.177161
1940,10,20,19.102417
1940,10,21,20.402928
1940,10,22,19.34701
1940,10,23,18.383162
1940,10,24,16.833383
1940,10,25,16.082106
1940,10,26,16.006423
1940,10,27,14.15561
1940,10,28,11.601128
1940,10,29,13.754039
1940,10,30,16.34882
1940,10,31,17.541416
1940,11,1,20.396249
1940,11,2,21.704794
1940,11,3,22.793618
1940,11,4,23.234122
1940,11,5,22.292821
1940,11,6,20.884333
1940,11,7,20.235746
1940,11,8,20.020607
1940,11,9,22.506392
1940,11,10,24.522358
1940,11,11,25.972346
1940,11,12,23.586432
1940,11,13,20.859176
1940,11,14,22.155357
1940,11,15,25.328967
1940,11,16,28.659759
1940,11,17,26.455333
1940,11,18,25.416647
1940,11,19,26.727287
1940,11,20,28.14685
1940,11,21,27.74513
1940,11,22,26.86574
1940,11,23,28.421565
1940,11,24,27.013993
1940,11,25,25.840085
1940,11,26,26.189097
1940,11,27,24.036798
1940,11,28,24.345541
1940,11,29,24.426135
1940,11,30,24.578901
1940,12,1,29.622224
1940,12,2,30.825724
1940,12,3,27.281788
1940,12,4,30.817429
1940,12,5,32.235567
1940,12,6,33.155951
1940,12,7,29.887119
1940,12,8,28.46969
1940,12,9,28.29816
1940,12,10,25.823428
1940,12,11,21.239063
1940,12,12,21.377295
1940,12,13,22.745313
1940,12,14,24.886309
1940,12,15,25.09665
1940,12,16,23.849013
1940,12,17,22.61507
1940,12,18,18.981225
1940,12,19,17.040322
1940,12,20,17.676233
1940,12,21,16.291268
1940,12,22,16.433065
1940,12,23,13.78348
1940,12,24,12.491976
1940,12,25,10.238924
1940,12,26,9.2569638
1940,12,27,12.806047
1940,12,28,16.322236
1940,12,29,18.202341
1940,12,30,18.927671
1940,12,31,19.327287
1941,1,1,17.820385
1941,1,2,17.062078
1941,1,3,15.662383
1941,1,4,15.02342
1941,1,5,14.990927
1941,1,6,12.505231
1941,1,7,11.325971
1941,1,8,9.7391004
1941,1,9,10.126087
1941,1,10,12.063787
1941,1,11,13.929358
1941,1,12,14.75614
1941,1,13,10.381882
1941,1,14,7.7368537
1941,1,15,9.2629348
1941,1,16,13.626766
1941,1,17,17.612179
1941,1,18,18.950816
1941,1,19,17.089944
1941,1,20,14.310558
1941,1,21,12.982657
1941,1,22,16.153003
1941,1,23,19.547487
1941,1,24,22.987473
1941,1,25,23.47214
1941,1,26,22.772397
1941,1,27,20.678513
1941,1,28,17.74486
1941,1,29,18.438069
1941,1,30,16.017173
1941,1,31,15.41
1941,2,1,16.784833
1941,2,2,18.373374
1941,2,3,16.247015
1941,2,4,15.830638
1941,2,5,12.420176
1941,2,6,9.0581806
1941,2,7,10.657077
1941,2,8,15.062785
1941,2,9,19.87484
1941,2,10,25.687647
1941,2,11,25.367603
1941,2,12,20.54201
1941,2,13,20.431485
1941,2,14,17.476959
1941,2,15,17.229445
1941,2,16,12.74886
1941,2,17,7.5912994
1941,2,18,8.2120028
1941,2,19,8.1324688
1941,2,20,7.5123337
1941,2,21,10.660175
1941,2,22,13.978676
1941,2,23,14.251313
