Year,Month,Day,UWnd
1958,1,1,18.674648
1958,1,2,17.847687
1958,1,3,20.051357
1958,1,4,23.971029
1958,1,5,27.313114
1958,1,6,23.836823
1958,1,7,21.527445
1958,1,8,25.47184
1958,1,9,29.587133
1958,1,10,30.986982
1958,1,11,27.827539
1958,1,12,23.758503
1958,1,13,24.473677
1958,1,14,21.419601
1958,1,15,18.477215
1958,1,16,16.526731
1958,1,17,14.650167
1958,1,18,11.871351
1958,1,19,10.421395
1958,1,20,11.407883
1958,1,21,13.177067
1958,1,22,13.847855
1958,1,23,14.733542
1958,1,24,14.548789
1958,1,25,12.354098
1958,1,26,12.20775
1958,1,27,10.883295
1958,1,28,13.694059
1958,1,29,15.347071
1958,1,30,15.01096
1958,1,31,13.016987
1958,2,1,11.958842
1958,2,2,8.9911098
1958,2,3,6.2281523
1958,2,4,6.1912537
1958,2,5,9.6589241
1958,2,6,13.202812
1958,2,7,13.3304
1958,2,8,12.95895
1958,2,9,10.712708
1958,2,10,7.5520039
1958,2,11,7.9907703
1958,2,12,11.401897
1958,2,13,14.954386
1958,2,14,17.780296
1958,2,15,13.4988
1958,2,16,11.457864
1958,2,17,9.2412786
1958,2,18,8.0690193
1958,2,19,9.9381733
1958,2,20,15.59552
1958,2,21,18.091259
1958,2,22,20.607395
1958,2,23,22.391867
1958,2,24,21.163094
1958,2,25,20.368935
1958,2,26,16.118526
1958,2,27,14.687668
1958,2,28,15.011503
1958,3,1,14.703525
1958,3,2,12.72553
1958,3,3,11.926624
1958,3,4,11.439333
1958,3,5,11.282424
1958,3,6,11.674872
1958,3,7,11.269946
1958,3,8,6.6771789
1958,3,9,4.5494471
1958,3,10,3.9314404
1958,3,11,5.6983838
1958,3,12,7.006803
1958,3,13,8.8183327
1958,3,14,9.4915905
1958,3,15,9.5537834
1958,3,16,9.1983061
1958,3,17,10.137036
1958,3,18,11.829673
1958,3,19,12.573789
1958,3,20,12.927705
1958,3,21,11.517717
1958,3,22,9.839757
1958,3,23,8.3866291
1958,3,24,7.6439252
1958,3,25,8.099308
1958,3,26,8.7691889
1958,3,27,10.204947
1958,3,28,10.508227
1958,3,29,11.034771
1958,3,30,14.234349
1958,3,31,16.363056
1958,4,1,13.897223
1958,4,2,9.1520195
1958,4,3,5.59622
1958,4,4,6.9155083
1958,4,5,7.6212935
1958,4,6,7.6410418
1958,4,7,10.648405
1958,4,8,11.879263
1958,4,9,13.30981
1958,4,10,14.709373
1958,4,11,13.775503
1958,4,12,12.409039
1958,4,13,12.975258
1958,4,14,14.082397
1958,4,15,15.016518
1958,4,16,18.610411
1958,4,17,21.847652
1958,4,18,23.573097
1958,4,19,23.107452
1958,4,20,22.06498
1958,4,21,21.400467
1958,4,22,19.520088
1958,4,23,18.311356
1958,4,24,19.367634
1958,4,25,20.095526
1958,4,26,18.976818
1958,4,27,16.981886
1958,4,28,16.580435
1958,4,29,15.958408
1958,4,30,15.269103
1958,5,1,17.5504
1958,5,2,17.270947
1958,5,3,15.1131
1958,5,4,12.252853
1958,5,5,13.802504
1958,5,6,16.63258
1958,5,7,16.514906
1958,5,8,16.425961
1958,5,9,16.685274
1958,5,10,18.417164
1958,5,11,19.466127
1958,5,12,19.075373
1958,5,13,17.022556
1958,5,14,15.616401
1958,5,15,16.171015
1958,5,16,17.117039
1958,5,17,17.219389
1958,5,18,16.039515
1958,5,19,15.393414
1958,5,20,15.91403
1958,5,21,16.315287
1958,5,22,15.311399
1958,5,23,13.749035
1958,5,24,13.494638
1958,5,25,13.862732
1958,5,26,14.225121
1958,5,27,14.191879
1958,5,28,14.835502
1958,5,29,15.626085
1958,5,30,13.417747
1958,5,31,11.57794
1958,6,1,9.8085842
1958,6,2,9.2335033
1958,6,3,9.7329035
1958,6,4,11.557497
1958,6,5,12.895504
1958,6,6,12.114636
1958,6,7,14.218224
1958,6,8,16.55228
1958,6,9,17.589523
1958,6,10,18.205647
1958,6,11,16.745066
1958,6,12,16.2724
1958,6,13,16.909704
1958,6,14,18.414967
1958,6,15,15.25922
1958,6,16,12.390762
1958,6,17,13.372667
1958,6,18,14.522253
1958,6,19,16.489588
1958,6,20,18.093025
1958,6,21,17.829393
1958,6,22,17.259588
1958,6,23,15.916909
1958,6,24,15.595976
1958,6,25,15.476446
1958,6,26,15.817846
1958,6,27,17.113926
1958,6,28,17.407501
1958,6,29,16.497141
1958,6,30,16.86326
1958,7,1,14.660727
1958,7,2,13.07313
1958,7,3,12.214475
1958,7,4,10.202558
1958,7,5,9.4620104
1958,7,6,10.298559
1958,7,7,12.682348
1958,7,8,14.851063
1958,7,9,17.484447
1958,7,10,18.681686
1958,7,11,19.125406
1958,7,12,19.159178
1958,7,13,17.043528
1958,7,14,15.95644
1958,7,15,14.850682
1958,7,16,15.387447
1958,7,17,14.668221
1958,7,18,14.399142
1958,7,19,14.877643
1958,7,20,15.179181
1958,7,21,14.9301
1958,7,22,15.960625
1958,7,23,15.24421
1958,7,24,14.153761
1958,7,25,13.736011
1958,7,26,13.827803
1958,7,27,15.783409
1958,7,28,16.25679
1958,7,29,15.417498
1958,7,30,16.539829
1958,7,31,17.82905
1958,8,1,17.772131
1958,8,2,17.943977
1958,8,3,18.138502
1958,8,4,17.969011
1958,8,5,17.769577
1958,8,6,17.084957
1958,8,7,17.217072
1958,8,8,16.925592
1958,8,9,16.392269
1958,8,10,16.444815
1958,8,11,17.135178
1958,8,12,19.068174
1958,8,13,20.377144
1958,8,14,20.238237
1958,8,15,19.403944
1958,8,16,19.252083
1958,8,17,18.056993
1958,8,18,17.729214
1958,8,19,17.444622
1958,8,20,17.524899
1958,8,21,17.072788
1958,8,22,17.616671
1958,8,23,17.173542
1958,8,24,17.994886
1958,8,25,18.219049
1958,8,26,19.35449
1958,8,27,20.62672
1958,8,28,21.759201
1958,8,29,22.483051
1958,8,30,22.959625
1958,8,31,23.018341
1958,9,1,22.082348
1958,9,2,18.12953
1958,9,3,15.267467
1958,9,4,14.927283
1958,9,5,15.683767
1958,9,6,17.104115
1958,9,7,17.817011
1958,9,8,16.735968
1958,9,9,13.831733
1958,9,10,11.738142
1958,9,11,12.448302
1958,9,12,15.69771
1958,9,13,17.177174
1958,9,14,20.121799
1958,9,15,21.964907
1958,9,16,19.638641
1958,9,17,20.484867
1958,9,18,22.166176
1958,9,19,23.530531
1958,9,20,23.923973
1958,9,21,22.975376
1958,9,22,22.270508
1958,9,23,23.166101
1958,9,24,22.749454
1958,9,25,21.976942
1958,9,26,22.311457
1958,9,27,22.995729
1958,9,28,24.317329
1958,9,29,23.847603
1958,9,30,23.115211
1958,10,1,22.068466
1958,10,2,21.727015
1958,10,3,25.806141
1958,10,4,28.633179
1958,10,5,28.858423
1958,10,6,27.961693
1958,10,7,28.286114
1958,10,8,29.377598
1958,10,9,27.808979
1958,10,10,26.441074
1958,10,11,24.982817
1958,10,12,23.132183
1958,10,13,23.763718
1958,10,14,26.01815
1958,10,15,25.619305
1958,10,16,21.833408
1958,10,17,18.648491
1958,10,18,19.85931
1958,10,19,19.470755
1958,10,20,18.888807
1958,10,21,16.822008
1958,10,22,13.008205
1958,10,23,11.837987
1958,10,24,9.8584061
1958,10,25,7.0384674
1958,10,26,8.4705076
1958,10,27,11.520526
1958,10,28,15.617487
1958,10,29,16.33338
1958,10,30,15.807919
1958,10,31,16.265154
1958,11,1,19.276398
1958,11,2,22.71698
1958,11,3,24.028028
1958,11,4,25.46261
1958,11,5,25.956955
1958,11,6,25.191967
1958,11,7,25.559475
1958,11,8,23.070408
1958,11,9,18.053703
1958,11,10,19.542978
1958,11,11,23.242382
1958,11,12,24.962626
1958,11,13,25.611736
1958,11,14,23.11356
1958,11,15,22.552532
1958,11,16,21.585512
1958,11,17,20.290577
1958,11,18,19.869886
1958,11,19,24.250305
1958,11,20,25.279425
1958,11,21,22.355614
1958,11,22,21.908848
1958,11,23,24.111298
1958,11,24,24.641567
1958,11,25,22.913195
1958,11,26,21.959812
1958,11,27,21.406694
1958,11,28,24.518948
1958,11,29,23.975899
1958,11,30,22.847771
1958,12,1,21.909369
1958,12,2,21.993546
1958,12,3,21.348282
1958,12,4,19.478855
1958,12,5,18.335373
1958,12,6,19.924242
1958,12,7,21.350344
1958,12,8,22.153439
1958,12,9,25.583029
1958,12,10,27.095413
1958,12,11,27.962942
1958,12,12,28.038774
1958,12,13,25.956894
1958,12,14,25.788763
1958,12,15,25.225731
1958,12,16,27.110205
1958,12,17,27.181101
1958,12,18,26.37006
1958,12,19,23.188234
1958,12,20,20.865946
1958,12,21,21.581894
1958,12,22,20.38331
1958,12,23,19.551847
1958,12,24,19.783131
1958,12,25,21.579197
1958,12,26,22.190744
1958,12,27,22.724964
1958,12,28,24.562569
1958,12,29,25.608908
1958,12,30,24.788895
1958,12,31,24.633722
1959,1,1,24.639145
1959,1,2,18.53286
1959,1,3,16.189608
1959,1,4,17.177048
1959,1,5,18.252583
1959,1,6,18.388113
1959,1,7,15.840019
1959,1,8,13.854612
1959,1,9,12.875127
1959,1,10,14.627544
1959,1,11,16.615484
1959,1,12,19.7157
1959,1,13,19.681152
1959,1,14,19.656242
1959,1,15,17.758482
1959,1,16,19.175205
1959,1,17,17.809429
1959,1,18,19.114229
1959,1,19,23.219547
1959,1,20,26.131201
1959,1,21,25.930302
1959,1,22,22.782654
1959,1,23,23.904448
1959,1,24,24.166868
1959,1,25,21.831846
1959,1,26,20.904095
1959,1,27,23.108833
1959,1,28,24.214523
1959,1,29,23.945368
1959,1,30,23.231007
1959,1,31,20.480585
1959,2,1,16.371977
1959,2,2,17.111916
1959,2,3,18.235956
1959,2,4,21.881168
1959,2,5,24.061049
1959,2,6,25.461542
1959,2,7,24.690281
1959,2,8,22.319229
1959,2,9,23.552666
1959,2,10,24.3722
1959,2,11,26.168171
1959,2,12,26.882309
1959,2,13,26.667858
1959,2,14,28.586981
1959,2,15,28.457258
1959,2,16,24.133854
1959,2,17,19.071634
1959,2,18,20.4856
1959,2,19,16.670753
1959,2,20,12.153556
1959,2,21,13.915575
1959,2,22,17.104637
1959,2,23,19.316902
1959,2,24,18.686291
1959,2,25,21.077009
1959,2,26,23.422962
1959,2,27,22.713493
1959,2,28,24.869955
1959,3,1,26.794416
1959,3,2,26.466011
1959,3,3,27.530483
1959,3,4,22.464508
1959,3,5,21.483984
1959,3,6,21.282301
1959,3,7,20.748953
1959,3,8,20.506695
1959,3,9,21.191586
1959,3,10,22.394297
1959,3,11,22.583969
1959,3,12,24.690857
1959,3,13,25.186518
1959,3,14,23.679819
1959,3,15,21.880091
1959,3,16,19.392712
1959,3,17,18.355349
1959,3,18,19.815847
1959,3,19,21.048994
1959,3,20,19.766235
1959,3,21,18.521061
1959,3,22,20.139479
1959,3,23,18.853514
1959,3,24,17.815479
1959,3,25,19.703226
1959,3,26,21.468622
1959,3,27,22.24012
1959,3,28,22.972652
1959,3,29,23.549625
1959,3,30,24.755154
1959,3,31,25.399672
1959,4,1,26.581284
1959,4,2,26.21847
1959,4,3,22.803814
1959,4,4,19.986383
1959,4,5,20.331961
1959,4,6,20.686829
1959,4,7,21.947968
1959,4,8,17.470615
1959,4,9,14.568459
1959,4,10,14.089945
1959,4,11,13.084068
1959,4,12,14.138821
1959,4,13,15.645508
1959,4,14,16.648621
