Year,Month,Day,UWnd
1948,1,1,20.113251
1948,1,2,20.611115
1948,1,3,21.074511
1948,1,4,22.697723
1948,1,5,24.339039
1948,1,6,24.739935
1948,1,7,23.71677
1948,1,8,24.007986
1948,1,9,24.810671
1948,1,10,24.532942
1948,1,11,24.545736
1948,1,12,26.889835
1948,1,13,26.693306
1948,1,14,27.158785
1948,1,15,25.771091
1948,1,16,23.505161
1948,1,17,25.839041
1948,1,18,24.904818
1948,1,19,23.804518
1948,1,20,23.544697
1948,1,21,27.43889
1948,1,22,27.463993
1948,1,23,24.468262
1948,1,24,25.260319
1948,1,25,24.131008
1948,1,26,19.785425
1948,1,27,18.77441
1948,1,28,19.207352
1948,1,29,19.580959
1948,1,30,20.933886
1948,1,31,21.925848
1948,2,1,20.835915
1948,2,2,20.862902
1948,2,3,23.217813
1948,2,4,23.504169
1948,2,5,23.287558
1948,2,6,26.267712
1948,2,7,27.118261
1948,2,8,27.149853
1948,2,9,25.969797
1948,2,10,23.813097
1948,2,11,24.979271
1948,2,12,27.709276
1948,2,13,29.120735
1948,2,14,28.273615
1948,2,15,27.160772
1948,2,16,25.238445
1948,2,17,23.385223
1948,2,18,21.617418
1948,2,19,18.745838
1948,2,20,15.948965
1948,2,21,16.003977
1948,2,22,17.580067
1948,2,23,18.205858
1948,2,24,19.403177
1948,2,25,20.06558
1948,2,26,20.291573
1948,2,27,20.780907
1948,2,28,19.167068
1948,2,29,16.138945
1948,3,1,18.1761
1948,3,2,20.187756
1948,3,3,17.40814
1948,3,4,14.313448
1948,3,5,13.880612
1948,3,6,14.771133
1948,3,7,18.40963
1948,3,8,19.972971
1948,3,9,19.831406
1948,3,10,17.758139
1948,3,11,17.79167
1948,3,12,19.611515
1948,3,13,18.637009
1948,3,14,21.125597
1948,3,15,25.789289
1948,3,16,26.958782
1948,3,17,27.713144
1948,3,18,28.467466
1948,3,19,28.266073
1948,3,20,27.88681
1948,3,21,27.057444
1948,3,22,25.283831
1948,3,23,24.237797
1948,3,24,21.350994
1948,3,25,20.569645
1948,3,26,16.933636
1948,3,27,15.32069
1948,3,28,16.809532
1948,3,29,20.439936
1948,3,30,23.276394
1948,3,31,25.076441
1948,4,1,25.639984
1948,4,2,24.886362
1948,4,3,21.950596
1948,4,4,17.932493
1948,4,5,20.489189
1948,4,6,22.572227
1948,4,7,22.094147
1948,4,8,22.499958
1948,4,9,23.041422
1948,4,10,22.399057
1948,4,11,20.595293
1948,4,12,21.104321
1948,4,13,20.862007
1948,4,14,21.016323
1948,4,15,21.205706
1948,4,16,21.249308
1948,4,17,20.932987
1948,4,18,19.106697
1948,4,19,17.731554
1948,4,20,18.416273
1948,4,21,18.675404
1948,4,22,17.462954
1948,4,23,17.617022
1948,4,24,18.129221
1948,4,25,15.337459
1948,4,26,10.344454
1948,4,27,6.4537296
1948,4,28,6.0787296
1948,4,29,8.714344
1948,4,30,9.2576475
1948,5,1,9.4786806
1948,5,2,11.93716
1948,5,3,14.204768
1948,5,4,15.936167
1948,5,5,16.741674
1948,5,6,16.440928
1948,5,7,14.798666
1948,5,8,11.616873
1948,5,9,10.634582
1948,5,10,12.74718
1948,5,11,13.798618
1948,5,12,15.616822
1948,5,13,18.160372
1948,5,14,18.493908
1948,5,15,16.404716
1948,5,16,14.598272
1948,5,17,13.677587
1948,5,18,11.600454
1948,5,19,8.0967855
1948,5,20,6.4713392
1948,5,21,6.9957438
1948,5,22,4.7111201
1948,5,23,5.6122613
1948,5,24,5.8672214
1948,5,25,9.0027876
1948,5,26,12.974612
1948,5,27,13.510819
1948,5,28,12.994997
1948,5,29,12.103379
1948,5,30,12.145839
1948,5,31,13.704968
1948,6,1,15.916376
1948,6,2,17.05154
1948,6,3,17.111013
1948,6,4,16.612656
1948,6,5,15.430859
1948,6,6,15.229271
1948,6,7,14.007051
1948,6,8,13.275551
1948,6,9,11.716228
1948,6,10,10.807598
1948,6,11,10.2071
1948,6,12,10.494898
1948,6,13,11.946386
1948,6,14,12.766029
1948,6,15,12.853429
1948,6,16,13.446635
1948,6,17,13.338647
1948,6,18,14.15948
1948,6,19,16.015137
1948,6,20,17.295691
1948,6,21,16.631502
1948,6,22,14.84683
1948,6,23,14.408788
1948,6,24,15.776094
1948,6,25,16.583588
1948,6,26,16.761463
1948,6,27,16.679369
1948,6,28,16.592964
1948,6,29,16.372326
1948,6,30,15.942019
1948,7,1,14.053478
1948,7,2,13.235918
1948,7,3,12.399014
1948,7,4,12.256801
1948,7,5,11.655412
1948,7,6,10.802588
1948,7,7,10.277289
1948,7,8,10.476993
1948,7,9,10.042717
1948,7,10,10.293955
1948,7,11,11.198515
1948,7,12,10.876792
1948,7,13,10.184283
1948,7,14,10.946287
1948,7,15,12.361018
1948,7,16,14.035027
1948,7,17,14.715779
1948,7,18,14.591723
1948,7,19,14.367765
1948,7,20,15.236415
1948,7,21,15.688993
1948,7,22,16.459976
1948,7,23,16.035126
1948,7,24,15.686812
1948,7,25,16.085867
1948,7,26,16.281357
1948,7,27,15.287504
1948,7,28,13.897379
1948,7,29,13.438947
1948,7,30,13.671635
1948,7,31,12.918361
1948,8,1,12.856406
1948,8,2,12.268261
1948,8,3,11.533588
1948,8,4,11.949908
1948,8,5,12.499907
1948,8,6,12.505612
1948,8,7,11.958986
1948,8,8,11.664144
1948,8,9,13.164293
1948,8,10,14.382051
1948,8,11,15.174561
1948,8,12,15.326048
1948,8,13,14.492168
1948,8,14,14.289592
1948,8,15,13.538847
1948,8,16,13.989243
1948,8,17,15.714987
1948,8,18,17.989292
1948,8,19,17.936861
1948,8,20,17.439938
1948,8,21,16.104816
1948,8,22,16.879225
1948,8,23,18.768206
1948,8,24,19.574213
1948,8,25,18.947374
1948,8,26,18.494196
1948,8,27,18.729914
1948,8,28,19.065628
1948,8,29,19.324808
1948,8,30,18.757099
1948,8,31,19.385273
1948,9,1,20.097672
1948,9,2,18.988102
1948,9,3,17.053377
1948,9,4,17.3319
1948,9,5,17.260172
1948,9,6,17.872229
1948,9,7,17.190382
1948,9,8,16.898172
1948,9,9,17.33289
1948,9,10,18.065233
1948,9,11,20.262951
1948,9,12,21.17758
1948,9,13,21.504171
1948,9,14,21.151592
1948,9,15,19.934921
1948,9,16,17.866575
1948,9,17,17.75189
1948,9,18,19.746084
1948,9,19,19.484076
1948,9,20,17.86935
1948,9,21,15.957844
1948,9,22,14.683688
1948,9,23,12.561268
1948,9,24,13.257745
1948,9,25,13.7571
1948,9,26,14.543856
1948,9,27,15.460721
1948,9,28,17.031801
1948,9,29,17.490629
1948,9,30,17.091473
1948,10,1,16.937456
1948,10,2,16.452137
1948,10,3,14.137308
1948,10,4,13.666427
1948,10,5,14.656951
1948,10,6,14.616177
1948,10,7,14.87694
1948,10,8,16.393011
1948,10,9,15.788398
1948,10,10,15.682446
1948,10,11,17.092564
1948,10,12,18.242912
1948,10,13,19.984728
1948,10,14,22.686361
1948,10,15,24.861414
1948,10,16,23.156801
1948,10,17,24.524908
1948,10,18,23.405111
1948,10,19,19.677685
1948,10,20,20.030806
1948,10,21,20.16855
1948,10,22,20.652979
1948,10,23,18.856058
1948,10,24,19.590231
1948,10,25,20.441422
1948,10,26,21.143108
1948,10,27,20.30015
1948,10,28,18.985764
1948,10,29,18.232346
1948,10,30,19.445889
1948,10,31,19.197029
1948,11,1,17.987507
1948,11,2,19.679569
1948,11,3,21.695339
1948,11,4,21.613001
